id,task_type,difficulty,question,ref_answer,prediction,finish_reason,completion_tokens,error,model_version
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,"The minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018 is fifteen crore rupees.",stop,45,,qwen/qwen3-32b
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,75%,stop,7,,qwen/qwen3-32b
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,20%,stop,6,,qwen/qwen3-32b
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One-third.,stop,6,,qwen/qwen3-32b
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the initial public offer.,stop,17,,qwen/qwen3-32b
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,"The minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018 is ten crore rupees.",stop,44,,qwen/qwen3-32b
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,25% or more of the voting rights in the target company.,stop,18,,qwen/qwen3-32b
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,Twenty five lakh rupees.,stop,9,,qwen/qwen3-32b
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower","The minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund is not less than five percent of the corpus or ten crore rupees, whichever is lower.",stop,41,,qwen/qwen3-32b
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,120 days.,stop,9,,qwen/qwen3-32b
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity, whichever is lower.",stop,27,,qwen/qwen3-32b
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,Two trading days.,stop,7,,qwen/qwen3-32b
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,The mandatory cooling-off period under SEBI PIT Regulations 2015 is at least sixty days before the commencement of trades under an approved trading plan.,stop,34,,qwen/qwen3-32b
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days,stop,8,,qwen/qwen3-32b
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",At least fifty percent,At least fifty percent.,stop,8,,qwen/qwen3-32b
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,75%,stop,7,,qwen/qwen3-32b
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,50 crore,stop,6,,qwen/qwen3-32b
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,Twenty-one days.,stop,7,,qwen/qwen3-32b
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,Five hundred crore rupees.,stop,9,,qwen/qwen3-32b
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,A registrar to an issue must maintain records relating to each issue for a minimum period of eight years after the completion of the issue.,stop,30,,qwen/qwen3-32b
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"5% or 15% in the case of stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.",stop,31,,qwen/qwen3-32b
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,10%,stop,7,,qwen/qwen3-32b
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,Five per cent of the paid-up equity share capital.,stop,14,,qwen/qwen3-32b
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",Nine crore rupees (three crore rupees per year × three years),"Each year, the minimum net tangible assets required are 3 crore rupees. For three years, the total is:

3 crore rupees/year × 3 years = 9 crore rupees

Answer: 9 crore rupees",stop,50,,qwen/qwen3-32b
