id,task_type,difficulty,question,ref_answer,prediction,finish_reason,completion_tokens,error,model_version
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,fifteen crore rupees,stop,4,,meta-llama/llama-4-scout
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,75 per cent.,stop,5,,meta-llama/llama-4-scout
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,Twenty per cent.,stop,5,,meta-llama/llama-4-scout
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One-third.,stop,4,,meta-llama/llama-4-scout
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,years.,stop,2,,meta-llama/llama-4-scout
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,Ten crore rupees.,stop,5,,meta-llama/llama-4-scout
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,twenty-five per cent.,stop,6,,meta-llama/llama-4-scout
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,stop,3,,meta-llama/llama-4-scout
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,Twenty five lakh rupees.,stop,6,,meta-llama/llama-4-scout
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower","less than five percent of the corpus or ten crore rupees, whichever is lower.",stop,20,,meta-llama/llama-4-scout
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,days.,stop,2,,meta-llama/llama-4-scout
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower",Rupees one thousand crore or ten per cent.,stop,12,,meta-llama/llama-4-scout
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,Two trading days.,stop,5,,meta-llama/llama-4-scout
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,least sixty days.,stop,5,,meta-llama/llama-4-scout
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 days.,stop,4,,meta-llama/llama-4-scout
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",At least fifty percent,fifty percent,stop,3,,meta-llama/llama-4-scout
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",Three per cent of the applicable net asset value,Three per cent of the applicable net asset value.,stop,11,,meta-llama/llama-4-scout
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,75%,stop,3,,meta-llama/llama-4-scout
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,50 crore.,stop,4,,meta-llama/llama-4-scout
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,At least twenty-one days.,stop,7,,meta-llama/llama-4-scout
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,Five hundred crore rupees.,stop,6,,meta-llama/llama-4-scout
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,stop,4,,meta-llama/llama-4-scout
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,5%,stop,3,,meta-llama/llama-4-scout
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,10%,stop,3,,meta-llama/llama-4-scout
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,more than five per cent,stop,6,,meta-llama/llama-4-scout
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",Nine crore rupees (three crore rupees per year × three years),"The issuer must have net tangible assets of at least three crore rupees in each of the preceding three full years. 

So, 3 crore + 3 crore + 3 crore = 9 crore rupees.

The final answer is: 9 crore rupees.",stop,53,,meta-llama/llama-4-scout
NUM_002,numerical_reasoning,medium,"If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor investors who are domestic mutual funds?",180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"% of 900 crore rupees = 0.6 * 900 = 540 crore rupees.
One-third of 540 crore rupees = 540 / 3 = 180 crore rupees.

The final answer is: 180 crore rupees.",stop,40,,meta-llama/llama-4-scout
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",100 crore rupees (5 crore net worth × 20 = 100 crore),"Self-Clearing Member minimum net worth: 5 crore

Maximum underwriting obligation = 20 * 5 crore = 100 crore

The final answer is: 100 crore",stop,38,,meta-llama/llama-4-scout
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","2.5% of 20 crore rupees = 0.025 * 20 = 0.5 crore rupees. 
The other option is 5 crore rupees. 
The lower value is 0.5 crore rupees.

The final answer is: 0.5 crore rupees.",stop,60,,meta-llama/llama-4-scout
NUM_005,numerical_reasoning,hard,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"20% of 500 crore rupees = 0.20 * 500 = 100 crore rupees. 
15% of 100 crore rupees for 6 months = 0.15 * 100 crore * (6/12) = 0.15 * 100 * 0.5 = 7.5 crore rupees.

7.5 crore rupees.",stop,76,,meta-llama/llama-4-scout
NUM_006,numerical_reasoning,medium,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?","Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","The minimum number of members in the audit committee is 3. 
At least two-thirds of the members must be independent directors. 
Two-thirds of 3 = (2/3) * 3 = 2.

The final answer is 2.",stop,53,,meta-llama/llama-4-scout
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed (including the initial sixty-day window and the additional delayed period)?",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"60 days (initial window) + 60 days (additional delayed period) = 120 days.

The final answer is: 120 days.",stop,30,,meta-llama/llama-4-scout
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"The difference between the highest price paid during the twenty-six weeks period and the offer price is: 
Rs. 300 - Rs. 250 = Rs. 50 

So, the acquirer must pay an additional Rs. 50 per share.",stop,52,,meta-llama/llama-4-scout
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"## Step 1: Determine the maximum tenure of warrants
The tenure of warrants issued in an initial public offer shall not exceed eighteen months from the date of their allotment.

## Step 2: Calculate the last permissible day for warrant exercise
If a warrant is allotted on 1 January 2024, we need to add eighteen months to find the last day the warrant can be exercised. Eighteen months from 1 January 2024 would be 30 June 2025.

## 3: Consider the time frame for exercising the option after paying the warrant exercise price
The warrant holder shall exercise the option to acquire equity shares against each warrant within three months from the date of payment of warrant exercise price.

## 4: Determine the latest calendar date for exercising the option
Since at least twenty-five per cent. of the warrant consideration shall be paid upfront, and assuming the payment of the warrant exercise price can be made on the last day of the warrant's tenure (30 June 2025), the warrant holder has three months from this date to exercise the option.

## 5: Calculate the latest date for exercising the option
Three months from 30 June 2025 would be 30 September 2025.

The final answer is: 
30 September 2025",stop,261,,meta-llama/llama-4-scout
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",By 29 July of the same year (1 April + 120 days = 29 July),"The maximum time gap between any two consecutive board meetings is 120 days.

First board meeting: 1 April
To find the date of the second board meeting, calculate 120 days from 1 April:

April has 30 days, so 30 - 1 = 29 days in April (since the meeting was on 1 April)
May has 31 days
June has 30 days
July has 31 days

Total days: 29 + 31 + 30 + 31 = 121 days ( exceeds 120 days)

However, we can accommodate 120 days as follows: 
April (29 days) + May (31 days) + June (30 days) = 90 days
Adding 30 days in July: 90 + 30 = 120 days

So, 120 days from 1 April would be 30 July.

The final answer is: 30 July.",stop,188,,meta-llama/llama-4-scout
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable funds of 500 crore rupees and invests the maximum permissible amount in a single investee company, how much can it invest in that company?",50 crore rupees (10% of 500 crore = 50 crore),"10% of 500 crore rupees = 0.1 * 500 crore rupees = 50 crore rupees.

The final answer is: 50 crore rupees.",stop,34,,meta-llama/llama-4-scout
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the minimum number who must be independent directors?",Four independent directors (at least 50% of 8 = 4),"50% of 8 = 0.5 *  * 8 = 4

The minimum number of independent directors required is 4 directors.",stop,25,,meta-llama/llama-4-scout
CON_001,contradiction_detection,medium,Do the two passages prescribe different lock-in periods for minimum promoters' contribution in the general (non-capital-expenditure) case?,Yes,"Yes, Passage A prescribes a lock-in period of 3 years from the date of commencement of commercial production or date of allotment, while Passage B prescribes 18 months from the date of allotment.",stop,44,,meta-llama/llama-4-scout
CON_002,contradiction_detection,medium,Do the two passages prescribe different lock-in durations for excess promoters' shares versus non-promoter pre-issue shares in an IPO?,No,"No, both passages prescribe a lock-in period of six months for different types of shares.",stop,19,,meta-llama/llama-4-scout
CON_003,contradiction_detection,easy,Do the two passages prescribe different minimum continuing interest thresholds for Category I/II AIFs versus Category III AIFs under SEBI AIF Regulations 2012?,Yes,"Yes, because Passage A prescribes 2.5% or 5 crore rupees, while Passage B prescribes 5% or 10 crore rupees for Category III AIFs.",stop,39,,meta-llama/llama-4-scout
CON_004,contradiction_detection,easy,Do the two passages prescribe different maximum permissible gaps between consecutive meetings for the board and the audit committee respectively?,No,"No, the maximum permissible gap between consecutive meetings is the same, 120 days, for both the board and the audit committee.",stop,27,,meta-llama/llama-4-scout
CON_005,contradiction_detection,hard,Do the two passages impose different shareholding thresholds triggering mandatory Board approval for acquisitions in recognised stock exchanges versus depositories?,No,"No, they do not impose different thresholds; both require prior approval for acquisitions exceeding 5% of the paid-up equity share capital, but Passage A provides an exception for certain entities like stock exchanges and depositories, allowing for 15% holding with prior approval.",stop,54,,meta-llama/llama-4-scout
CON_006,contradiction_detection,medium,Do the two passages prescribe different disclosure timelines for companies versus asset management companies under SEBI PIT Regulations 2015?,No,"No, both passages prescribe a disclosure timeline of two trading days.",stop,14,,meta-llama/llama-4-scout
CON_007,contradiction_detection,hard,Do the two passages contradict each other regarding whether a second settlement application can ever be made for the same default?,No,"No, Passage A only bars an applicant who withdraws an application from making another application for the same default, but does not address rejections, which Passage B addresses.",stop,35,,meta-llama/llama-4-scout
