id,task_type,difficulty,question,ref_answer,prediction,correct,model_version
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,15 crore rupees,1,
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,0,
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,The promoters must hold at least 20% of the post-issue capital.,0,
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,1/3,0,
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,3 years,1,
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,10 crore rupees,1,
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,25%,0,
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5%,0,
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,Twenty-five lakh rupees,1,
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower","5% of the corpus or ten crore rupees, whichever is lower.",1,
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,120 days,0,
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate",Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity a,"Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower.",1,
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Within two trading days,1,
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,At least 60 days,1,
