id,task_type,difficulty,source_regulation,context,question,your_answer,notes_if_ambiguous
REG_001,regulatory_interpretation,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","An issuer shall be eligible to make an initial public offer only if: (a) it has net tangible assets of at least three crore rupees, calculated on a restated and consolidated basis, in each of the preceding three full years (of twelve months each), of which not more than fifty per cent. are held in monetary assets; (b) it has an average operating profit of at least fifteen crore rupees, calculated on a restated and consolidated basis, during the preceding three years (of twelve months each), with operating profit in each of these preceding three years; (c) it has a net worth of at least one crore rupees in each of the preceding three full years (of twelve months each), calculated on a restated and consolidated basis.","What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",,
REG_002,regulatory_interpretation,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",An issuer not satisfying the condition stipulated in sub-regulation (1) shall be eligible to make an initial public offer only if the issue is made through the book-building process and the issuer undertakes to allot at least seventy five per cent. of the net offer to qualified institutional buyers and to refund the full subscription money if it fails to do so.,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",,
REG_003,regulatory_interpretation,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The promoters shall hold at least twenty per cent. of the post-issue capital: Provided that in case the post-issue shareholding of the promoters is less than twenty per cent., alternative investment funds, or foreign venture capital investors, or scheduled commercial banks, or public financial institutions, or insurance companies registered with the Insurance Regulatory and Development Authority of India or any non-individual public shareholder holding at least five per cent. of the post-issue capital may contribute to meet the shortfall in minimum contribution as specified for the promoters, subject to a maximum of ten per cent. of the post-issue capital.","Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",,
REG_004,regulatory_interpretation,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","In an issue made through the book building process, the issuer may allocate up to sixty per cent. of the portion available for allocation to qualified institutional buyers to anchor investors in accordance with these regulations. One-third of the anchor investor portion shall be reserved for domestic mutual funds.","Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",,
REG_005,regulatory_interpretation,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The minimum promoters' contribution shall be locked in for a period of eighteen months from the date of allotment in the initial public offer. Provided that in case the majority of the issue proceeds excluding the portion of offer for sale is proposed to be utilized for capital expenditure, then the lock-in period shall be three years from the date of allotment in the initial public offer. Promoters' holding in excess of minimum promoters' contribution shall be locked-in for a period of six months from the date of allotment in the initial public offer.","Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",,
REG_006,regulatory_interpretation,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",An anchor investor means a qualified institutional buyer who makes an application for a value of at least ten crore rupees in a public issue on the main board made through the book building process in accordance with these regulations or makes an application for a value of at least two crore rupees for an issue made in accordance with Chapter IX of these regulations.,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",,
REG_007,regulatory_interpretation,easy,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company.","Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",,
REG_008,regulatory_interpretation,medium,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","No acquirer, who together with persons acting in concert with him, has acquired and holds shares or voting rights entitling him to exercise twenty-five per cent or more but less than the maximum permissible non-public shareholding in the target company, shall acquire within any financial year additional shares or voting rights in such target company entitling them to exercise more than five per cent of the voting rights, unless the acquirer makes a public announcement of an open offer for acquiring shares.","Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",,
REG_009,regulatory_interpretation,medium,"SEBI (Alternative Investment Funds) Regulations, 2012","Each scheme of the Alternative Investment Fund shall have corpus of at least twenty crore rupees. The Alternative Investment Fund shall not accept from an investor, an investment of value less than one crore rupees: Provided that in case of investors who are employees or directors of the Alternative Investment Fund or employees or directors of the Manager, the minimum value of investment shall be twenty five lakh rupees.","What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",,
REG_010,regulatory_interpretation,medium,"SEBI (Alternative Investment Funds) Regulations, 2012","The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees: Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.","Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?",,
