model,before_overall,after_overall,delta_overall,before_REG,after_REG,before_NUM,after_NUM,after_CON,before_TMP,after_TMP,n
Gemini 2.5 Flash,89.9,95.8,5.9,93.1,97.1,84.8,97.8,88.7,89.6,96.1,405
Qwen3-32B,85.9,96.3,10.4,85.5,97.7,77.2,94.6,90.3,93.5,100.0,404
LLaMA-3.3-70B,83.7,95.6,11.9,86.2,97.7,75.0,92.4,95.2,79.5,94.9,406
Llama 4 Scout 17B,83.3,96.1,12.8,86.2,96.6,66.3,94.6,98.4,84.6,94.9,406
Kimi K2,81.5,96.1,14.6,89.1,98.9,65.2,93.5,91.9,75.6,96.2,406
LLaMA-3-8B,78.1,91.4,13.3,79.9,94.3,64.1,84.8,93.5,78.2,91.0,406
GPT-OSS 120B,77.1,95.6,18.5,79.9,96.0,59.8,93.5,95.2,76.9,97.4,406
GPT-OSS 20B,76.8,93.8,17.0,79.9,96.6,58.7,92.4,95.2,76.9,88.5,406
Mistral-7B,75.9,90.6,14.7,79.9,98.3,66.3,82.6,80.6,74.4,91.0,406
DeepSeek R1 70B,75.1,96.6,21.5,72.4,95.4,69.6,96.7,96.8,70.5,98.7,406
Gemma 4 E4B,70.4,79.8,9.4,83.9,90.2,50.0,64.1,72.6,62.8,80.8,406
Gemini 2.5 Pro,76.1,95.1,19.0,89.7,97.1,48.9,94.6,93.5,64.1,92.3,406
