id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,Fifteen crore rupees.,1,1,The model prediction matches the reference answer's minimum average operating profit requirement.
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that at least seventy five per cent of the net offer must be received."
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,20 % of the post‑issue capital.,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that at least twenty per cent of the post-issue capital must be offered to the public."
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,One‑third.,1,1,"The model prediction matches the fraction of the anchor investor portion as per SEBI ICDR Regulations, 2018."
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,Three years.,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate a minimum promoter contribution period of three years from the date of allotment in the initial public offer."
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,₹10 crore.,0,1,The model prediction matches the reference answer's minimum application value for an entity to qualify as an anchor investor.
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,25 % or more of the target company’s voting rights.,1,1,The model prediction correctly states the threshold as 25% or more of the target company's voting rights under SEBI Takeover Regulations 2011.
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5 % of the voting rights.,0,1,The model prediction matches the threshold of 5% of the voting rights as per SEBI Takeover Regulations 2011.
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,25 lakh rupees.,0,1,The model prediction matches the reference answer with correct formatting.
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower","5 % of the corpus or ₹10 crore, whichever is lower.",1,1,"The model prediction accurately reflects the minimum continuing interest requirement under SEBI AIF Regulations, 2012."
