model,item_id,task_type,strict_correct,gemini_verdict,phi4_verdict,question,reference_answer,model_prediction,prediction_truncated,sample_group,stratum,human_verdict_CORRECT_or_INCORRECT,human_notes
Gemini 2.5 Flash,NUM_005,numerical_reasoning,0,0,1,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),The provided context does not contain information about interest liability at a penalty rate for borrowing by a scheme. It only mentions the penalty rate for delayed repayment to unitholders by an ass,TRUE,disagreement,NUM_disagreement,INCORRECT,
Gemini 2.5 Flash,TMP_009,temporal_reasoning,0,0,1,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Prior to 08.03.2025, the draft letter of offer was required to be filed with the Board.",FALSE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Flash,TMP_031,temporal_reasoning,0,0,1,"Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.","(i) fifteen per cent of the paid up capital and free reserves of the company till March 31, 2023;
(ii) ten per cent of the paid up capital and free reserves of the company till March 31, 2024;
(iii) f",TRUE,disagreement,TMP_disagreement,CORRECT,
Gemini 2.5 Flash,NUM_103,numerical_reasoning,0,1,0,All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital carrying voting rights. May they acquire a further 1%?,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights.","9.5% + 1% = 10.5%

No, they may not acquire a further 1%.",FALSE,disagreement,NUM_disagreement,CORRECT,
Gemini 2.5 Flash,REG_186,regulatory_interpretation,0,0,1,An acquirer holds 30% voting rights in a target company. What is the maximum additional percentage of voting rights they can acquire in a single financial year under Regulation 3(2) without triggering an open offer?,5% of voting rights per financial year.,Five per cent,FALSE,disagreement,REG_disagreement,CORRECT,
Gemini 2.5 Flash,REG_192,regulatory_interpretation,0,0,1,"Under Regulation 7(1) of SEBI Takeovers Regulations 2011, what is the minimum open offer size for a mandatory open offer triggered under Regulations 3 or 4?",At least 26% of the total shares of the target company (as of the tenth working day from the closure of the tendering period).,At least twenty six per cent of total shares of the target company.,FALSE,disagreement,REG_disagreement,CORRECT,
Gemini 2.5 Pro,TMP_001,temporal_reasoning,0,0,1,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is currently in force — the one aligning with Companies Act 2013 sub-section (51) of section 2, or the earlier definition referring to the core management team excluding board members?","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023",The context states that the definition referring to the 'core management team excluding board members' was in place prior to its substitution on 31.01.2023. The context does not specify the current definition.,FALSE,disagreement,TMP_disagreement,INCORRECT,
Gemini 2.5 Pro,TMP_012,temporal_reasoning,0,0,1,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act and year?,"The Securities and Exchange Board of India Act, 1992",The provided context does not mention the SEBI Act and year under which the regulations were enacted.,FALSE,disagreement,TMP_disagreement,INCORRECT,
Gemini 2.5 Pro,REG_079,regulatory_interpretation,0,0,1,A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,After three years have lapsed since the default ceased to subsist.,The context does not provide information regarding defaults on term loans.,FALSE,disagreement,REG_disagreement,INCORRECT,
Gemini 2.5 Pro,REG_060,regulatory_interpretation,0,0,1,"Under SEBI (InvIT) Regulations 2014, what is the combined monetary cap on permissible pecuniary relationships with the InvIT for a person to qualify as an independent director of the investment manager?","Two per cent of its gross turnover or total income, or fifty lakh rupees, whichever is lower","The lower of:
1. Two percent of the person's gross turnover or total income.
2. Fifty lakh rupees.
3. Such higher amount as may be specified from time to time.",FALSE,disagreement,REG_disagreement,CORRECT,
