id,task_type,difficulty,your_answer
REG_001,regulatory_interpretation,easy,at least fifteen crore rupees
REG_002,regulatory_interpretation,easy,At least seventy five per cent.
REG_003,regulatory_interpretation,easy,At least twenty per cent. of the post-issue capital.
REG_004,regulatory_interpretation,medium,One-third of the anchor investor portion shall be reserved for domestic mutual funds.
REG_005,regulatory_interpretation,medium,Three years from the date of allotment in the initial public offer.
REG_006,regulatory_interpretation,easy,Ten crore rupees.
REG_007,regulatory_interpretation,easy,Twenty-five per cent or more of the voting rights in such target company.
REG_008,regulatory_interpretation,medium,5 per cent of the voting rights.
REG_009,regulatory_interpretation,medium,Twenty five lakh rupees.
REG_010,regulatory_interpretation,medium,"not less than five percent of the corpus or ten crore rupees, whichever is lower."
REG_011,regulatory_interpretation,easy,Not more than one hundred and twenty days.
REG_012,regulatory_interpretation,medium,"Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity, whichever is lower."
REG_013,regulatory_interpretation,easy,Within two trading days of receipt of the disclosure.
REG_014,regulatory_interpretation,easy,at least sixty days
REG_015,regulatory_interpretation,hard,"Sixty days from the expiry of the sixty-day window, or one hundred and twenty calendar days."
REG_016,regulatory_interpretation,medium,atleast fifty percent
REG_017,regulatory_interpretation,easy,The exit load of an open-ended mutual fund scheme shall not exceed three per cent of the applicable net asset value.
REG_018,regulatory_interpretation,easy,Seventy-five per cent of the unit holders of a scheme must pass a resolution for its winding up.
REG_019,regulatory_interpretation,easy,50 crore.
REG_020,regulatory_interpretation,easy,At least twenty-one days.
REG_021,regulatory_interpretation,easy,A REIT shall have a minimum asset size of five hundred crore rupees or more.
REG_022,regulatory_interpretation,medium,Eight years
REG_023,regulatory_interpretation,medium,Five per cent of the paid-up equity share capital.
REG_024,regulatory_interpretation,medium,More than ten per cent of the paid-up share capital of that issuer.
REG_025,regulatory_interpretation,medium,More than five per cent of the paid-up equity share capital of such depository.
NUM_001,numerical_reasoning,medium,3 crore rupees * 3 years = 9 crore rupees.
NUM_002,numerical_reasoning,medium,"60% of 900 crore rupees is 540 crore rupees, and one-third of 540 crore rupees is 180 crore rupees."
NUM_003,numerical_reasoning,medium,20 * 5 crore = 100 crore.
