item_id,task_type,context,question,YOUR_ANSWER
REG_112,regulatory_interpretation,"D. Profits ineligible for payment of dividend. 10. The following profits shall not be available for payment of dividend: (1) Any exceptional and / or extra-ordinary profits / income shall not be available for payment of dividend. (2) If the audit report by the statutory auditor contains a modified opinion that indicates an overstatement of the PAT, the same shall not be available for payment of dividend, to the extent it is included in PAT.","What categories of profit are excluded from dividend payment eligibility under the RBI SFB Dividend Directions, 2026?",
REG_194,regulatory_interpretation,"Regulation 8(10): Where the acquirer or persons acting in concert acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition.","Under Regulation 8(10), if an acquirer buys shares of the target company within 26 weeks after the tendering period at a price higher than the offer price, what obligation arises and within what timeframe must it be fulfilled?",
REG_020,regulatory_interpretation,The issuer shall send notice to all the eligible holders of such non-convertible securities and the debenture trustee at least twenty-one days before the date from which such right is exercisable. The period of exercise of the buy-back right shall not be less than three working days.,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",
TMP_071,temporal_reasoning,"Regulation 10(f) (as amended by SEBI (AIF) (Third Amendment) Regulations, 2025, w.e.f. 19-11-2025): no scheme of the Alternative Investment Fund shall have more than one thousand investors: Provided that accredited investors shall be excluded while computing the number of investors in a scheme of an Alternative Investment Fund. [Prior to this amendment, all investors including accredited investors were counted toward the 1,000 cap.]","What change did the SEBI (AIF) (Third Amendment) Regulations, 2025 make to how the 1,000-investor cap is calculated for an AIF scheme?",
CON_061,contradiction_detection,"Passage A:
Regulation 16(1)(c) (pre-2024): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage except for meeting temporary funding requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.

Passage B:
Regulation 16(1)(c) (as substituted w.e.f. 07-08-2024): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage for the purpose of making investments or otherwise, except for borrowing funds to meet temporary funding requirements and day-to-day operational requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.",Do the pre-2024 and post-2024 versions of Regulation 16(1)(c) permit the same scope of borrowing by Category I AIFs?,
REG_083,regulatory_interpretation,"""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report.","Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independent research analyst'?",
NUM_115,numerical_reasoning,"Regulation 10(d): the Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund.","A Category I AIF has a total corpus of Rs 300 crore. What is the minimum continuing interest the Manager or Sponsor must maintain in this fund under SEBI AIF Regulations, 2012?",
NUM_100,numerical_reasoning,"Investment, borrowing, restriction, etc. 44. (2) The mutual fund shall not borrow except to meet temporary liquidity needs...Provided that the mutual fund shall not borrow more than 20 per cent of the net asset of the scheme and the duration of such a borrowing shall not exceed a period of six months.","A mutual fund scheme with net assets of Rs500 crore needs to borrow for redemption pressure. What is the maximum it may borrow, and for what maximum duration?",
REG_003,regulatory_interpretation,"The promoters shall hold at least twenty per cent. of the post-issue capital: Provided that in case the post-issue shareholding of the promoters is less than twenty per cent., alternative investment funds, or foreign venture capital investors, or scheduled commercial banks, or public financial institutions, or insurance companies registered with the Insurance Regulatory and Development Authority of India or any non-individual public shareholder holding at least five per cent. of the post-issue capital may contribute to meet the shortfall in minimum contribution as specified for the promoters, subject to a maximum of ten per cent. of the post-issue capital.","Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",
NUM_091,numerical_reasoning,"Eligibility criteria. 7. Provided that if the requirements specified under Explanation to clause (a) are not fulfilled, the sponsor shall,— (i) adequately capitalize the asset management company such that the net worth of the asset management company is not less than rupees one hundred fifty crore; and (ii) ensure that the initial shareholding equivalent to capital contributed to the asset management company to the extent of not less than rupees one hundred fifty crore is locked-in for a period of five years; and (iii) appoint experienced personnel in asset management company such that the total combined experience of Chief Executive Officer, Chief Operating Officer, Chief Risk Officer, Chief Compliance Officer and Chief Investment Officer should be at least thirty years.","Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility requirements, what are the three key obligations: the AMC capitalization threshold, the lock-in period, and the minimum combined experience of the five senior officers?",
REG_145,regulatory_interpretation,Regulation 21(1): The Investment Adviser shall redress investor grievances promptly but not later than twenty-one calendar days from the date of receipt of the grievance and in such manner as may be specified by the Board.,"What is the maximum time limit within which an investment adviser must redress investor grievances under SEBI IA Regulations, 2013?",
NUM_079,numerical_reasoning,"Calendar for Issuance of Government of India Dated Securities (April 01, 2026 to September 30, 2026). Total: 8,20,000 crore.","What is the total amount of Government of India dated securities to be issued during the first half of FY 2026-27, i.e., April to September 2026?",
REG_164,regulatory_interpretation,"Regulation 15(1)(e): Alternative Investment Fund shall not invest except with the approval of seventy five percent of investors by value of their investment in the Alternative Investment Fund in — (a) associates; or (b) units of Alternative Investment Funds managed or sponsored by its Manager, Sponsor or associates of its Manager or Sponsor.","Under SEBI AIF Regulations, 2012, what investor approval is required before an AIF can invest in its associate companies or in units of other AIFs managed by the same manager or sponsor?",
REG_144,regulatory_interpretation,Regulation 19(3): An investment adviser shall conduct yearly audit in respect of compliance with these regulations from a member of Institute of Chartered Accountants of India or Institute of Company Secretaries of India or Institute of Cost Accountants of India and submit a report of the same as may be specified by the Board.,"What type of audit is required of an investment adviser under SEBI IA Regulations, 2013, and who is qualified to conduct it?",
