ctx_len,q_len,num_dates,num_numbers,num_currencies,num_amendments,num_sebi_rbi_refs,num_conditions,flesch_ease,fk_grade,sentence_count,corr_Gemini_2.5_Flash,corr_Qwen3-32B,corr_LLaMA-3.3-70B,corr_Llama_4_Scout_17B,corr_Kimi_K2,corr_LLaMA-3-8B,corr_GPT-OSS_120B,corr_GPT-OSS_20B,corr_Mistral-7B,corr_DeepSeek_R1_70B,corr_Gemma_4_E4B,ensemble_accuracy,is_hard,task_type,human_difficulty
127,30,1,1,8,0,1,1,10.48643700787403,27.57185039370079,4,1,0,1,1,1,1,1,1,1,1,1,0.9090909090909091,0,regulatory_interpretation,easy
62,29,1,2,4,0,1,2,29.366774193548395,16.864516129032257,2,1,0,0,1,1,0,0,0,0,0,1,0.36363636363636365,1,regulatory_interpretation,easy
99,21,1,1,5,0,1,2,29.50163636363638,14.063313131313134,5,1,1,0,1,0,1,0,0,0,0,1,0.45454545454545453,1,regulatory_interpretation,easy
49,22,1,1,2,0,1,0,38.32197278911568,11.97183673469388,3,1,1,1,1,1,1,1,1,0,1,1,0.9090909090909091,0,regulatory_interpretation,medium
94,29,1,1,5,0,1,2,34.63166666666672,16.21297872340426,3,1,1,1,0,1,0,1,0,1,0,1,0.6363636363636364,0,regulatory_interpretation,medium
65,28,1,1,2,0,1,0,9.404615384615397,28.09538461538462,1,1,1,1,1,1,1,0,0,1,0,1,0.7272727272727273,0,regulatory_interpretation,easy
72,25,1,1,1,0,1,1,-2.5449999999999875,31.50111111111112,1,1,1,0,1,1,1,1,1,0,0,1,0.7272727272727273,0,regulatory_interpretation,easy
82,35,1,2,1,0,1,0,-22.897439024390223,36.82414634146342,1,1,0,0,1,0,0,0,0,0,0,1,0.2727272727272727,1,regulatory_interpretation,medium
69,28,1,1,6,0,1,1,30.817499999999995,17.53166666666667,2,1,0,1,1,1,1,1,0,1,1,1,0.8181818181818182,0,regulatory_interpretation,medium
82,25,1,1,2,0,1,1,-11.54865853658535,35.24121951219513,1,1,1,1,1,1,1,0,1,1,0,1,0.8181818181818182,0,regulatory_interpretation,medium
73,17,1,1,5,0,1,0,44.60714041095892,11.571335616438358,4,1,0,0,0,0,1,0,0,0,1,1,0.36363636363636365,1,regulatory_interpretation,easy
60,33,1,1,2,0,1,2,15.645000000000039,18.530000000000005,2,1,1,1,1,1,1,0,1,1,1,1,0.9090909090909091,0,regulatory_interpretation,medium
41,26,1,1,3,0,1,0,26.971219512195177,19.682926829268293,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,regulatory_interpretation,easy
57,23,1,1,1,0,1,0,45.81276315789475,13.94956140350877,2,1,0,1,1,1,0,1,0,1,0,1,0.6363636363636364,0,regulatory_interpretation,easy
79,33,1,2,1,0,1,3,22.172879746835463,19.979556962025317,2,1,0,1,1,1,1,1,0,1,0,0,0.6363636363636364,0,regulatory_interpretation,hard
79,31,1,2,2,0,1,4,-23.27405063291134,36.131392405063295,1,1,1,0,1,1,1,1,0,1,1,1,0.8181818181818182,0,regulatory_interpretation,medium
56,20,0,1,3,0,1,1,54.94547619047623,10.232857142857146,3,1,1,1,1,1,1,1,1,0,0,1,0.8181818181818182,0,regulatory_interpretation,easy
78,24,0,0,4,0,1,2,24.08076923076925,19.58923076923077,2,1,0,0,0,1,1,0,0,0,1,1,0.45454545454545453,1,regulatory_interpretation,easy
65,18,1,5,5,0,1,0,24.70700819672132,17.39024590163935,5,1,1,1,1,1,1,1,1,1,0,1,0.9090909090909091,0,regulatory_interpretation,easy
47,27,1,1,2,0,1,0,44.38250000000002,12.906914893617024,2,1,0,1,1,1,1,1,0,0,0,1,0.6363636363636364,0,regulatory_interpretation,easy
67,25,1,1,2,0,1,0,49.089216417910464,14.734701492537315,2,1,1,1,1,1,1,1,1,1,0,1,0.9090909090909091,0,regulatory_interpretation,easy
64,25,1,1,1,0,1,0,22.339375000000018,18.093125000000004,2,1,1,1,0,0,0,0,0,1,0,1,0.45454545454545453,1,regulatory_interpretation,medium
84,32,1,1,3,0,1,2,20.18357142857147,20.878095238095238,2,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,1,regulatory_interpretation,medium
70,26,1,1,6,0,1,0,41.74880952380954,13.232857142857146,3,1,0,0,0,1,0,1,1,0,1,1,0.5454545454545454,0,regulatory_interpretation,medium
68,23,1,1,4,0,1,1,23.030882352941205,18.493529411764708,2,1,1,1,1,1,1,1,1,1,0,1,0.9090909090909091,0,regulatory_interpretation,medium
88,30,1,1,9,0,1,1,-11.307727272727249,36.69818181818182,3,1,1,1,1,1,1,1,0,1,1,0,0.8181818181818182,0,numerical_reasoning,medium
58,39,0,1,7,0,0,1,44.796810344827605,10.613275862068967,4,1,1,1,0,1,1,1,1,1,1,1,0.9090909090909091,0,numerical_reasoning,medium
48,23,1,5,5,0,1,0,48.525000000000034,12.453333333333333,5,1,1,1,1,1,1,1,1,1,1,1,1.0,0,numerical_reasoning,medium
74,37,1,1,5,0,1,0,46.89563063063065,12.846216216216217,3,1,0,1,0,0,1,0,1,1,1,0,0.5454545454545454,0,numerical_reasoning,hard
59,41,0,3,2,0,0,1,55.011144067796636,12.915000000000003,2,0,1,1,1,1,0,0,0,0,1,0,0.45454545454545453,1,numerical_reasoning,hard
51,32,1,1,7,0,1,0,53.5564705882353,10.012549019607842,3,1,1,1,1,1,1,1,1,1,0,1,0.9090909090909091,0,numerical_reasoning,medium
90,43,1,2,1,0,1,3,32.565000000000026,16.170000000000005,3,1,1,1,0,1,1,1,1,1,1,0,0.8181818181818182,0,numerical_reasoning,hard
120,50,1,3,5,0,1,3,12.690000000000026,26.395,4,1,1,1,1,1,1,1,1,0,1,1,0.9090909090909091,0,numerical_reasoning,medium
66,45,2,3,0,0,1,1,55.49659090909094,9.617727272727276,4,1,1,0,1,0,0,1,0,1,0,0,0.45454545454545453,1,numerical_reasoning,hard
65,32,1,2,4,0,1,1,39.789038461538496,15.783461538461541,2,1,0,1,0,0,1,0,0,1,1,0,0.45454545454545453,1,numerical_reasoning,medium
63,37,1,2,3,0,1,1,45.862857142857166,12.079365079365079,3,1,1,1,1,1,1,1,1,1,1,1,1.0,0,numerical_reasoning,easy
75,21,0,1,5,0,1,0,39.33200000000002,13.984000000000002,4,1,0,1,1,0,1,0,1,1,1,1,0.7272727272727273,0,numerical_reasoning,easy
1,17,0,0,2,0,0,0,50.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0,contradiction_detection,medium
1,19,0,0,3,0,0,0,50.0,10.0,0,1,0,1,1,1,1,1,1,0,1,1,0.8181818181818182,0,contradiction_detection,medium
1,23,1,1,2,0,1,0,50.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0,contradiction_detection,easy
1,20,0,0,1,0,0,0,50.0,10.0,0,1,0,0,1,0,0,1,1,0,0,1,0.45454545454545453,1,contradiction_detection,easy
1,20,0,0,1,0,0,0,50.0,10.0,0,0,0,0,1,0,1,0,0,0,1,0,0.2727272727272727,1,contradiction_detection,hard
1,19,1,1,2,0,1,0,50.0,10.0,0,1,1,1,1,1,0,1,1,0,1,0,0.7272727272727273,0,contradiction_detection,medium
1,21,0,0,0,0,0,0,50.0,10.0,0,0,1,1,1,1,1,1,1,0,1,1,0.8181818181818182,0,contradiction_detection,hard
1,24,0,0,1,0,0,0,50.0,10.0,0,1,1,1,1,1,1,1,1,1,1,0,0.9090909090909091,0,contradiction_detection,hard
1,21,0,1,0,0,0,0,50.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0,contradiction_detection,medium
1,19,0,0,0,0,1,0,50.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1.0,0,contradiction_detection,hard
