row_number,id,task_type,difficulty,context,question,reference_answer,is_correct__YES_or_NO,notes_if_NO
1,REG_063,regulatory_interpretation,easy,The draft offer document filed with the designated stock exchange shall be made public by posting the same on the website of the designated stock exchange for seeking public comments for a period of fifteen days from the date of filing the draft offer document with such exchange and shall be available for download in PDF / HTML formats.,"Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, for how many days must the draft offer document be publicly available on the designated stock exchange's website for public comments?",Fifteen days,,
2,REG_080,regulatory_interpretation,easy,"""compulsory delisting"" means delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.","How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory delisting'?",Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.,,
3,REG_111,regulatory_interpretation,easy,"F. Restriction on payment of dividend. 12. The Reserve Bank reserves the right to place restrictions on distribution of dividend where a bank is found to be non-compliant with the applicable laws, regulations / guidelines issued by the Reserve Bank. 13. If a bank does not meet the eligibility criteria as per paragraph 7 above, no special dispensation will be given for declaration of dividend for that period.","What is the consequence for an SFB that fails to meet the dividend eligibility criteria under the RBI SFB Dividend Directions, 2026?",No special dispensation will be given for declaration of dividend for that period,,
4,REG_143,regulatory_interpretation,easy,"Regulation 19(2): All records shall be maintained either in physical or electronic form and preserved for a minimum period of five years: Provided that where records are required to be duly signed and are maintained in electronic form, such records shall be digitally signed.","For how long must an investment adviser preserve its records under SEBI IA Regulations, 2013, and what additional requirement applies to electronically maintained records that require signatures?","Under Regulation 19(2), all records must be maintained and preserved for a minimum period of five years. If records that are required to be duly signed are maintained in electronic form, they must be digitally signed.",,
5,REG_001,regulatory_interpretation,easy,"An issuer shall be eligible to make an initial public offer only if: (a) it has net tangible assets of at least three crore rupees, calculated on a restated and consolidated basis, in each of the preceding three full years (of twelve months each), of which not more than fifty per cent. are held in monetary assets; (b) it has an average operating profit of at least fifteen crore rupees, calculated on a restated and consolidated basis, during the preceding three years (of twelve months each), with operating profit in each of these preceding three years; (c) it has a net worth of at least one crore rupees in each of the preceding three full years (of twelve months each), calculated on a restate","What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,,
6,REG_084,regulatory_interpretation,easy,"These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.","From which financial year do the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026 come into effect?",Financial Year 2026-27,,
7,REG_062,regulatory_interpretation,easy,"The Board may specify changes or issue observations, if any, on the draft offer document within twenty one days from the later of the following dates: a) the date of receipt of the draft offer document under sub-regulation (1); or b) the date of receipt of satisfactory reply from the lead manager(s), where the Board has sought any clarification or additional information from them; or c) the date of receipt of clarification or information from any regulator or agency, where the Board has sought any clarification or information from such regulator or agency; or d) the date of receipt of a copy of in-principle approval letter issued by the stock exchange(s).","Under SEBI (Issue and Listing of Municipal Debt Securities) Regulations 2015, within how many days of the relevant trigger date may SEBI specify changes or issue observations on a draft offer document?",Twenty one days,,
8,REG_132,regulatory_interpretation,easy,Regulation 4: The following persons shall not be required to seek registration under regulation 3 subject to the fulfillment of the conditions stipulated therefor — (b) Any insurance agent or insurance broker who offers investment advice solely in insurance products and is registered with Insurance Regulatory and Development Authority for such activity.,"Is an insurance broker who advises clients on insurance products required to register as an investment adviser under SEBI (Investment Advisers) Regulations, 2013?","No. Under Regulation 4(b), any insurance agent or insurance broker who offers investment advice solely in insurance products and is registered with the Insurance Regulatory and Development Authority (IRDAI) for such activity is exempt from the registration requirement under these regulations.",,
9,REG_019,regulatory_interpretation,easy,The trading member/clearing member/self-clearing member/professional clearing member shall comply with the following minimum net worth requirements: Trading Member — 1 crore; Self-Clearing Member — 5 crore; Clearing Member — 15 crore; Professional Clearing Member — 50 crore. The stock broker may act as an underwriter only out of its own net worth/funds and the underwriting obligation shall not exceed twenty times of the net worth.,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,,
10,REG_095,regulatory_interpretation,easy,The eligibility criteria for registration of a mutual fund include: (c) the sponsor has contributed or contributes at least 40% to the net worth of the asset management company: Provided that any person who holds 40% or more of the net worth of an asset management company shall be deemed to be a sponsor and will be required to fulfill the eligibility criteria specified in these regulations.,"What is the minimum percentage of an AMC's net worth that a sponsor must contribute to be eligible for mutual fund registration under SEBI (Mutual Funds) Regulations, 1996?",At least 40 per cent,,
