id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,"The minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018 is fifteen crore rupees.",0,1,"The model prediction correctly states the minimum average operating profit as per SEBI ICDR Regulations, 2018."
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that at least seventy five per cent of the net offer must be received."
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,Twenty per cent.,1,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that at least twenty per cent of the post-issue shares must be offered to the public."
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,One-third,1,1,"The model prediction matches the fraction of the anchor investor portion as per SEBI ICDR Regulations, 2018."
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the initial public offer.,1,1,"The model prediction correctly states the minimum promoter contribution period as three years from the date of allotment in the initial public offer, which aligns with SEBI ICDR Regulations, 2018."
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,Ten crore rupees.,1,1,The model prediction matches the reference answer's minimum application value for an entity to qualify as an anchor investor.
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,Twenty-five per cent or more of the voting rights in the target company.,1,1,The model prediction correctly states the threshold of twenty-five per cent or more of the voting rights under SEBI Takeover Regulations 2011.
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5%,0,1,The model prediction matches the threshold of 5% as per SEBI Takeover Regulations 2011.
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,25 lakh rupees.,0,1,The model prediction matches the reference answer of the minimum investment amount.
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower","The minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund is not less than five percent of the corpus or ten crore rupees, whichever is lower.",1,1,"The model prediction correctly states the minimum continuing interest requirement under SEBI AIF Regulations, 2012."
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,120 days.,0,1,The model prediction matches the maximum permissible gap between two consecutive IPOs as per SEBI LODR Regulations 2015.
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity, whichever is lower.",1,1,The model prediction accurately reflects the threshold for related party transactions under SEBI LODR Regulations 2015.
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Two trading days.,1,1,The model prediction matches the SEBI PIT Regulations 2015 which stipulates that a company must not fail to disclose material information within two trading days.
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,Sixty days.,0,1,The model prediction matches the mandatory cooling-off period under SEBI PIT Regulations 2015.
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",The absolute latest deadline is 120 calendar days from the expiry of the period specified in sub-regulation (1).,0,1,The model prediction correctly states the absolute latest deadline as 120 calendar days from the expiry of the period specified in sub-regulation (1).
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,Fifty percent.,1,1,The model prediction matches the minimum percentage required under SEBI Settlement Proceedings Regulations 2018.
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-",Three per cent of the applicable net asset value,Three per cent of the applicable net asset value.,1,1,The model prediction matches the SEBI Mutual Funds Regulations regarding the maximum exit load for open-ended mutual funds.
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,75%,0,1,The model prediction matches the SEBI Mutual Funds Regulations stating that seventy-five per cent of the unit holders must pass.
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth require",50 crore,50 crore,1,1,The model prediction matches the minimum net worth requirement under SEBI Stock Brokers Regulations 2026.
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,21 days.,0,1,The model prediction matches the SEBI NCS Regulations 2021 which stipulates a minimum notice period of at least twenty-one days for an issue.
