threshold,task,accuracy
0.6,REG,75.11
0.6,NUM,76.14
0.6,CON,89.23
0.6,TMP,73.99
0.65,REG,71.85
0.65,NUM,66.22
0.65,CON,89.23
0.65,TMP,68.42
0.68,REG,70.16
0.68,NUM,61.39
0.68,CON,89.23
0.68,TMP,66.56
0.7,REG,68.6
0.7,NUM,58.18
0.7,CON,89.23
0.7,TMP,64.09
0.72,REG,67.33
0.72,NUM,55.23
0.72,CON,89.23
0.72,TMP,62.23
0.75,REG,64.07
0.75,NUM,50.4
0.75,CON,89.23
0.75,TMP,58.51
0.78,REG,60.96
0.78,NUM,44.5
0.78,CON,89.23
0.78,TMP,54.49
0.8,REG,59.26
0.8,NUM,41.29
0.8,CON,89.23
0.8,TMP,52.63
0.85,REG,52.05
0.85,NUM,35.39
0.85,CON,89.23
0.85,TMP,45.2
