item_id,task_type,difficulty,document(s),cluster_id
CON_001,contradiction_detection,medium,SEBI_2008_securities_and_exchange_board_of_india_issue_and_listin_077.txt;SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
CON_002,contradiction_detection,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt;SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
CON_003,contradiction_detection,easy,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_004,contradiction_detection,easy,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt;SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,17
CON_005,contradiction_detection,hard,SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.txt;SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt,20
CON_006,contradiction_detection,medium,SEBI_2015_securities_and_exchange_board_of_india_prohibition_of_i_068.txt;SEBI_2015_securities_and_exchange_board_of_india_prohibition_of_i_068.txt,18
CON_007,contradiction_detection,hard,SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt;SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt,22
CON_008,contradiction_detection,hard,SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_009,contradiction_detection,medium,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt;SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
CON_010,contradiction_detection,hard,SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.txt;SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,21
CON_011,contradiction_detection,easy,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_012,contradiction_detection,medium,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt;SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,10
CON_028,contradiction_detection,easy,RBI_Auction_of_auction_of_state_government_securities_072.txt;RBI_Auction_of_auction_of_state_government_securities_revised_071.txt,1
CON_029,contradiction_detection,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt;RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
CON_030,contradiction_detection,easy,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt;RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,2
CON_031,contradiction_detection,medium,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt;SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
CON_032,contradiction_detection,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt;RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
CON_033,contradiction_detection,medium,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt;SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
CON_034,contradiction_detection,medium,RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt;RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt,0
CON_035,contradiction_detection,easy,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt;RBI_Auction_of_auction_of_government_of_india_dated_securities_028.txt,0
CON_036,contradiction_detection,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt;RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
CON_037,contradiction_detection,medium,SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.txt;SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
CON_038,contradiction_detection,medium,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt;RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
CON_039,contradiction_detection,medium,RBI_Auction_of_auction_of_state_government_securities_revised_071.txt;RBI_Auction_of_auction_of_state_government_securities_072.txt,1
CON_040,contradiction_detection,hard,RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt;RBI_Master_Dir_master_direction_-_reserve_bank_of_india_unique_identif_084.txt,2
CON_041,contradiction_detection,hard,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt;SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,9
CON_042,contradiction_detection,easy,RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt;RBI_Reserve_Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt,5
CON_043,contradiction_detection,easy,SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt;SEBI_2014_securities_and_exchange_board_of_india_research_analyst_070.txt,15
CON_044,contradiction_detection,medium,RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt;RBI_Issuance_C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt,0
CON_045,contradiction_detection,hard,SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt;SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt,19
CON_046,contradiction_detection,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_047,contradiction_detection,easy,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_048,contradiction_detection,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_049,contradiction_detection,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_050,contradiction_detection,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_051,contradiction_detection,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_052,contradiction_detection,medium,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_053,contradiction_detection,hard,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt;SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,7
CON_054,contradiction_detection,easy,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_055,contradiction_detection,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_056,contradiction_detection,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_057,contradiction_detection,hard,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_058,contradiction_detection,hard,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_059,contradiction_detection,medium,SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt;SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt,12
CON_060,contradiction_detection,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_061,contradiction_detection,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_062,contradiction_detection,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_063,contradiction_detection,hard,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_064,contradiction_detection,medium,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_065,contradiction_detection,hard,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt;SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,11
CON_066,contradiction_detection,easy,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
CON_067,contradiction_detection,easy,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt;SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,8
