id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason,judge_input_truncated
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,"The minimum average operating profit required is fifteen crore rupees over the preceding three years. 

Answer: Fifteen crore rupees.",1,1,"The model prediction correctly states the minimum average operating profit as fifteen crore rupees over the preceding three years, which matches the SEBI ICDR Regulations, 2018.",0
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,75%,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that at least seventy five per cent of the net offer must be allotted to qualified institutional buyers when an issuer doe",0
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,"The minimum percentage of post-issue capital that promoters must hold is ten percent. 

Answer: 10%",0,0,"The minimum percentage of post-issue capital that promoters must hold is twenty per cent, not ten per cent.",0
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One-third.,1,1,"The model prediction matches the fraction reserved for domestic mutual funds as per SEBI ICDR Regulations, 2018.",0
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years.,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which states that the minimum promoters' contribution is locked-in for three years from the date of allotment in the initial public offer.",0
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,"The minimum application value is ten crore rupees. 

Answer: Ten crore rupees.",0,1,"The model prediction correctly states the minimum application value as per SEBI ICDR Regulations, 2018.",0
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,25%,0,1,The model prediction matches the threshold specified in SEBI Takeover Regulations 2011.,0
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,0,1,"The model prediction matches the reference answer, which states that an acquirer holding 25% or more in a target company may acquire up to more than five per cent of the voting rights in a financial y",0
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,"The minimum investment amount is twenty-five lakh rupees. 

Answer: Twenty-five lakh rupees.",1,1,"The model prediction correctly states the minimum investment amount as per SEBI AIF Regulations, 2012.",0
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,"The maximum permissible gap between two consecutive audit committee meetings is 120 days. 

Answer: 120 days.",0,1,The model prediction correctly states the maximum permissible gap between two consecutive audit committee meetings as per SEBI LODR Regulations 2015.,0
