id,task_type,difficulty,question,ref_answer,prediction,correct,model_version
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,"The minimum average operating profit required is fifteen crore rupees over the preceding three years. 

Answer: Fifteen crore rupees.",1,deepseek/deepseek-r1-distill-llama-70b
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75%,0,deepseek/deepseek-r1-distill-llama-70b
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,"The minimum percentage of post-issue capital that promoters must hold is ten percent. 

Answer: 10%",0,deepseek/deepseek-r1-distill-llama-70b
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,One-third.,1,deepseek/deepseek-r1-distill-llama-70b
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,Three years.,0,deepseek/deepseek-r1-distill-llama-70b
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,"The minimum application value is ten crore rupees. 

Answer: Ten crore rupees.",0,deepseek/deepseek-r1-distill-llama-70b
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,25%,0,deepseek/deepseek-r1-distill-llama-70b
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5%,0,deepseek/deepseek-r1-distill-llama-70b
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,"The minimum investment amount is twenty-five lakh rupees. 

Answer: Twenty-five lakh rupees.",1,deepseek/deepseek-r1-distill-llama-70b
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower",FAIL: 'NoneType' object has no attribute 'strip',0,deepseek/deepseek-r1-distill-llama-70b
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,"The maximum permissible gap between two consecutive audit committee meetings is 120 days. 

Answer: 120 days.",0,deepseek/deepseek-r1-distill-llama-70b
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, which","The threshold is Rupees one thousand crore or ten per cent of the annual consolidated turnover, whichever is lower.",1,deepseek/deepseek-r1-distill-llama-70b
