id,task_type,difficulty,question,ref_answer,prediction,finish_reason,completion_tokens,error,model_version
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,fifteen crore rupees,stop,215,,deepseek/deepseek-r1-distill-llama-70b
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,seventy five per cent.,stop,239,,deepseek/deepseek-r1-distill-llama-70b
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,twenty per cent.,stop,201,,deepseek/deepseek-r1-distill-llama-70b
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One-third,stop,215,,deepseek/deepseek-r1-distill-llama-70b
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the initial public offer.,stop,243,,deepseek/deepseek-r1-distill-llama-70b
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,Ten crore rupees,stop,182,,deepseek/deepseek-r1-distill-llama-70b
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,25%,stop,209,,deepseek/deepseek-r1-distill-llama-70b
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,stop,192,,deepseek/deepseek-r1-distill-llama-70b
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,twenty five lakh rupees,stop,215,,deepseek/deepseek-r1-distill-llama-70b
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower","not less than five percent of the corpus or ten crore rupees, whichever is lower.",stop,280,,deepseek/deepseek-r1-distill-llama-70b
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,120 days,stop,253,,deepseek/deepseek-r1-distill-llama-70b
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower.",stop,225,,deepseek/deepseek-r1-distill-llama-70b
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,two trading days,stop,237,,deepseek/deepseek-r1-distill-llama-70b
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,sixty days,stop,261,,deepseek/deepseek-r1-distill-llama-70b
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding will be considered?","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days,stop,273,,deepseek/deepseek-r1-distill-llama-70b
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier determined settlement amount?",At least fifty percent,50,stop,240,,deepseek/deepseek-r1-distill-llama-70b
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",Three per cent of the applicable net asset value,three per cent,stop,183,,deepseek/deepseek-r1-distill-llama-70b
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,75%,stop,214,,deepseek/deepseek-r1-distill-llama-70b
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,50 crore,stop,205,,deepseek/deepseek-r1-distill-llama-70b
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,twenty-one days,stop,246,,deepseek/deepseek-r1-distill-llama-70b
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,five hundred crore rupees,stop,219,,deepseek/deepseek-r1-distill-llama-70b
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,eight years,stop,214,,deepseek/deepseek-r1-distill-llama-70b
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,"5% for most entities; 15% for stock exchanges, depositories, banking companies, insurance companies, and public financial institutions.",stop,274,,deepseek/deepseek-r1-distill-llama-70b
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,More than ten per cent,stop,256,,deepseek/deepseek-r1-distill-llama-70b
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,five per cent,stop,235,,deepseek/deepseek-r1-distill-llama-70b
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum separately)?",Nine crore rupees (three crore rupees per year × three years),"Based solely on the provided context:

1.  The regulation requires net tangible assets of **at least three crore rupees** in **each** of the preceding three full years.
2.  Treating each year's minimum separately means we calculate the total minimum cumulative amount by adding the minimum required for each year.
3.  Calculation: 3 crore (Year 1) + 3 crore (Year 2) + 3 crore (Year 3) = 9 crore rupees.

**Final Answer:** 9 crore rupees",stop,358,,deepseek/deepseek-r1-distill-llama-70b
NUM_002,numerical_reasoning,medium,"If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor investors who are domestic mutual funds?",180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"Based solely on the provided context:

1. Total portion for QIBs: 900 crore rupees.
2. Maximum allocation to anchor investors: 60% of QIB portion = 0.60 × 900 = 540 crore rupees.
3. One-third of anchor investor portion reserved for domestic mutual funds: (1/3) × 540 = 180 crore rupees.

Final answer: 180 crore rupees.",stop,347,,deepseek/deepseek-r1-distill-llama-70b
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",100 crore rupees (5 crore net worth × 20 = 100 crore),"Calculation:  
Maximum underwriting obligation = 20 × net worth  
Minimum net worth for Self-Clearing Member = ₹5 crore  
Thus, maximum obligation = 20 × ₹5 crore = ₹100 crore  

Final answer: **₹100 crore**",stop,249,,deepseek/deepseek-r1-distill-llama-70b
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2012?","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","Calculation:  
For Category I AIF:  
- Continuing interest required: **2.5% of corpus** or **₹5 crore**, **whichever is lower**.  
- Corpus = ₹20 crore.  
- 2.5% of ₹20 crore = **₹0.5 crore**.  
- Compare ₹0.5 crore and ₹5 crore: **₹0.5 crore is lower**.  

Final answer: **0.5 crore rupees**.",stop,344,,deepseek/deepseek-r1-distill-llama-70b
NUM_005,numerical_reasoning,hard,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"Based on the context:
1. Maximum borrowing = 20% of net assets = 20% of ₹500 crore = ₹100 crore
2. Maximum duration = 6 months
3. Penalty interest rate = 15% per annum

Interest for 6 months (half a year) = (15% per annum / 2) = 7.5%  
Interest liability = ₹100 crore × 7.5% = ₹7.5 crore

**Final answer: ₹7.5 crore**",stop,390,,deepseek/deepseek-r1-distill-llama-70b
NUM_006,numerical_reasoning,medium,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?","Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Calculation:  
Minimum members = 3  
Minimum independent directors = At least two-thirds of total members  
Two-thirds of 3 = (2/3) × 3 = 2  

Answer: 2 members",stop,286,,deepseek/deepseek-r1-distill-llama-70b
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed (including the initial sixty-day window and the additional delayed period)?",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"Calculation:
- Initial period: 60 days from service of notice (as per sub-regulation (1))
- Additional delayed period: Up to 120 calendar days from the expiry of the initial 60-day period
- Total maximum days: 60 (initial) + 120 (delayed) = 180 calendar days

Final answer: 180 calendar days",stop,301,,deepseek/deepseek-r1-distill-llama-70b
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering period, what additional amount per share must be paid to shareholders who accepted the open offer?",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"Calculation:  
Highest price paid during 26-week period (Rs. 300) minus Offer price (Rs. 250) = Rs. 50  

Final answer: Rs. 50 per share",stop,239,,deepseek/deepseek-r1-distill-llama-70b
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, what is the latest calendar date on which the warrant holder can exercise the option to acquire equity shares, assuming the warrant exercise price is paid on the last permissible day?",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"Based solely on the provided context:

1. Warrant allotment date: 1 January 2024
2. Maximum warrant tenure: 18 months → Expiry date: 1 July 2025
3. Warrant exercise price must be paid by the expiry date (1 July 2025)
4. Option to acquire equity shares must be exercised within 3 months from payment date
5. Latest payment date: 1 July 2025
6. Latest exercise date: 1 July 2025 + 3 months = 1 October 2025

**Final Answer:** 1 October 2025",stop,412,,deepseek/deepseek-r1-distill-llama-70b
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",By 29 July of the same year (1 April + 120 days = 29 July),"Based solely on the provided context:

The regulation mandates a maximum gap of 120 days between consecutive board meetings for listed entities.

Given the first meeting is on 1 April:
- Add 120 days to 1 April.

Calculation:
- April: 30 days (1 April to 30 April)
- May: 31 days
- June: 30 days
- Total so far: 30 + 31 + 30 = 91 days
- Days remaining: 120 - 91 = 29 days
- July: 29 days (1 July to 29 July)

Therefore, the latest date for the second board meeting is **29 July**.",stop,430,,deepseek/deepseek-r1-distill-llama-70b
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable funds of 500 crore rupees and invests the maximum permissible amount in a single investee company, how much can it invest in that company?",50 crore rupees (10% of 500 crore = 50 crore),"Calculation:  
Maximum permissible investment = 10% of investable funds  
= (10/100) × 500 crore rupees  
= 0.10 × 500 crore rupees  
= **50 crore rupees**  

Final answer: **50 crore rupees**",stop,352,,deepseek/deepseek-r1-distill-llama-70b
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the minimum number who must be independent directors?",Four independent directors (at least 50% of 8 = 4),"Calculation:  
50% of 8 directors = (50/100) × 8 = 4  

Final answer: 4 directors",stop,198,,deepseek/deepseek-r1-distill-llama-70b
