source,title,date,url,filename,filepath,downloaded_at,category
SEBI,Clarification regarding eligibility of members of the Institute of Cost Accountants of India to conduct annual audit of Research Analysts,"Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774433908492.pdf,"SEBI_Mar 25, 20_clarification_regarding_eligibility_of_members_of_the_i_000.pdf","data/raw/sebi\SEBI_Mar 25, 20_clarification_regarding_eligibility_of_members_of_the_i_000.pdf",2026-03-29 13:06:21,
SEBI,Clarification regarding eligibility of members of the Institute of Cost Accountants of India to conduct annual audit of Investment Advisers,"Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774433771470.pdf,"SEBI_Mar 25, 20_clarification_regarding_eligibility_of_members_of_the_i_001.pdf","data/raw/sebi\SEBI_Mar 25, 20_clarification_regarding_eligibility_of_members_of_the_i_001.pdf",2026-03-29 13:06:26,
SEBI,Addendum to SEBI Circular on Borrowing by Mutual Funds,"Mar 25, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774433435925.pdf,"SEBI_Mar 25, 20_addendum_to_sebi_circular_on_borrowing_by_mutual_funds_002.pdf","data/raw/sebi\SEBI_Mar 25, 20_addendum_to_sebi_circular_on_borrowing_by_mutual_funds_002.pdf",2026-03-29 13:06:30,
SEBI,Ease of doing business measures - Relaxations in certain reporting requirements for certain Stock Brokers and doing away with the requirement of reporting of demat account,"Mar 23, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774264133189.pdf,"SEBI_Mar 23, 20_ease_of_doing_business_measures_-_relaxations_in_certai_003.pdf","data/raw/sebi\SEBI_Mar 23, 20_ease_of_doing_business_measures_-_relaxations_in_certai_003.pdf",2026-03-29 13:06:36,
SEBI,Review of Coverage of Settlement Guarantee Fund for Commodity Derivatives Segment,"Mar 16, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773663743627.pdf,"SEBI_Mar 16, 20_review_of_coverage_of_settlement_guarantee_fund_for_com_004.pdf","data/raw/sebi\SEBI_Mar 16, 20_review_of_coverage_of_settlement_guarantee_fund_for_com_004.pdf",2026-03-29 13:06:41,
SEBI,Borrowing by Mutual Funds,"Mar 13, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773399435433.pdf,"SEBI_Mar 13, 20_borrowing_by_mutual_funds_005.pdf","data/raw/sebi\SEBI_Mar 13, 20_borrowing_by_mutual_funds_005.pdf",2026-03-29 13:06:46,
SEBI,Ease of Doing Business – Relaxation in certification requirement for Persons Associated with Research Services (PARS) – Sales and other non-core services,"Mar 11, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1773222499084.pdf,"SEBI_Mar 11, 20_ease_of_doing_business_relaxation_in_certification_requ_006.pdf","data/raw/sebi\SEBI_Mar 11, 20_ease_of_doing_business_relaxation_in_certification_requ_006.pdf",2026-03-29 13:06:52,
SEBI,Introduction of Voluntary Lock-in / Debit freeze facility to Mutual Fund folios,"Mar 06, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1772797023234.pdf,"SEBI_Mar 06, 20_introduction_of_voluntary_lock-in_debit_freeze_facility_007.pdf","data/raw/sebi\SEBI_Mar 06, 20_introduction_of_voluntary_lock-in_debit_freeze_facility_007.pdf",2026-03-29 13:06:56,
SEBI,Regulatory Reporting by AIFs,"Mar 04, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1772622793928.pdf,"SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.pdf","data/raw/sebi\SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.pdf",2026-03-29 13:07:03,
SEBI,Guidelines for Custodians,"Mar 04, 2026",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1772622419912.pdf,"SEBI_Mar 04, 20_guidelines_for_custodians_009.pdf","data/raw/sebi\SEBI_Mar 04, 20_guidelines_for_custodians_009.pdf",2026-03-29 13:07:09,
