item_idx,model,difficulty,event_score,ordering_score,final_score,standard_correct,rsts
0,Gemini 2.5 Flash,medium,1,1,1,1,1.0
1,Gemini 2.5 Flash,medium,0,0,0,1,0.0
2,Gemini 2.5 Flash,medium,0,0,0,1,0.0
3,Gemini 2.5 Flash,medium,0,0,0,0,0.0
4,Gemini 2.5 Flash,medium,1,1,1,1,1.0
5,Gemini 2.5 Flash,medium,0,1,0,1,0.25
6,Gemini 2.5 Flash,medium,1,1,1,1,1.0
7,Gemini 2.5 Flash,medium,1,1,0,1,0.5
8,Gemini 2.5 Flash,medium,0,1,0,1,0.25
9,Gemini 2.5 Flash,medium,0,0,0,1,0.0
10,Gemini 2.5 Flash,medium,0,0,0,1,0.0
11,Gemini 2.5 Flash,medium,0,0,0,1,0.0
12,Gemini 2.5 Flash,medium,0,0,0,1,0.0
13,Gemini 2.5 Flash,medium,0,0,0,1,0.0
14,Gemini 2.5 Flash,medium,0,0,0,1,0.0
15,Gemini 2.5 Flash,medium,0,0,0,1,0.0
16,Gemini 2.5 Flash,medium,0,0,0,1,0.0
17,Gemini 2.5 Flash,medium,0,0,0,1,0.0
18,Gemini 2.5 Flash,medium,0,0,0,1,0.0
19,Gemini 2.5 Flash,medium,1,1,0,0,0.5
20,Gemini 2.5 Flash,easy,1,1,1,1,1.0
21,Gemini 2.5 Flash,easy,0,0,0,1,0.0
22,Gemini 2.5 Flash,easy,0,1,0,1,0.25
23,Gemini 2.5 Flash,easy,1,1,1,1,1.0
24,Gemini 2.5 Flash,easy,0,1,0,1,0.25
25,Gemini 2.5 Flash,easy,0,0,0,1,0.0
26,Gemini 2.5 Flash,easy,0,1,0,1,0.25
27,Gemini 2.5 Flash,easy,0,1,0,1,0.25
28,Gemini 2.5 Flash,easy,0,1,0,1,0.25
29,Gemini 2.5 Flash,easy,0,1,0,0,0.25
30,Gemini 2.5 Flash,easy,1,1,1,1,1.0
31,Gemini 2.5 Flash,easy,0,1,0,1,0.25
32,Gemini 2.5 Flash,easy,0,1,0,1,0.25
33,Gemini 2.5 Flash,easy,1,1,1,1,1.0
34,Gemini 2.5 Flash,easy,1,0,0,1,0.25
35,Gemini 2.5 Flash,easy,1,1,1,1,1.0
36,Gemini 2.5 Flash,easy,0,0,0,1,0.0
37,Gemini 2.5 Flash,easy,1,1,1,1,1.0
38,Gemini 2.5 Flash,easy,0,0,0,1,0.0
39,Gemini 2.5 Flash,easy,1,1,1,1,1.0
40,Gemini 2.5 Flash,hard,1,1,1,1,1.0
41,Gemini 2.5 Flash,hard,1,1,1,1,1.0
42,Gemini 2.5 Flash,hard,0,0,0,1,0.0
43,Gemini 2.5 Flash,hard,0,0,0,1,0.0
44,Gemini 2.5 Flash,hard,0,0,0,0,0.0
45,Gemini 2.5 Flash,hard,0,0,0,1,0.0
46,Gemini 2.5 Flash,hard,1,1,1,1,1.0
47,Gemini 2.5 Flash,hard,1,1,1,1,1.0
48,Gemini 2.5 Flash,hard,0,0,0,1,0.0
49,Gemini 2.5 Flash,hard,1,1,1,1,1.0
50,Gemini 2.5 Flash,hard,0,0,0,0,0.0
51,Gemini 2.5 Flash,hard,1,1,1,1,1.0
52,Gemini 2.5 Flash,hard,1,1,0,1,0.5
53,Gemini 2.5 Flash,hard,0,0,0,1,0.0
54,Gemini 2.5 Flash,hard,0,0,0,0,0.0
55,Gemini 2.5 Flash,hard,1,1,1,1,1.0
0,DeepSeek R1 70B,medium,1,1,1,1,1.0
1,DeepSeek R1 70B,medium,0,1,0,0,0.25
2,DeepSeek R1 70B,medium,1,1,1,0,1.0
3,DeepSeek R1 70B,medium,1,1,0,0,0.5
4,DeepSeek R1 70B,medium,1,1,1,1,1.0
5,DeepSeek R1 70B,medium,1,1,1,1,1.0
