round,item_id,task_type,ref_answer,ann2_answer,agree
1,CON_001,CON,Yes,yes,1
1,CON_002,CON,No,no,1
1,CON_005,CON,No,yes,0
1,CON_006,CON,No,no,1
1,CON_007,CON,No,yes,0
1,CON_008,CON,Yes,yes,1
1,CON_009,CON,No,no,1
1,CON_010,CON,No,no,1
1,CON_012,CON,No,no,1
1,CON_031,CON,No,no,1
1,CON_032,CON,No,yes,0
1,CON_033,CON,No,no,1
1,CON_034,CON,No,no,1
1,CON_036,CON,Yes,yes,1
1,CON_040,CON,Yes,yes,1
1,CON_041,CON,No,no,1
1,CON_045,CON,No,no,1
1,NUM_001,NUM,Nine crore rupees (three crore rupees per year × three years),nine crore rupees,1
1,NUM_002,NUM,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for dome,180 crore,1
1,NUM_003,NUM,100 crore rupees (5 crore net worth × 20 = 100 crore),100 crore,1
1,NUM_004,NUM,"0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)",0.5 crore,1
1,NUM_005,NUM,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 cr,7.5 crore,1
1,NUM_006,NUM,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)",2,0
1,NUM_007,NUM,180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),180 calendar days,1
1,NUM_008,NUM,Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),50,1
1,NUM_009,NUM,1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3,1-Oct-25,0
1,NUM_010,NUM,By 29 July of the same year (1 April + 120 days = 29 July),29-Jul,1
1,NUM_068,NUM,"₹5,500 crore. Calculation: Bank falls in Bucket B4 (above 11.5% and up to 13.5%), which allows 40% o",5500 crore,1
1,NUM_069,NUM,"₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).",5500 crore,1
1,NUM_070,NUM,"32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",32.35%,1
1,NUM_071,NUM,"₹625 crore. Calculation: Maximum Eligible Dividend (₹1,125 crore) minus interim dividend already pai",625 crore,1
1,NUM_073,NUM,"Maximum per Table 1: ₹19,000 crore (50% × ₹38,000). 75% of PAT: ₹30,375 crore (75% × ₹40,500). The M",19000 crore; 30375 crore,0
1,NUM_086,NUM,Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assu,maximum buy-back 125 crore; maximum total debt 750 crore,0
1,REG_004,REG,One-third,one-third,1
1,REG_005,REG,Three years from the date of allotment in the initial public offer,three years,1
1,REG_008,REG,More than five per cent of the voting rights,5 per cent,1
1,REG_009,REG,Twenty five lakh rupees,twenty five lakh rupees,1
1,REG_010,REG,"Not less than five percent of the corpus or ten crore rupees, whichever is lower","not less than five percent of the corpus or ten crore rupees, whichever is lower",1
1,REG_012,REG,Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity a,whichever is lower,1
1,REG_015,REG,"One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hea",one hundred and twenty calendar days,1
1,REG_016,REG,At least fifty percent,fifty percent,1
1,REG_022,REG,A minimum period of eight years,eight years,1
1,REG_023,REG,Five per cent of the paid-up equity share capital,five per cent,1
1,REG_024,REG,More than ten per cent of the paid-up share capital,ten per cent,1
1,TMP_001,TMP,"The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.",the one aligning with Companies Act 2013 sub-section (51) of section 2,1
1,TMP_003,TMP,Sub-regulation (4) of regulation 23 and regulation 31A,sub-regulation (4) of regulation 23 and regulation 31A,1
1,TMP_004,TMP,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations,",no,1
1,TMP_006,TMP,"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025",1
1,TMP_007,TMP,"The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","SEBI (Issue and Listing of Debt Securities) Regulations, 2008",1
1,TMP_008,TMP,"Five years from the commencement of the SEBI (AIF) Regulations, 2012",five years,1
1,TMP_009,TMP,With the Board (SEBI),with the Board,1
1,TMP_010,TMP,"Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",1
1,TMP_011,TMP,Is made,is made,1
1,TMP_014,TMP,Sponsor(s),sponsor(s),1
1,TMP_016,TMP,"2018, effective from 16 November 2018",2018,1
1,TMP_017,TMP,"25 July 2022, following the Third Amendment Regulations, 2022",25.07.2022,0
1,TMP_029,TMP,"CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026, which is the most recent of the five su","CO.FMRD.MIOD.No.8/11.01.057/2025-26 dated February 18, 2026",1
1,TMP_039,TMP,"No. The UTI requirements (Section B) come into effect from January 01, 2027, and apply only to trans",no,0
1,TMP_040,TMP,The intermediary must apply at least three months before the earlier of: (a) expiry of the certifica,9 months from commencement,1
1,TMP_045,TMP,"The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 cror",cumulatively across both payments,1
2,REG_112,REG,"Any exceptional and/or extra-ordinary profits/income; and any overstatement of PAT identified in a modified audit opinion, to the extent included in PAT","Two categories of profit are excluded. First, any exceptional and/or extra-ordinary profits or income cannot be used for dividend payment. Second, if the statutory auditor's report contains a modified opinion indicating an overstatement of Profit After Tax (PAT), that overstated portion is also excluded from dividend eligibility.",1
2,REG_194,REG,"The acquirer must pay the difference between the highest acquisition price and the open offer price to all shareholders whose shares were accepted in the open offer, within 60 days from the date of such acquisition. The obligation does not apply to acquisitions under another open offer, the Delisting Regulations, or ordinary open market purchases not involving negotiated transactions.","If the acquirer or persons acting in concert purchase shares of the target company within 26 weeks after the tendering period at a price higher than the open offer price, they are obligated to pay the difference between that higher acquisition price and the original offer price to all shareholders whose shares were accepted in the open offer. This payment must be made within 60 days from the date of such acquisition.",1
2,REG_020,REG,At least twenty-one days,The issuer must provide at least 21 days' notice to all eligible holders of non-convertible securities and the debenture trustee before the date from which the buy-back right becomes exercisable.,0
2,TMP_071,TMP,"The SEBI (Alternative Investment Funds) (Third Amendment) Regulations, 2025 (w.e.f. 19-11-2025) amended Regulation 10(f) to exclude accredited investors from the computation of the 1,000-investor cap. Prior to this amendment, all investors (including accredited investors) were counted toward the 1,000-investor limit. After the 2025 amendment, accredited investors are not counted — only non-accredited investors are subject to the 1,000-investor ceiling. This effectively allows AIF schemes to have more than 1,000 total investors provided the excess consists of accredited investors.","Before the amendment, all investors — including accredited investors — were counted toward the 1,000-investor cap for an AIF scheme. The SEBI (AIF) (Third Amendment) Regulations, 2025, effective 19 November 2025, changed this so that accredited investors are now excluded when computing the number of investors, effectively allowing more flexibility in scheme composition.",0
2,CON_061,CON,No,"Not entirely. Both versions agree on the basic parameters — borrowing limited to 30 days, not more than 4 occasions a year, and not exceeding 10% of investable funds. However, the post-2024 version is slightly broader in scope: it explicitly covers borrowing for both 'day-to-day operational requirements' in addition to 'temporary funding requirements,' which was not mentioned in the pre-2024 version. So the permitted purpose of borrowing was expanded, even though the quantitative limits remain the same.",1
2,REG_083,REG,A person whose only business activity is research analysis or preparation and/or publication of research report.,An 'independent research analyst' is a person whose sole business activity is research analysis or the preparation and/or publication of research reports. They must not be engaged in any other business activity.,1
2,NUM_115,NUM,"The continuing interest requirement is the lower of: (a) 2.5% of corpus = 2.5% × Rs 300 crore = Rs 7.5 crore, or (b) Rs 5 crore. Since Rs 5 crore < Rs 7.5 crore, the minimum continuing interest is Rs 5 crore. The Manager/Sponsor must maintain at least Rs 5 crore of investment in the fund.","The continuing interest must be the lower of 2.5% of the corpus or Rs 5 crore. For a corpus of Rs 300 crore, 2.5% works out to Rs 7.5 crore. Since Rs 5 crore is lower than Rs 7.5 crore, the minimum continuing interest the Manager or Sponsor must maintain is Rs 5 crore.",1
2,NUM_100,NUM,Rs100 crore (20% of Rs500 crore net assets); maximum duration of six months,"The mutual fund may borrow a maximum of 20% of the net assets of the scheme, which comes to Rs 100 crore (20% of Rs 500 crore). The borrowing duration cannot exceed 6 months.",1
2,REG_003,REG,At least twenty per cent.,"Promoters must hold at least 20% of the post-issue capital. If their shareholding falls below this, certain specified entities — such as AIFs, foreign venture capital investors, scheduled commercial banks, public financial institutions, IRDAI-registered insurance companies, or any non-individual public shareholder holding at least 5% of the post-issue capital — may contribute to meet the shortfall, but each such entity's contribution is capped at 10% of the post-issue capital.",0
2,NUM_091,NUM,"AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years","If a sponsor fails to meet the eligibility requirements, three obligations apply: (1) The AMC must be adequately capitalized with a net worth of not less than Rs 150 crore; (2) The initial shareholding equivalent to the Rs 150 crore capital contribution must be locked in for a period of 5 years; and (3) The combined experience of the CEO, COO, CRO, CCO, and CIO must total at least 30 years.",1
2,REG_145,REG,"Under Regulation 21(1), an investment adviser must redress investor grievances promptly and not later than twenty-one calendar days from the date of receipt of the grievance.",An investment adviser must redress investor grievances within a maximum of 21 calendar days from the date the grievance is received.,1
2,NUM_079,NUM,"₹8,20,000 crore","The total amount of Government of India dated securities to be issued during the first half of FY 2026-27 (April to September 2026) is Rs 8,20,000 crore.",1
2,REG_164,REG,"Under Regulation 15(1)(e), an AIF requires the approval of 75% of investors by value of their investment before investing in: (a) its associates, or (b) units of AIFs managed or sponsored by its Manager, Sponsor, or their associates.","Before an AIF can invest in its associate companies or in units of other AIFs managed or sponsored by the same manager, sponsor, or their associates, approval from at least 75% of investors by value of their investment in the AIF is required.",1
2,REG_144,REG,"Under Regulation 19(3), an investment adviser must conduct a yearly compliance audit in respect of compliance with these regulations. The audit must be conducted by a member of the Institute of Chartered Accountants of India, Institute of Company Secretaries of India, or Institute of Cost Accountants of India. The adviser must also submit a report of the audit as specified by the Board.","An investment adviser is required to conduct a yearly compliance audit under SEBI IA Regulations, 2013. This audit must be conducted by a member of the Institute of Chartered Accountants of India (ICAI), the Institute of Company Secretaries of India (ICSI), or the Institute of Cost Accountants of India (ICoAI). The audit report must be submitted as specified by SEBI.",1
2,TMP_074,TMP,"Under the original Regulation 14(g), a client was required to obtain ratings from at least two different credit rating agencies for any debt securities issue of Rs 100 crore or more. This mandatory dual-rating requirement was removed by the SEBI (Credit Rating Agencies) (Second Amendment) Regulations, 2011, with effect from 27 December 2011. The 2011 amendment replaced this specific dual-rating obligation with a general requirement to obtain a rating 'in accordance with the relevant regulations.'","Under the original SEBI (CRA) Regulations, 1999, any debt issue of Rs 100 crore or more was required to obtain ratings from at least two different rating agencies — a mandatory dual-rating requirement. This requirement was removed and substituted by the SEBI (CRA) (Second Amendment) Regulations, 2011, effective 27 December 2011, which simply required the client to obtain a rating in accordance with the relevant regulations, without specifying a minimum of two agencies.",1
2,NUM_133,NUM,26% of 50 crore = 13 crore shares.,"Under Regulation 7(1), the open offer must be for at least 26% of the total shares of the target company. With 50 crore shares outstanding, the minimum number of shares for which the open offer must be made is 26% of 50 crore, which equals 13 crore shares.",1
2,CON_030,CON,No,"No, they do not come into force on the same date. Section A on the Legal Entity Identifier (LEI) comes into force with immediate effect upon issuance, while Section B on the Unique Transaction Identifier (UTI) comes into effect only from January 01, 2027.",1
2,CON_051,CON,No,"No, the two passages do not permit the same range of activities. Passage A (the older version) allows a broader set of additional activities, including portfolio management services, financial consultancy, exchange of research on commercial basis, and management of venture capital funds. Passage B (the revised version) narrows the permitted activities to management and advisory services for pooled assets such as offshore funds, insurance funds, pension funds, provident funds, and certain categories of foreign portfolio investors. Notably, portfolio management services, financial consultancy, and exchange of research on commercial basis are not mentioned in Passage B.",1
2,REG_054,REG,Fifteen months,The maximum permissible interval between two consecutive unit holders' meetings is 15 months.,0
2,TMP_015,TMP,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",The SEBI (ICDR) Regulations 2009 were enacted earlier. The 2018 regulations superseded the 2009 regulations.,1
2,NUM_112,NUM,"Under Regulation 28A(1), a regulatory sandbox exemption may be granted for a period not exceeding twelve months. Regardless of extensions, the total exemption duration cannot exceed 12 months. Even though an initial 8-month exemption was granted, the maximum total duration permissible is 12 months. Any extension beyond the initial 8 months can be for at most 4 more months.","Under Regulation 28A(1), the maximum total duration of a regulatory sandbox exemption is 12 months. Since SEBI has already granted an initial exemption of 8 months, any extension cannot push the total beyond 12 months. Therefore, the maximum permissible extension would be 4 months, and the total sandbox period cannot exceed 12 months in any case.",1
