model,REG,REG_ci_lo,REG_ci_hi,NUM,NUM_ci_lo,NUM_ci_hi,CON,CON_ci_lo,CON_ci_hi,TMP,TMP_ci_lo,TMP_ci_hi,Overall,Overall_ci_lo,Overall_ci_hi
Qwen3-32B,85.1,79.0,89.6,77.2,67.6,84.6,90.3,80.5,95.5,92.3,84.2,96.4,85.5,81.7,88.6
LLaMA-3.3-70B (Groq),86.2,80.3,90.6,75.0,65.3,82.7,95.2,86.7,98.3,79.5,69.2,87.0,83.7,79.8,87.0
Llama 4 Scout 17B,86.2,80.3,90.6,66.3,56.2,75.1,98.4,91.4,99.7,84.6,75.0,91.0,83.3,79.3,86.6
Gemini 2.5 Flash,92.8,87.2,96.0,72.4,61.4,81.2,78.0,64.8,87.2,77.0,65.1,85.8,82.8,78.3,86.5
kimi_k2_results,89.1,83.6,92.9,65.2,55.1,74.2,91.9,82.5,96.5,75.6,65.1,83.8,81.5,77.5,85.0
Claude 3 Haiku,70.0,58.5,79.5,75.0,59.8,85.8,86.7,70.3,94.7,91.4,77.6,97.0,78.3,71.6,83.8
LLaMA-3-8B,79.9,73.3,85.2,64.1,53.9,73.2,93.5,84.6,97.5,78.2,67.8,85.9,78.1,73.8,81.8
gpt_oss_120b_results,79.9,73.3,85.2,59.8,49.6,69.2,95.2,86.7,98.3,76.9,66.4,84.9,77.1,72.8,80.9
gpt_oss_20b_results,79.9,73.3,85.2,58.7,48.5,68.2,95.2,86.7,98.3,76.9,66.4,84.9,76.8,72.5,80.7
Mistral-7B,79.9,73.3,85.2,66.3,56.2,75.1,80.6,69.1,88.6,74.4,63.7,82.7,75.9,71.5,79.8
DeepSeek R1 70B,72.4,65.3,78.5,69.6,59.5,78.0,96.8,89.0,99.1,70.5,59.6,79.5,75.1,70.7,79.1
Gemma 4 E4B,83.9,77.7,88.6,50.0,40.0,60.0,72.6,60.4,82.1,62.8,51.7,72.7,70.4,65.8,74.7
