model,error_type,count
Claude 3 Haiku,Domain Knowledge Failure,4
Claude 3 Haiku,Numerical Reasoning Failure,2
Claude 3 Haiku,Temporal Reasoning Failure,7
Claude 3 Haiku,Context Grounding Failure,0
Gemini 2.5 Flash,Domain Knowledge Failure,7
Gemini 2.5 Flash,Numerical Reasoning Failure,13
Gemini 2.5 Flash,Temporal Reasoning Failure,10
Gemini 2.5 Flash,Context Grounding Failure,1
LLaMA-3.3-70B,Domain Knowledge Failure,24
LLaMA-3.3-70B,Numerical Reasoning Failure,23
LLaMA-3.3-70B,Temporal Reasoning Failure,18
LLaMA-3.3-70B,Context Grounding Failure,1
LLaMA-3-8B,Domain Knowledge Failure,36
LLaMA-3-8B,Numerical Reasoning Failure,33
LLaMA-3-8B,Temporal Reasoning Failure,19
LLaMA-3-8B,Context Grounding Failure,1
Mistral-7B,Domain Knowledge Failure,36
Mistral-7B,Numerical Reasoning Failure,31
Mistral-7B,Temporal Reasoning Failure,30
Mistral-7B,Context Grounding Failure,1
