id,task_type,difficulty,question,ref_answer,prediction,correct
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,At least fifteen crore rupees,1
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,Seventy five per cent.,1
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,Twenty per cent.,1
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,One-third,1
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the initial public offer.,1
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,Ten crore rupees,1
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,Twenty-five per cent or more,1
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,Five per cent,1
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,Twenty five lakh rupees.,1
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower","Not less than five percent of the corpus or ten crore rupees, whichever is lower.",1
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,One hundred and twenty days,1
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate",Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity a,"Rupees one thousand crore or ten per cent. of the annual consolidated turnover of the listed entity as per the last audited financial statements of the listed entity, whichever is lower.",1
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Two trading days,1
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,Sixty days,1
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hea",One hundred and twenty calendar days.,1
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,atleast fifty percent,1
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-",Three per cent of the applicable net asset value,Three per cent of the applicable net asset value.,1
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,Seventy-five per cent,1
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth require",50 crore,50 crore,1
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,Twenty-one days,1
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a ",Five hundred crore rupees or more,Five hundred crore rupees or more,1
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue",A minimum period of eight years,eight years,1
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,Five per cent,1
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,More than ten per cent,1
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold",More than five per cent of the paid-up equity share capital,More than five per cent of the paid-up equity share capital,1
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets ",Nine crore rupees (three crore rupees per year × three years),3 crore rupees/year * 3 years = 9 crore rupees,1
NUM_002,numerical_reasoning,medium,If the total portion available for allocation to qualified institutional buyers ,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for dome,"Maximum allocation to anchor investors = 60% of 900 crore rupees = 0.60 * 900 = 540 crore rupees.
Portion reserved for domestic mutual funds within anchor investor portion = One-third of 540 crore rup",1
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obli",100 crore rupees (5 crore net worth × 20 = 100 crore),"Minimum net worth for a Self-Clearing Member = 5 crore
Maximum underwriting obligation = 20 * Net Worth
Maximum underwriting obligation = 20 * 5 crore = 100 crore

Answer: 100 crore",1
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","The provided context does not specify the minimum continuing interest for Category I AIFs. It only states the requirement for ""Alternative Investment Fund"" (which is 2.5% of the corpus or 5 crore rupe",1
NUM_005,numerical_reasoning,hard,If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 cr,The provided context does not contain information about interest liability at a penalty rate for borrowing by a scheme. It only mentions the penalty rate for delayed repayment to unitholders by an ass,0
NUM_006,numerical_reasoning,medium,For a listed entity whose audit committee has the minimum permissible number of ,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Minimum number of directors in the audit committee = 3
Minimum number of independent directors = (2/3) * 3 = 2

Final Answer: 2 independent directors",1
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum nu",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),60 days (initial period) + 60 days (first delayed period) + 120 days (second delayed period) = 240 calendar days,1
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in a",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),Rs. 300 (highest price paid) - Rs. 250 (offer price) = Rs. 50 per share,1
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, wh",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3,"1. Warrant allotment date: 1 January 2024
2. Maximum tenure of warrants: 18 months from allotment date.
   1 January 2024 + 18 months = 1 July 2025.
3. Warrant holder must exercise option within 3 mon",1
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),"1 April + 120 days = 30 July

The second board meeting must be held by 30 July.",1
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable fun",50 crore rupees (10% of 500 crore = 50 crore),500 crore rupees * 10% = 50 crore rupees,1
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the",Four independent directors (at least 50% of 8 = 4),"Calculation: 8 directors * 0.50 = 4
Answer: 4 independent directors",1
CON_001,contradiction_detection,medium,Do the two passages prescribe different lock-in periods for minimum promoters' c,Yes,"Yes, the two passages prescribe different lock-in periods. Passage A specifies a three-year lock-in from the later of commercial production or IPO allotment, while Passage B specifies an eighteen-mont",1
CON_002,contradiction_detection,medium,Do the two passages prescribe different lock-in durations for excess promoters' ,No,"No, both passages prescribe a lock-in period of six months from the date of allotment in the initial public offer.",1
CON_003,contradiction_detection,easy,Do the two passages prescribe different minimum continuing interest thresholds f,Yes,"Yes, the two passages prescribe different minimum continuing interest thresholds. Passage A sets the threshold at 2.5% of corpus or five crore rupees (whichever is lower) for AIFs, while Passage B set",1
CON_004,contradiction_detection,easy,Do the two passages prescribe different maximum permissible gaps between consecu,No,No. Both passages prescribe a maximum permissible gap of one hundred and twenty days between two consecutive meetings.,1
CON_005,contradiction_detection,hard,Do the two passages impose different shareholding thresholds triggering mandator,No,"Yes. Passage A specifies a 5% threshold for most entities acquiring shares in a recognised stock exchange, but a 15% threshold for stock exchanges, depositories, banking companies, insurance companies",0
CON_006,contradiction_detection,medium,Do the two passages prescribe different disclosure timelines for companies versu,No,"No, both passages prescribe a disclosure timeline of two trading days.",1
CON_007,contradiction_detection,hard,Do the two passages contradict each other regarding whether a second settlement ,No,"Yes. Passage A states that an applicant who withdraws an application shall not be permitted to make another application in respect of the same default, while Passage B describes conditions under which",0
CON_008,contradiction_detection,hard,Do the two passages prescribe different tests for disqualifying a custodian from,Yes,"Yes, the two passages prescribe different tests. Passage A disqualifies a custodian if the sponsor or its associates hold 50% or more of the voting rights in the custodian, while Passage B disqualifie",1
CON_009,contradiction_detection,medium,Do the two passages collectively indicate that the 50% monetary asset limit alwa,No,"No, Passage B indicates that the 50% monetary asset limit is not applicable if the initial public offer is made entirely through an offer for sale.",1
CON_010,contradiction_detection,hard,Do the two passages impose the same advance notice period for different types of,No,"No. Passage A specifies a 21-day notice period, while Passage B does not specify an advance notice period.",1
CON_011,contradiction_detection,easy,Do the two passages prescribe different minimum corpus requirements for social i,Yes,"Yes, Passage A prescribes a minimum corpus of five crore rupees for social impact fund schemes, while Passage B prescribes a minimum corpus of twenty crore rupees for Alternative Investment Fund schem",1
CON_012,contradiction_detection,medium,Do the two passages indicate that the same open offer trigger threshold applies ,No,"No, the passages indicate different open offer trigger thresholds for companies listed on the Innovators Growth Platform compared to other target companies.",1
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.","The definition of 'key managerial personnel' substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2023, w.e.f. 31.01.2023, is currently in force. The earlier",0
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 Augus,"Three years from the date of commencement of commercial production or date of allotment, whichever i","Three years from the date of commencement of commercial production or allotment, whichever is later.",1
