era,model,accuracy,n_items
Pre-2000,Gemini 2.5 Flash,0.9444444444444444,90
Pre-2000,Qwen3-32B,0.9,90
Pre-2000,LLaMA-3.3-70B,0.7888888888888889,90
Pre-2000,Llama 4 Scout 17B,0.8111111111111111,90
Pre-2000,Kimi K2,0.8333333333333334,90
Pre-2000,LLaMA-3-8B,0.8,90
Pre-2000,GPT-OSS 120B,0.7777777777777778,90
Pre-2000,GPT-OSS 20B,0.7666666666666667,90
Pre-2000,Mistral-7B,0.7777777777777778,90
Pre-2000,DeepSeek R1 70B,0.7444444444444445,90
Pre-2000,Gemma 4 E4B,0.7888888888888889,90
2000-2015,Gemini 2.5 Flash,0.9038461538461539,156
2000-2015,Qwen3-32B,0.8141025641025641,156
2000-2015,LLaMA-3.3-70B,0.8461538461538461,156
2000-2015,Llama 4 Scout 17B,0.8269230769230769,156
2000-2015,Kimi K2,0.7948717948717948,156
2000-2015,LLaMA-3-8B,0.75,156
2000-2015,GPT-OSS 120B,0.7307692307692307,156
2000-2015,GPT-OSS 20B,0.7564102564102564,156
2000-2015,Mistral-7B,0.7307692307692307,156
2000-2015,DeepSeek R1 70B,0.717948717948718,156
2000-2015,Gemma 4 E4B,0.6538461538461539,156
Post-2015,Gemini 2.5 Flash,0.8604651162790697,43
Post-2015,Qwen3-32B,0.7674418604651163,43
Post-2015,LLaMA-3.3-70B,0.7441860465116279,43
Post-2015,Llama 4 Scout 17B,0.7209302325581395,43
Post-2015,Kimi K2,0.7674418604651163,43
Post-2015,LLaMA-3-8B,0.6976744186046512,43
Post-2015,GPT-OSS 120B,0.6511627906976745,43
Post-2015,GPT-OSS 20B,0.6046511627906976,43
Post-2015,Mistral-7B,0.6976744186046512,43
Post-2015,DeepSeek R1 70B,0.5813953488372093,43
Post-2015,Gemma 4 E4B,0.6744186046511628,43
