source,title,date,url,category,filename,filepath,downloaded_at
RBI,RBI/2025-2026/252A.P. (DIR Series) Circular No. 24,RBI/2025-2026/252A.P. (DIR Series) Circular No. 24,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/252NT27032026A320D4644CF241D48508EF8671F2C83B.PDF,BS_CircularIndexDisplay,RBI_RBI-2025-2_rbi2025-2026252ap_dir_series_circular_no_24_000.pdf,data/raw/rbi\RBI_RBI-2025-2_rbi2025-2026252ap_dir_series_circular_no_24_000.pdf,2026-03-29 13:27:46
RBI,RBI/2025-2026/251DOR.AML.REC.445/14.06.001/2025-26,RBI/2025-2026/251DOR.AML.REC.445/14.06.001/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT251D8AC70BFBD064EECA3469A62E3AACB44.PDF,BS_CircularIndexDisplay,RBI_RBI-2025-2_rbi2025-2026251doramlrec44514060012025-26_001.pdf,data/raw/rbi\RBI_RBI-2025-2_rbi2025-2026251doramlrec44514060012025-26_001.pdf,2026-03-29 13:27:52
RBI,RBI/2025-2026/250DCM(CC)No.S4781/03.51.01/2025-26,RBI/2025-2026/250DCM(CC)No.S4781/03.51.01/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT2506906EF76186A4CAAB7B172C87B724E33.PDF,BS_CircularIndexDisplay,RBI_RBI-2025-2_rbi2025-2026250dcmccnos47810351012025-26_002.pdf,data/raw/rbi\RBI_RBI-2025-2_rbi2025-2026250dcmccnos47810351012025-26_002.pdf,2026-03-29 13:27:58
RBI,RBI/DOR/2025-2026/249DOR.ACC.REC.No.444/21.04.018/2025-26,RBI/DOR/2025-2026/249DOR.ACC.REC.No.444/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT2495ACC944DC51E4DC79AD9B6F95C8AC162.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026249doraccrecno44421040182025-26_003.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026249doraccrecno44421040182025-26_003.pdf,2026-03-29 13:28:04
RBI,RBI/DOR/2025-2026/248DOR.ACC.REC.No.443/21.04.018/2025-26,RBI/DOR/2025-2026/248DOR.ACC.REC.No.443/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT248842E9ED7DC4146F6881E13B1475DDC53.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026248doraccrecno44321040182025-26_004.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026248doraccrecno44321040182025-26_004.pdf,2026-03-29 13:28:09
RBI,RBI/DOR/2025-2026/247DOR.ACC.REC.No.442/21.04.018/2025-26,RBI/DOR/2025-2026/247DOR.ACC.REC.No.442/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT247E9E625471F374A2D8C3BDC1044D4ED2F.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026247doraccrecno44221040182025-26_005.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026247doraccrecno44221040182025-26_005.pdf,2026-03-29 13:28:15
RBI,RBI/DOR/2025-2026/246DOR.ACC.REC.No.441/21.04.018/2025-26,RBI/DOR/2025-2026/246DOR.ACC.REC.No.441/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT24650E8CFA323C04FB2A300D9F490EBE58E.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026246doraccrecno44121040182025-26_006.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026246doraccrecno44121040182025-26_006.pdf,2026-03-29 13:28:21
RBI,RBI/DOR/2025-2026/245DOR.ACC.REC.No.440/21.04.018/2025-26,RBI/DOR/2025-2026/245DOR.ACC.REC.No.440/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT245A7E394DDDF204E209954CA0483AA2026.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026245doraccrecno44021040182025-26_007.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026245doraccrecno44021040182025-26_007.pdf,2026-03-29 13:28:27
RBI,RBI/DOR/2025-2026/244DOR.ACC.REC.No.439/21.04.018/2025-26,RBI/DOR/2025-2026/244DOR.ACC.REC.No.439/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT2449B19396A971B40B3B373DEAA17810995.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026244doraccrecno43921040182025-26_008.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026244doraccrecno43921040182025-26_008.pdf,2026-03-29 13:28:33
RBI,RBI/DOR/2025-2026/243DOR.ACC.REC.No.438/21.04.018/2025-26,RBI/DOR/2025-2026/243DOR.ACC.REC.No.438/21.04.018/2025-26,https://rbidocs.rbi.org.in/rdocs/Notification/PDFs/NT243B45BC7BEDB7C4724A374CAA8DA388A61.PDF,BS_CircularIndexDisplay,RBI_RBI-DOR-20_rbidor2025-2026243doraccrecno43821040182025-26_009.pdf,data/raw/rbi\RBI_RBI-DOR-20_rbidor2025-2026243doraccrecno43821040182025-26_009.pdf,2026-03-29 13:28:39
