item_id,task_type,reference_answer
REG_112,regulatory_interpretation,"Any exceptional and/or extra-ordinary profits/income; and any overstatement of PAT identified in a modified audit opinion, to the extent included in PAT"
REG_194,regulatory_interpretation,"The acquirer must pay the difference between the highest acquisition price and the open offer price to all shareholders whose shares were accepted in the open offer, within 60 days from the date of such acquisition. The obligation does not apply to acquisitions under another open offer, the Delisting Regulations, or ordinary open market purchases not involving negotiated transactions."
REG_020,regulatory_interpretation,At least twenty-one days
TMP_071,temporal_reasoning,"The SEBI (Alternative Investment Funds) (Third Amendment) Regulations, 2025 (w.e.f. 19-11-2025) amended Regulation 10(f) to exclude accredited investors from the computation of the 1,000-investor cap. Prior to this amendment, all investors (including accredited investors) were counted toward the 1,000-investor limit. After the 2025 amendment, accredited investors are not counted — only non-accredited investors are subject to the 1,000-investor ceiling. This effectively allows AIF schemes to have more than 1,000 total investors provided the excess consists of accredited investors."
CON_061,contradiction_detection,No
REG_083,regulatory_interpretation,A person whose only business activity is research analysis or preparation and/or publication of research report.
NUM_115,numerical_reasoning,"The continuing interest requirement is the lower of: (a) 2.5% of corpus = 2.5% × Rs 300 crore = Rs 7.5 crore, or (b) Rs 5 crore. Since Rs 5 crore < Rs 7.5 crore, the minimum continuing interest is Rs 5 crore. The Manager/Sponsor must maintain at least Rs 5 crore of investment in the fund."
NUM_100,numerical_reasoning,Rs100 crore (20% of Rs500 crore net assets); maximum duration of six months
REG_003,regulatory_interpretation,At least twenty per cent.
NUM_091,numerical_reasoning,"AMC net worth not less than rupees one hundred fifty crore; locked-in for five years; total combined experience of CEO, COO, CRO, CCO and CIO of at least thirty years"
REG_145,regulatory_interpretation,"Under Regulation 21(1), an investment adviser must redress investor grievances promptly and not later than twenty-one calendar days from the date of receipt of the grievance."
NUM_079,numerical_reasoning,"₹8,20,000 crore"
REG_164,regulatory_interpretation,"Under Regulation 15(1)(e), an AIF requires the approval of 75% of investors by value of their investment before investing in: (a) its associates, or (b) units of AIFs managed or sponsored by its Manager, Sponsor, or their associates."
REG_144,regulatory_interpretation,"Under Regulation 19(3), an investment adviser must conduct a yearly compliance audit in respect of compliance with these regulations. The audit must be conducted by a member of the Institute of Chartered Accountants of India, Institute of Company Secretaries of India, or Institute of Cost Accountants of India. The adviser must also submit a report of the audit as specified by the Board."
TMP_074,temporal_reasoning,"Under the original Regulation 14(g), a client was required to obtain ratings from at least two different credit rating agencies for any debt securities issue of Rs 100 crore or more. This mandatory dual-rating requirement was removed by the SEBI (Credit Rating Agencies) (Second Amendment) Regulations, 2011, with effect from 27 December 2011. The 2011 amendment replaced this specific dual-rating obligation with a general requirement to obtain a rating 'in accordance with the relevant regulations.'"
NUM_133,numerical_reasoning,26% of 50 crore = 13 crore shares.
CON_030,contradiction_detection,No
CON_051,contradiction_detection,No
REG_054,regulatory_interpretation,Fifteen months
TMP_015,temporal_reasoning,"The SEBI (ICDR) Regulations, 2009 was enacted earlier"
NUM_112,numerical_reasoning,"Under Regulation 28A(1), a regulatory sandbox exemption may be granted for a period not exceeding twelve months. Regardless of extensions, the total exemption duration cannot exceed 12 months. Even though an initial 8-month exemption was granted, the maximum total duration permissible is 12 months. Any extension beyond the initial 8 months can be for at most 4 more months."
CON_064,contradiction_detection,No
NUM_092,numerical_reasoning,"5 per cent of aggregate purchases and sales, measured for a block of any three months"
CON_029,contradiction_detection,No
TMP_076,temporal_reasoning,"The SEBI (Credit Rating Agencies) (Amendment) Regulations, 2021 (w.e.f. 03-08-2021) substituted the definition of 'credit rating agency' under Regulation 2(h). The original definition restricted 'credit rating agencies' to entities rating securities 'offered by way of public or rights issue' — covering only primary market issuances. The 2021 amendment broadened the definition to cover rating of securities 'that are listed or proposed to be listed on a stock exchange recognized by the Board' — expanding the scope to include all listed securities and not just those offered via public or rights issues."
REG_106,regulatory_interpretation,Three-fourths of the unitholders of any scheme
NUM_087,numerical_reasoning,At least rupees ten crore
REG_070,regulatory_interpretation,One year from the date of rejection
NUM_111,numerical_reasoning,"Under Regulation 21(1), the investment adviser must redress the grievance not later than 21 calendar days from the date of receipt. March 5, 2025 + 21 calendar days = March 26, 2025. The regulatory deadline for redressal is March 26, 2025."
REG_167,regulatory_interpretation,"Under Regulation 4, a credit rating agency must be promoted by one of the following: (a) a public financial institution; (b) a scheduled commercial bank in the RBI's second schedule; (c) a foreign bank operating in India with RBI approval; (d) a foreign CRA incorporated in a FATF member jurisdiction, recognised under their law, with at least five years' experience in rating securities; or (e) any company or body corporate with a continuous net worth of at least Rs 100 crore per audited accounts for the previous five years."
REG_170,regulatory_interpretation,"Under Regulation 9(d), a credit rating agency must at all times maintain a minimum net worth of Rs twenty-five crore. Existing CRAs that were already registered and had a net worth below Rs twenty-five crore at the time of the 2018 amendment were given transitional relief — they must increase their net worth to the Rs 25 crore minimum within three years from the date of notification of the SEBI (CRA) (Amendment) Regulations, 2018."
REG_064,regulatory_interpretation,Not more than four
REG_135,regulatory_interpretation,"Under Regulation 7(1), an individual investment adviser must, at all times, hold either: (a) a graduate degree (or equivalent) from a recognized university or CFA Charter from the CFA Institute, combined with relevant NISM certification or certification from an NISM-accredited organization; or (c) a Post Graduate Program in Securities Market (Investment Advisory) or a Post Graduate Program in Financial Planning from NISM, or any other NISM program as specified by the Board."
TMP_030,temporal_reasoning,"Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026."
TMP_032,temporal_reasoning,"The 2025 Directions (issued November 28, 2025) were in effect during FY 2025-26. The 2026 Directions come into effect only from FY 2026-27 (i.e., from April 1, 2026)."
REG_172,regulatory_interpretation,"Under Regulation 9(f), a CRA shall not carry out any activity other than the rating of securities that are listed or proposed to be listed on a stock exchange recognized by SEBI. Two exceptions apply: (1) the CRA may carry out any other activity as may be specified by the Board; and (2) the CRA may carry out rating of financial instruments under the purview of any other financial sector regulator or authority as specified by the Board."
TMP_043,temporal_reasoning,Within five Mumbai business days from the date of the transaction.
TMP_048,temporal_reasoning,27-9-2002
NUM_076,numerical_reasoning,"₹57,408 crore"
REG_071,regulatory_interpretation,"Sixty days. If SEBI fails to communicate within sixty days, prior approval shall be deemed to have been granted."
NUM_103,numerical_reasoning,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights."
CON_052,contradiction_detection,No
REG_128,regulatory_interpretation,Send written communication to each unit holder and issue an advertisement in a nationwide English daily and a regional language newspaper; and provide unit holders an option to exit at the prevailing NAV without any exit load
NUM_130,numerical_reasoning,"The requirement under Regulation 4(e) is a continuous net worth of at least Rs 100 crore per audited annual accounts for the previous five years. The five years preceding December 2025 would be FY 2020-21 through FY 2024-25. Net worth history: FY 2020-21: Rs 95 crore (fails — below Rs 100 crore), FY 2021-22: Rs 102 crore, FY 2022-23: Rs 110 crore, FY 2023-24: Rs 108 crore, FY 2024-25: Rs 115 crore. Since FY 2020-21 (Rs 95 crore) is below the Rs 100 crore threshold, the 'continuous' net worth requirement is not met. The body corporate does not meet the eligibility criterion under Regulation 4(e)."
NUM_126,numerical_reasoning,"The promoter must maintain at least 26% shareholding for a minimum of three years from the date of grant of registration. Three years from April 1, 2023 = April 1, 2026. June 15, 2026 is after April 1, 2026, so the lock-in period of three years has expired by then. After April 1, 2026, the promoter is no longer bound by the 3-year lock-in. However, reducing to 20% would breach the minimum 26% threshold if this obligation is ongoing beyond the three-year period (which the regulation's wording 'for a minimum period of three years' suggests is a lock-in, not a permanent requirement). The regulation specifies a minimum period of three years; after that, the 26% floor from Regulation 9(e) no longer applies as a mandatory minimum. Therefore, the promoter can reduce its shareholding to 20% on June 15, 2026."
TMP_050,temporal_reasoning,Replaced the enumeration of specific advertising media with a broader definition covering all forms of communication that may influence investment decisions of investors
REG_101,regulatory_interpretation,"No. No asset management company and no director (including independent director), officer or employee of an asset management company shall be eligible to be appointed as a trustee of any mutual fund."
REG_185,regulatory_interpretation,25% or more of the voting rights in the target company (when combined with shares held by the acquirer and persons acting in concert).
TMP_073,temporal_reasoning,"The minimum net worth requirement was raised by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. The original 1999 regulations set a minimum of Rs five crore. The 2018 amendment increased this to Rs twenty-five crore — a five-fold increase of Rs twenty crore."
NUM_106,numerical_reasoning,Six per cent of funds raised; the clause was omitted w.e.f. 16-4-2008
REG_163,regulatory_interpretation,"Under Regulation 15(1)(d), Category III AIFs may invest not more than 10% of their investable funds in any single investee company (directly or through other AIF units). Large value funds for accredited investors in Category III may invest up to 20% of investable funds in a single investee company."
CON_039,contradiction_detection,No
TMP_035,temporal_reasoning,"Two years plus up to six months extension, for a maximum of two and a half years from the commencement of these regulations."
