item_id,task_type,context,question,YOUR_ANSWER
REG_112,regulatory_interpretation,"D. Profits ineligible for payment of dividend. 10. The following profits shall not be available for payment of dividend: (1) Any exceptional and / or extra-ordinary profits / income shall not be available for payment of dividend. (2) If the audit report by the statutory auditor contains a modified opinion that indicates an overstatement of the PAT, the same shall not be available for payment of dividend, to the extent it is included in PAT.","What categories of profit are excluded from dividend payment eligibility under the RBI SFB Dividend Directions, 2026?","Two categories of profit are excluded. First, any exceptional and/or extra-ordinary profits or income cannot be used for dividend payment. Second, if the statutory auditor's report contains a modified opinion indicating an overstatement of Profit After Tax (PAT), that overstated portion is also excluded from dividend eligibility."
REG_194,regulatory_interpretation,"Regulation 8(10): Where the acquirer or persons acting in concert acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition.","Under Regulation 8(10), if an acquirer buys shares of the target company within 26 weeks after the tendering period at a price higher than the offer price, what obligation arises and within what timeframe must it be fulfilled?","If the acquirer or persons acting in concert purchase shares of the target company within 26 weeks after the tendering period at a price higher than the open offer price, they are obligated to pay the difference between that higher acquisition price and the original offer price to all shareholders whose shares were accepted in the open offer. This payment must be made within 60 days from the date of such acquisition."
REG_020,regulatory_interpretation,The issuer shall send notice to all the eligible holders of such non-convertible securities and the debenture trustee at least twenty-one days before the date from which such right is exercisable. The period of exercise of the buy-back right shall not be less than three working days.,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",The issuer must provide at least 21 days' notice to all eligible holders of non-convertible securities and the debenture trustee before the date from which the buy-back right becomes exercisable.
TMP_071,temporal_reasoning,"Regulation 10(f) (as amended by SEBI (AIF) (Third Amendment) Regulations, 2025, w.e.f. 19-11-2025): no scheme of the Alternative Investment Fund shall have more than one thousand investors: Provided that accredited investors shall be excluded while computing the number of investors in a scheme of an Alternative Investment Fund. [Prior to this amendment, all investors including accredited investors were counted toward the 1,000 cap.]","What change did the SEBI (AIF) (Third Amendment) Regulations, 2025 make to how the 1,000-investor cap is calculated for an AIF scheme?","Before the amendment, all investors — including accredited investors — were counted toward the 1,000-investor cap for an AIF scheme. The SEBI (AIF) (Third Amendment) Regulations, 2025, effective 19 November 2025, changed this so that accredited investors are now excluded when computing the number of investors, effectively allowing more flexibility in scheme composition."
CON_061,contradiction_detection,"Passage A:
Regulation 16(1)(c) (pre-2024): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage except for meeting temporary funding requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.

Passage B:
Regulation 16(1)(c) (as substituted w.e.f. 07-08-2024): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage for the purpose of making investments or otherwise, except for borrowing funds to meet temporary funding requirements and day-to-day operational requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.",Do the pre-2024 and post-2024 versions of Regulation 16(1)(c) permit the same scope of borrowing by Category I AIFs?,"Not entirely. Both versions agree on the basic parameters — borrowing limited to 30 days, not more than 4 occasions a year, and not exceeding 10% of investable funds. However, the post-2024 version is slightly broader in scope: it explicitly covers borrowing for both 'day-to-day operational requirements' in addition to 'temporary funding requirements,' which was not mentioned in the pre-2024 version. So the permitted purpose of borrowing was expanded, even though the quantitative limits remain the same."
REG_083,regulatory_interpretation,"""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report.","Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independent research analyst'?",An 'independent research analyst' is a person whose sole business activity is research analysis or the preparation and/or publication of research reports. They must not be engaged in any other business activity.
NUM_115,numerical_reasoning,"Regulation 10(d): the Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund.","A Category I AIF has a total corpus of Rs 300 crore. What is the minimum continuing interest the Manager or Sponsor must maintain in this fund under SEBI AIF Regulations, 2012?","The continuing interest must be the lower of 2.5% of the corpus or Rs 5 crore. For a corpus of Rs 300 crore, 2.5% works out to Rs 7.5 crore. Since Rs 5 crore is lower than Rs 7.5 crore, the minimum continuing interest the Manager or Sponsor must maintain is Rs 5 crore."
NUM_100,numerical_reasoning,"Investment, borrowing, restriction, etc. 44. (2) The mutual fund shall not borrow except to meet temporary liquidity needs...Provided that the mutual fund shall not borrow more than 20 per cent of the net asset of the scheme and the duration of such a borrowing shall not exceed a period of six months.","A mutual fund scheme with net assets of Rs500 crore needs to borrow for redemption pressure. What is the maximum it may borrow, and for what maximum duration?","The mutual fund may borrow a maximum of 20% of the net assets of the scheme, which comes to Rs 100 crore (20% of Rs 500 crore). The borrowing duration cannot exceed 6 months."
REG_003,regulatory_interpretation,"The promoters shall hold at least twenty per cent. of the post-issue capital: Provided that in case the post-issue shareholding of the promoters is less than twenty per cent., alternative investment funds, or foreign venture capital investors, or scheduled commercial banks, or public financial institutions, or insurance companies registered with the Insurance Regulatory and Development Authority of India or any non-individual public shareholder holding at least five per cent. of the post-issue capital may contribute to meet the shortfall in minimum contribution as specified for the promoters, subject to a maximum of ten per cent. of the post-issue capital.","Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?","Promoters must hold at least 20% of the post-issue capital. If their shareholding falls below this, certain specified entities — such as AIFs, foreign venture capital investors, scheduled commercial banks, public financial institutions, IRDAI-registered insurance companies, or any non-individual public shareholder holding at least 5% of the post-issue capital — may contribute to meet the shortfall, but each such entity's contribution is capped at 10% of the post-issue capital."
NUM_091,numerical_reasoning,"Eligibility criteria. 7. Provided that if the requirements specified under Explanation to clause (a) are not fulfilled, the sponsor shall,— (i) adequately capitalize the asset management company such that the net worth of the asset management company is not less than rupees one hundred fifty crore; and (ii) ensure that the initial shareholding equivalent to capital contributed to the asset management company to the extent of not less than rupees one hundred fifty crore is locked-in for a period of five years; and (iii) appoint experienced personnel in asset management company such that the total combined experience of Chief Executive Officer, Chief Operating Officer, Chief Risk Officer, Chief Compliance Officer and Chief Investment Officer should be at least thirty years.","Under the 2023 amendment to Regulation 7, if a sponsor fails all eligibility requirements, what are the three key obligations: the AMC capitalization threshold, the lock-in period, and the minimum combined experience of the five senior officers?","If a sponsor fails to meet the eligibility requirements, three obligations apply: (1) The AMC must be adequately capitalized with a net worth of not less than Rs 150 crore; (2) The initial shareholding equivalent to the Rs 150 crore capital contribution must be locked in for a period of 5 years; and (3) The combined experience of the CEO, COO, CRO, CCO, and CIO must total at least 30 years."
