item_id,task_type,question,reference_answer,model_prediction,your_verdict_CORRECT_or_INCORRECT,notes
TMP_088,temporal_reasoning,"When was the regulatory sandbox exemption introduced into SEBI Takeovers Regulations 2011, and what is the maximum duration for which SEBI can grant such an exemption?","The regulatory sandbox provision (Regulation 31A) was inserted by the SEBI (Regulatory Sandbox) (Amendment) Regulations, 2020, effective April 17, 2020. SEBI can grant exemptions from any provisions of the Takeovers Regulations for a period not exceeding 12 months, subject to such conditions as SEBI deems appropriate, to enable testing of new products, processes, services, or business models in a live environment.","17-04-2020, up to twelve months.",Correct,"The reference specifies a maximum duration of 12 months, matching the prediction of ""up to twelve months."""
NUM_096,numerical_reasoning,"In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)","G = Lower of E or F
E = 75% of PAT = 0.75 x 1,500 crore = 1,125 crore
F = Maximum payable as per Table (100% of 1,350) = 1,350 crore
G = Lower of E or F = 1,125 crore

Final dividend shall not be more",Incorrect,"The reference states the maximum final dividend is Rs625 crore, but the prediction outputs 1,125 crore."
REG_022,regulatory_interpretation,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,Correct,"The reference requires a minimum period of eight years, matching the prediction."
NUM_117,numerical_reasoning,"An AIF Manager is planning to launch three schemes: Scheme A (private equity fund), Scheme B (social impact fund), and Scheme C (infrastructure fund). What is the minimum total corpus that must be raised across all three schemes to comply with SEBI AIF Regulations, 2012?","Scheme A (private equity, Category II): minimum Rs 20 crore. Scheme B (social impact fund, Category I): minimum Rs 5 crore. Scheme C (infrastructure fund, Category I): minimum Rs 20 crore. Total minimum corpus = Rs 20 crore + Rs 5 crore + Rs 20 crore = Rs 45 crore.","20 crore + 5 crore = 25 crore

For Schemes A and C (both private funds), the minimum corpus is 20 crore each.

Total minimum corpus required: 20 crore + 20 crore + 5 crore = 45 crore",Correct,"The reference calculates the total minimum corpus as Rs 45 crore, matching the prediction exactly."
NUM_132,numerical_reasoning,An acquirer holds 28% voting rights in a listed company with 10 crore total shares outstanding. What is the maximum number of additional shares they can acquire in financial year 2024-25 without triggering a mandatory open offer under Regulation 3(2)?,5% of 10 crore = 50 lakh shares.,"5% of 10 crore shares = 0.05 x 10,000,000 = 500,000 shares

Maximum additional shares that can be acquired = (28% - 25%) x 10,000,000 = 3% x 10,000,000 = 300,000 shares

Answer: 300,000 shares",Incorrect,"The reference calculates 50 lakh shares, whereas the prediction gives 300,000 shares."
REG_124,regulatory_interpretation,What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",The asset management company shall not undertake any business activities other than in the nature of management and advisory services provided to pooled assets.,Correct,Both restrict activities solely to management and advisory services provided to pooled assets.
NUM_120,numerical_reasoning,"A body corporate has a net worth of Rs 45 crore. Can it qualify as an accredited investor under SEBI AIF Regulations, 2012? By how much does it fall short of the accredited investor threshold?","No. Under Regulation 2(1)(ab)(ii), a body corporate must have a net worth of at least Rs 50 crore to qualify as an accredited investor. With a net worth of Rs 45 crore, the body corporate falls short by Rs 5 crore (Rs 50 crore − Rs 45 crore = Rs 5 crore). It does not qualify as an accredited investor.",50 crore rupees - 45 crore rupees = 5 crore rupees.,Incorrect,"The reference explicitly states the entity does not qualify as an accredited investor, which the prediction omits."
TMP_030,temporal_reasoning,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,Incorrect,"The reference specifies approximately 8 years and 10 months, not 9 years."
NUM_033,numerical_reasoning,"Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has a gross turnover of ten crore rupees, what is the maximum permissible pecuniary relationship an independent director candidate may have with it â€” applying the two per cent cap or the fifty lakh rupee cap?","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lakh rupees â€” the rule applies whichever is lower)","2% of 10 crore rupees = 0.02 * 10,00,00,000 = 20,00,000 rupees. 
Since 20,00,000 rupees is greater than 50,00,000 rupees is not, 50 lakh rupees is the lower amount, but 20 lakh rupees is lower than 50",Correct,"The reference concludes the limit is twenty lakh rupees, aligning with the prediction's conclusion."
REG_102,regulatory_interpretation,"By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?",Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,"By 15 April each year; SEBI may extend the deadline to any time within two months of the financial year’s start (i.e., up to 30 June).",Correct,"The reference mandates payment before April 15 with up to a two-month extension, matching the prediction."
NUM_086,numerical_reasoning,"A company has paid-up capital and free reserves of ₹500 crore before a buy-back. What is the maximum amount it can buy back, and what is the maximum total debt it can carry after the buy-back?",Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"Maximum buy-back: 25% × ₹500 crore = ₹125 crore
Maximum total debt: 2:1 ratio means total debt should be ≤ 2 × ₹500 crore = ₹1000 crore. Since paid-up capital and free reserves are ₹500 crore, maximum",Incorrect,"The reference calculates the maximum total debt as ₹750 crore, whereas the prediction states ≤ ₹1000 crore."
NUM_038,numerical_reasoning,"Under SEBI (InvIT) Regulations 2014, a consulting firm had transactions worth eight lakh rupees with the InvIT in FY2023, and its gross turnover for that year was ninety lakh rupees. Would a partner of that firm be disqualified from acting as an independent director of the investment manager for FY2026?","No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, which is below the ten per cent threshold; the disqualification criterion is not triggered","Yes, the partner would be disqualified due to transactions amounting to more than 10% (8 lakh rupees out of 90 lakh rupees) of the gross turnover of the consulting firm in FY2023.",Incorrect,"The reference states the partner is not disqualified (No), contradicting the prediction's ""Yes."""
TMP_084,temporal_reasoning,How did the SEBI Takeovers Regulations provisions on combined open offer and delisting evolve from 2013 to 2021?,"In 2013, a basic Regulation 5A was inserted allowing an acquirer making an open offer to also delist under the Delisting Regulations, 2009, with specific disclosure conditions. In December 2021, the Third Amendment Regulations substituted the old Regulation 5A with a comprehensive new framework referencing the updated Delisting Regulations, 2021. The new Regulation 5A introduced: (a) detailed conditions for acquirer eligibility; (b) a two-payment structure (indicative price if delisting threshold met, open offer price if not); (c) a two-attempt delisting structure; and (d) updated timelines for withdrawal announcements.","- 2013: SEBI (Listing of Specified Securities on IT Platform) Regulations inserted Regulation 5A – “The acquirer may delist the company in accordance with the SEBI (Delisting of Equity Shares) Regulations, 2009.”  
- 6-12-2021: SEBI (SAST) (Third Amendment) Regulations, 2021 substituted that Regulat",Correct,Both outline the regulatory evolution matching the 2013 and December 2021 amendments.
NUM_136,numerical_reasoning,An acquirer makes a mandatory open offer where the total consideration payable is Rs 400 crore. What is the non-refundable fee payable to SEBI under Regulation 16(1) at the time of filing the draft letter of offer?,"Consideration is more than Rs 10 crore but less than or equal to Rs 1,000 crore: fee = 0.5% of offer size = 0.5% × Rs 400 crore = Rs 2 crore.","0.5% of the offer size. 

Calculation: 0.5% of Rs 400 crore = Rs 2 crore.

Answer: Rs 2,00,00,000",Correct,"The reference identifies the fee as Rs 2 crore, numerically matching the prediction of Rs 2,00,00,000."
REG_023,regulatory_interpretation,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,Five per cent,Correct,Both identify the maximum shareholding percentage as five per cent.
