item_id,task_type,question,reference_answer,model_prediction,your_verdict_CORRECT_or_INCORRECT,notes
TMP_088,temporal_reasoning,"When was the regulatory sandbox exemption introduced into SEBI Takeovers Regulations 2011, and what is the maximum duration for which SEBI can grant such an exemption?","The regulatory sandbox provision (Regulation 31A) was inserted by the SEBI (Regulatory Sandbox) (Amendment) Regulations, 2020, effective April 17, 2020. SEBI can grant exemptions from any provisions of the Takeovers Regulations for a period not exceeding 12 months, subject to such conditions as SEBI deems appropriate, to enable testing of new products, processes, services, or business models in a live environment.","17-04-2020, up to twelve months.",correct,"The prediction gives the same effective date, 17 April 2020, and the same maximum exemption period of 12 months as the reference."
NUM_096,numerical_reasoning,"In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)","G = Lower of E or F
E = 75% of PAT = 0.75 x 1,500 crore = 1,125 crore
F = Maximum payable as per Table (100% of 1,350) = 1,350 crore
G = Lower of E or F = 1,125 crore

Final dividend shall not be more",incorrect,"The reference answer is Rs625 crore after subtracting the Rs500 crore interim dividend; the prediction stops at Rs1,125 crore and omits that subtraction."
REG_022,regulatory_interpretation,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,correct,The prediction matches the reference: a minimum period of eight years.
NUM_117,numerical_reasoning,"An AIF Manager is planning to launch three schemes: Scheme A (private equity fund), Scheme B (social impact fund), and Scheme C (infrastructure fund). What is the minimum total corpus that must be raised across all three schemes to comply with SEBI AIF Regulations, 2012?","Scheme A (private equity, Category II): minimum Rs 20 crore. Scheme B (social impact fund, Category I): minimum Rs 5 crore. Scheme C (infrastructure fund, Category I): minimum Rs 20 crore. Total minimum corpus = Rs 20 crore + Rs 5 crore + Rs 20 crore = Rs 45 crore.","20 crore + 5 crore = 25 crore

For Schemes A and C (both private funds), the minimum corpus is 20 crore each.

Total minimum corpus required: 20 crore + 20 crore + 5 crore = 45 crore",correct,"The prediction correctly totals the three scheme minimums to Rs45 crore, matching the reference."
NUM_132,numerical_reasoning,An acquirer holds 28% voting rights in a listed company with 10 crore total shares outstanding. What is the maximum number of additional shares they can acquire in financial year 2024-25 without triggering a mandatory open offer under Regulation 3(2)?,5% of 10 crore = 50 lakh shares.,"5% of 10 crore shares = 0.05 x 10,000,000 = 500,000 shares

Maximum additional shares that can be acquired = (28% - 25%) x 10,000,000 = 3% x 10,000,000 = 300,000 shares

Answer: 300,000 shares",incorrect,"The reference answer is 50 lakh shares (5% of 10 crore); the prediction instead gives 300,000 as the maximum additional shares."
REG_124,regulatory_interpretation,What is the primary restriction on additional business activities an AMC may engage in under the post-2011 SEBI (Mutual Funds) Regulations?,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)",The asset management company shall not undertake any business activities other than in the nature of management and advisory services provided to pooled assets.,correct,The prediction matches the reference restriction that the AMC may only undertake management and advisory services for pooled assets.
NUM_120,numerical_reasoning,"A body corporate has a net worth of Rs 45 crore. Can it qualify as an accredited investor under SEBI AIF Regulations, 2012? By how much does it fall short of the accredited investor threshold?","No. Under Regulation 2(1)(ab)(ii), a body corporate must have a net worth of at least Rs 50 crore to qualify as an accredited investor. With a net worth of Rs 45 crore, the body corporate falls short by Rs 5 crore (Rs 50 crore − Rs 45 crore = Rs 5 crore). It does not qualify as an accredited investor.",50 crore rupees - 45 crore rupees = 5 crore rupees.,incorrect,The reference says the body corporate does not qualify and falls short by Rs5 crore; the prediction gives only the shortfall and does not state the required 'does not qualify' conclusion.
TMP_030,temporal_reasoning,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,incorrect,The reference gives approximately 8 years and 10 months; the prediction gives 9 years without the stated period.
NUM_033,numerical_reasoning,"Under SEBI (InvIT) Regulations 2014, if an entity associated with the InvIT has a gross turnover of ten crore rupees, what is the maximum permissible pecuniary relationship an independent director candidate may have with it â€” applying the two per cent cap or the fifty lakh rupee cap?","Twenty lakh rupees (two per cent of ten crore rupees, being lower than fifty lakh rupees â€” the rule applies whichever is lower)","2% of 10 crore rupees = 0.02 * 10,00,00,000 = 20,00,000 rupees. 
Since 20,00,000 rupees is greater than 50,00,000 rupees is not, 50 lakh rupees is the lower amount, but 20 lakh rupees is lower than 50",correct,"The prediction calculates Rs20 lakh (2% of Rs10 crore), which matches the reference's lower-cap result."
REG_102,regulatory_interpretation,"By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?",Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,"By 15 April each year; SEBI may extend the deadline to any time within two months of the financial year’s start (i.e., up to 30 June).",correct,"The prediction matches the reference: payment by 15 April, with the Board able to allow payment within two months of the financial year starting."
