id,task_type,difficulty,question,ref_answer,prediction,correct,model_version
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,At least fifteen crore rupees.,1,gemini-2.5-pro
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,At least seventy five per cent.,1,gemini-2.5-pro
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,At least twenty per cent. of the post-issue capital.,1,gemini-2.5-pro
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One-third,1,gemini-2.5-pro
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the initial public offer.,1,gemini-2.5-pro
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,ten crore rupees,1,gemini-2.5-pro
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,Twenty-five per cent or more of the voting rights.,1,gemini-2.5-pro
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open o",More than five per cent of the voting rights,Five per cent.,1,gemini-2.5-pro
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,Twenty five lakh rupees.,1,gemini-2.5-pro
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower","Not less than five percent of the corpus or ten crore rupees, whichever is lower.",1,gemini-2.5-pro
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,Not more than one hundred and twenty days.,1,gemini-2.5-pro
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","A transaction is considered material if it exceeds Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower.",1,gemini-2.5-pro
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,Within two trading days.,1,gemini-2.5-pro
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that must elapse before trades can commence under an approved trading plan?",At least sixty days,at least sixty days,1,gemini-2.5-pro
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest deadline — counted from expiry of the sixty-day window — after which no settlement application in a specified proceeding","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier","One hundred and twenty calendar days, or after the first hearing, whichever is earlier.",1,gemini-2.5-pro
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage must the settlement amount be increased if an applicant re-applies after rejection due to non-payment of the earlier dete",At least fifty percent,atleast fifty percent,1,gemini-2.5-pro
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-ended mutual fund scheme can charge investors?",Three per cent of the applicable net asset value,The exit load shall not exceed three per cent of the applicable net asset value.,1,gemini-2.5-pro
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a resolution to trigger the winding up of a mutual fund scheme?",Seventy-five per cent of the unit holders,seventy-five per cent,1,gemini-2.5-pro
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth requirement for a Professional Clearing Member?",50 crore,50 crore,1,gemini-2.5-pro
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issuer must provide to holders of non-convertible securities before a buy-back right becomes exercisable?",At least twenty-one days,at least twenty-one days,1,gemini-2.5-pro
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a REIT to issue units for listing on a recognised stock exchange?",Five hundred crore rupees or more,Five hundred crore rupees or more.,1,gemini-2.5-pro
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,A minimum period of eight years.,1,gemini-2.5-pro
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approva",Five per cent of the paid-up equity share capital,Five per cent.,1,gemini-2.5-pro
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,more than ten per cent,1,gemini-2.5-pro
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold shareholding in a depository that triggers the requirement for prior Board approval?",More than five per cent of the paid-up equity share capital,More than five per cent of the paid-up equity share capital.,1,gemini-2.5-pro
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets an eligible issuer must have cumulatively demonstrated across all three preceding years (treating each year's minimum se",Nine crore rupees (three crore rupees per year × three years),"Calculation:
*   Minimum net tangible assets required in each of the preceding three full years: three crore rupees.
*   Total minimum cumulative net tangible assets: 3 crore rupees (Year 1) + 3 crore rupees (Year 2) + 3 crore rupees (Year 3).

Final Answer: 9 crore rupees.",0,gemini-2.5-pro
NUM_002,numerical_reasoning,medium,"If the total portion available for allocation to qualified institutional buyers in a book-built IPO is 900 crore rupees, what is the maximum amount (in crore rupees) that can be allocated to anchor in",180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"1.  Maximum portion for anchor investors = 60% of 900 crore rupees = 540 crore rupees.
2.  Portion reserved for domestic mutual funds = 1/3 of 540 crore rupees = 180 crore rupees.

The maximum amount is 180 crore rupees.",1,gemini-2.5-pro
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obligation a Self-Clearing Member can undertake, given its minimum net worth requirement?",100 crore rupees (5 crore net worth × 20 = 100 crore),"Calculation: 20 (maximum multiplier) * 5 crore (minimum net worth for a Self-Clearing Member)
Final Answer: 100 crore",1,gemini-2.5-pro
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what is the minimum continuing interest the Manager or Sponsor must maintain — in crore rupees — as per SEBI AIF Regulations 2","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","Calculation Steps:
1.  Calculate 2.5% of the corpus: 2.5% of 20 crore rupees = 0.5 crore rupees.
2.  The regulation states the interest must be the lower of 2.5% of the corpus or five crore rupees.
3.  Compare the two values: 0.5 crore rupees is lower than 5 crore rupees.

The minimum continuing interest is 0.5 crore rupees.",0,gemini-2.5-pro
NUM_005,numerical_reasoning,hard,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per a",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"The provided context does not specify the interest rate for borrowing by a scheme. The rate of fifteen per cent per annum mentioned is for delayed repayment by the asset management company to unitholders, not for borrowing by a scheme. Therefore, the calculation cannot be performed based on the information given.",0,gemini-2.5-pro
NUM_006,numerical_reasoning,medium,"For a listed entity whose audit committee has the minimum permissible number of members under SEBI LODR Regulations 2015, what is the minimum number of those members who must be independent directors?","Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Calculation:
Minimum members in audit committee = 3
Required proportion of independent directors = 2/3
Minimum number of independent directors = (2/3) * 3 = 2

Final Answer: 2 independent directors",1,gemini-2.5-pro
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum number of calendar days from the date of service of a show cause notice within which a settlement application can be filed",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"60 days (initial period) + 120 calendar days (maximum delayed period) = 180

180 calendar days",1,gemini-2.5-pro
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in an open offer but then buys shares in the open market at Rs. 300 per share within the twenty-six-week post-tendering peri",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"Highest price paid during the twenty-six-week period: Rs. 300
Offer price: Rs. 250
Additional amount per share = Highest price paid - Offer price
= Rs. 300 - Rs. 250
= Rs. 50 per share",1,gemini-2.5-pro
