,Gemini 2.5 Flash,Qwen3-32B,LLaMA-3.3-70B,Llama 4 Scout 17B,Kimi K2,LLaMA-3-8B,GPT-OSS 120B,GPT-OSS 20B,Mistral-7B,DeepSeek R1 70B,Gemma 4 E4B
Gemini 2.5 Flash,1.0,0.16091954022988506,0.16129032258064516,0.1702127659574468,0.20618556701030927,0.21296296296296297,0.18421052631578946,0.1623931623931624,0.17647058823529413,0.1532258064516129,0.2
Qwen3-32B,0.16091954022988506,1.0,0.34408602150537637,0.29591836734693877,0.2641509433962264,0.2542372881355932,0.3103448275862069,0.3076923076923077,0.30833333333333335,0.2698412698412698,0.20134228187919462
LLaMA-3.3-70B,0.16129032258064516,0.34408602150537637,1.0,0.3958333333333333,0.24778761061946902,0.2809917355371901,0.272,0.3445378151260504,0.3442622950819672,0.31496062992125984,0.18471337579617833
Llama 4 Scout 17B,0.1702127659574468,0.29591836734693877,0.3958333333333333,1.0,0.2767857142857143,0.28688524590163933,0.2777777777777778,0.2755905511811024,0.22058823529411764,0.2706766917293233,0.25333333333333335
Kimi K2,0.20618556701030927,0.2641509433962264,0.24778761061946902,0.2767857142857143,1.0,0.30158730158730157,0.3770491803278688,0.31007751937984496,0.2814814814814815,0.3037037037037037,0.25
LLaMA-3-8B,0.21296296296296297,0.2542372881355932,0.2809917355371901,0.28688524590163933,0.30158730158730157,1.0,0.30935251798561153,0.2708333333333333,0.272108843537415,0.21019108280254778,0.24404761904761904
GPT-OSS 120B,0.18421052631578946,0.3103448275862069,0.272,0.2777777777777778,0.3770491803278688,0.30935251798561153,1.0,0.42748091603053434,0.3356643356643357,0.29333333333333333,0.21022727272727273
GPT-OSS 20B,0.1623931623931624,0.3076923076923077,0.3445378151260504,0.2755905511811024,0.31007751937984496,0.2708333333333333,0.42748091603053434,1.0,0.2972972972972973,0.3732394366197183,0.20903954802259886
Mistral-7B,0.17647058823529413,0.30833333333333335,0.3442622950819672,0.22058823529411764,0.2814814814814815,0.272108843537415,0.3356643356643357,0.2972972972972973,1.0,0.363013698630137,0.2111111111111111
DeepSeek R1 70B,0.1532258064516129,0.2698412698412698,0.31496062992125984,0.2706766917293233,0.3037037037037037,0.21019108280254778,0.29333333333333333,0.3732394366197183,0.363013698630137,1.0,0.22777777777777777
Gemma 4 E4B,0.2,0.20134228187919462,0.18471337579617833,0.25333333333333335,0.25,0.24404761904761904,0.21022727272727273,0.20903954802259886,0.2111111111111111,0.22777777777777777,1.0
