id,task_type,difficulty,question,ref_answer,prediction,strict_correct,judge_verdict,judge_reason,judge_input_truncated
REG_001,regulatory_interpretation,easy,"What is the minimum average operating profit an issuer must have over the preceding three years to be eligible to make an initial public offer under SEBI ICDR Regulations, 2018?",At least fifteen crore rupees,Fifteen crore rupees.,1,1,"The model prediction matches the minimum average operating profit requirement as per SEBI ICDR Regulations, 2018.",0
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issuer that does not meet the standard eligibility criteria undertake to allot to qualified institutional buyers?",At least seventy five per cent.,75%,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulates that at least seventy five per cent of the net offer must be allotted to qualified institutional buyers when an issuer do",0
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue capital that promoters must hold following a public issue?",At least twenty per cent.,20 % of the post‑issue capital.,0,1,"The model prediction matches the SEBI ICDR Regulations, 2018, which stipulate that promoters must hold at least twenty per cent of the post-issue capital.",0
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion in a book-built issue is reserved for domestic mutual funds?",One-third,One‑third.,1,1,"The model prediction matches the fraction reserved for domestic mutual funds as per SEBI ICDR Regulations, 2018.",0
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contribution in an IPO locked-in where the majority of proceeds are to be used for capital expenditure?",Three years from the date of allotment in the initial public offer,Three years from the date of allotment in the IPO.,1,1,"The model prediction correctly states the duration for which the promoters' contribution is locked-in as per SEBI ICDR Regulations, 2018.",0
REG_006,regulatory_interpretation,easy,"What is the minimum application value for an entity to qualify as an anchor investor in a public issue on the main board under SEBI ICDR Regulations, 2018?",At least ten crore rupees,At least ₹10 crore.,0,1,The model prediction matches the reference answer of at least ₹10 crore.,0
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an acquirer become obligated to make a public announcement of an open offer?",Twenty-five per cent or more of the voting rights,Twenty‑five percent (25%) of the voting rights.,1,1,The model prediction matches the threshold specified in SEBI Takeover Regulations 2011.,0
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,Up to 5 percent of additional voting rights.,0,1,"The model prediction matches the reference answer, which states that an acquirer holding 25% or more in a target company may acquire up to 5% of additional voting rights without triggering an open off",0
REG_009,regulatory_interpretation,medium,"What is the minimum investment amount an employee or director of the Manager of an Alternative Investment Fund must make in the AIF under SEBI AIF Regulations, 2012?",Twenty five lakh rupees,Twenty‑five lakh rupees.,1,1,"The model prediction matches the minimum investment amount specified in SEBI AIF Regulations, 2012.",0
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that the Manager or Sponsor must maintain in a Category III Alternative Investment Fund?","Not less than five percent of the corpus or ten crore rupees, whichever is lower","The Manager or Sponsor must hold a continuing interest of at least **5 % of the fund’s corpus or ₹10 crore, whichever is lower**.",0,1,"The model prediction accurately reflects the SEBI AIF Regulations, 2012, stating the minimum continuing interest as 5% of the fund's corpus or ₹10 crore, whichever is lower.",0
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between two consecutive audit committee meetings?",One hundred and twenty days,120 days.,0,1,The model prediction matches the SEBI LODR Regulations 2015 which stipulates a maximum gap of 120 days between two consecutive audit committee meetings.,0
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered material if it exceeds what threshold — Rupees one thousand crore or ten per cent of annual consolidated turnover, whichever is lower?","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, whichever is lower","It is material if it exceeds the lower of Rupees 1,000 crore and 10 % of the entity’s annual consolidated turnover.",0,1,The model prediction correctly states the threshold for materiality under SEBI LODR Regulations 2015.,0
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company notify the stock exchange of trades by designated persons after receiving a disclosure?",Within two trading days,Within two trading days.,1,1,The model prediction matches the SEBI PIT Regulations 2015 requirement for companies to notify the stock exchange of trades by designated persons within two trading days after receiving a disclosure.,0
