model,CON,TMP,DI
DeepSeek R1 70B,0.967741935483871,0.7051282051282052,0.15698393077873915
GPT-OSS 120B,0.9516129032258065,0.7692307692307693,0.10598413842826244
GPT-OSS 20B,0.9516129032258065,0.7692307692307693,0.10598413842826244
Kimi K2,0.9193548387096774,0.7564102564102564,0.09723593287265547
LLaMA-3.3-70B,0.9516129032258065,0.7948717948717948,0.08974662562159608
LLaMA-3-8B,0.9354838709677419,0.782051282051282,0.08933301228027929
Llama 4 Scout 17B,0.9838709677419355,0.8461538461538461,0.0752542372881356
Gemma 4 E4B,0.7258064516129032,0.6282051282051282,0.07208307880268787
Mistral-7B,0.8064516129032258,0.7435897435897436,0.04055496264674489
Gemini 2.5 Flash,0.8870967741935484,0.8846153846153846,0.001400560224089649
Qwen3-32B,0.9032258064516129,0.9230769230769231,-0.010869565217391347
