id,task_type,auto_score,judge_score,flipped,judge_reason,question,ref_answer,prediction,model
NUM_005,numerical_reasoning,0,0,False,"The model incorrectly assumes the question is about ""penalty rate for borrowing"" when the reference answer calculates the standard interest liability on the maximum permissible borrowing amount.",If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = ,The provided context does not contain information about interest liability at a ,Gemini 2.5 Flash
TMP_001,temporal_reasoning,0,1,True,"The model correctly identifies the SEBI (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2023, and its effective date, which substituted the definition of 'key managerial person","Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, e",The definition of 'key managerial personnel' substituted by the SEBI (Issue of C,Gemini 2.5 Flash
TMP_009,temporal_reasoning,0,0,False,"The model's prediction introduces an unsubstantiated future date (08.03.2025) that implies a change in the filing authority for the draft letter of offer, which is not supported by current SEBI ICDR R","Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),"Prior to 08.03.2025, the draft letter of offer was required to be filed with the",Gemini 2.5 Flash
TMP_017,temporal_reasoning,0,1,True,"The model prediction provides the correct date, only differing in format from the reference answer, which is allowed as per the rules.","Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",25.07.2022,Gemini 2.5 Flash
REG_079,regulatory_interpretation,0,0,False,"The model prediction explicitly states that the text does not mention term loans, while the question and reference answer are specifically about a default on a term loan.",A company defaulted on repayment of a term loan. The default was remedied. After,After three years have lapsed since the default ceased to subsist.,The provided text does not mention term loans. It only mentions default in the r,Gemini 2.5 Flash
REG_087,regulatory_interpretation,0,0,False,"The model incorrectly claims that its context does not specify that the factors apply to Small Finance Banks, even though the question explicitly asks about ""Small Finance Bank"".",What four factors must the Board of Directors of a Small Finance Bank consider w,1. Divergence in NPA classification and provisioning as observed in RBI supervis,The provided context does not specify that the factors apply to Small Finance Ba,Gemini 2.5 Flash
NUM_074,numerical_reasoning,0,1,True,The model prediction provides the identical final value and a consistent calculation breakdown as the reference answer.,"In the GoI dated securities auction announced on March 28, 2026, what is the max","₹33,000 crore. Calculation: Notified amount ₹29,000 crore + greenshoe of ₹2,000 ","₹29,000 crore (notified amount) + ₹2,000 crore (additional subscription for 6.68",Gemini 2.5 Flash
NUM_075,numerical_reasoning,0,1,True,"The model correctly states the notified amount for 7.43% GS 2076 as ₹12,000 crore and accurately calculates the total auction amount as ₹29,000 crore, consistent with the reference answer.","In the GoI dated securities auction announced on March 28, 2026, what is the tot","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹","Notified amount for 7.43% GS 2076: ₹12,000 crore
Total auction amount: ₹17,000 c",Gemini 2.5 Flash
NUM_077,numerical_reasoning,0,1,True,"The model's calculation and final value of 3900 crore match the reference answer, with only minor formatting differences allowed by the rules.",How much in total is Andhra Pradesh seeking to raise across all three of its sec,"₹3,900 crore. Calculation: ₹1,500 + ₹1,500 + ₹900 = ₹3,900 crore.",1500 crore + 1500 crore + 900 crore = 3900 crore,Gemini 2.5 Flash
NUM_078,numerical_reasoning,0,1,True,"The model correctly calculates the total amount as 10000, which matches the numerical value of the reference answer, and the calculation steps are also correct.",What is the total amount Karnataka is raising across all its five securities in ,"₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","2000 + 2000 + 2000 + 2000 + 2000 = 10000
10000 (all yield-based)",Gemini 2.5 Flash
