id,task_type,difficulty,answer
REG_063,regulatory_interpretation,easy,Fifteen days
REG_080,regulatory_interpretation,easy,Delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.
REG_111,regulatory_interpretation,easy,No special dispensation will be given for declaration of dividend for that period
REG_143,regulatory_interpretation,easy,"Under Regulation 19(2), all records must be maintained and preserved for a minimum period of five years. If records that are required to be duly signed are maintained in electronic form, they must be digitally signed."
REG_001,regulatory_interpretation,easy,At least fifteen crore rupees
REG_084,regulatory_interpretation,easy,Financial Year 2026-27
REG_062,regulatory_interpretation,easy,Twenty one days
REG_132,regulatory_interpretation,easy,"No. Under Regulation 4(b), any insurance agent or insurance broker who offers investment advice solely in insurance products and is registered with the Insurance Regulatory and Development Authority (IRDAI) for such activity is exempt from the registration requirement under these regulations."
REG_019,regulatory_interpretation,easy,50 crore
REG_095,regulatory_interpretation,easy,At least 40 per cent
REG_102,regulatory_interpretation,medium,Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year
REG_004,regulatory_interpretation,medium,One-third
REG_160,regulatory_interpretation,medium,"Under Regulation 13(5), the tenure of a close-ended AIF may be extended by up to two years, subject to the approval of two-thirds of unit holders by value of their investment. For Accredited Investors only funds, there is a special provision — their tenure may be extended by up to five years (instead of two), subject to the same approval threshold of two-thirds of unit holders by value."
REG_010,regulatory_interpretation,medium,"Not less than five percent of the corpus or ten crore rupees, whichever is lower"
REG_167,regulatory_interpretation,medium,"Under Regulation 4, a credit rating agency must be promoted by one of the following: (a) a public financial institution; (b) a scheduled commercial bank in the RBI's second schedule; (c) a foreign bank operating in India with RBI approval; (d) a foreign CRA incorporated in a FATF member jurisdiction, recognised under their law, with at least five years' experience in rating securities; or (e) any company or body corporate with a continuous net worth of at least Rs 100 crore per audited accounts for the previous five years."
REG_059,regulatory_interpretation,medium,"More than five hundred crore rupees, as per the latest audited financial statements"
REG_025,regulatory_interpretation,medium,More than five per cent of the paid-up equity share capital
REG_124,regulatory_interpretation,medium,"The AMC shall not undertake any business activities other than management and advisory services provided to pooled assets (including offshore funds, insurance funds, pension funds, provident funds, and certain foreign portfolio investors)"
