source,filename,txt_file,pages,word_count,status,error,parsed_at
SEBI,SEBI_1957_securities_contracts_regulations_rules_1957_last_amende_026.pdf,SEBI_1957_securities_contracts_regulations_rules_1957_last_amende_026.txt,35,15877,success,,2026-03-29 13:42:55
SEBI,SEBI_1992_sebi_terms_and_conditions_of_service_of_chairman_and_me_025.pdf,SEBI_1992_sebi_terms_and_conditions_of_service_of_chairman_and_me_025.txt,7,2649,success,,2026-03-29 13:42:58
SEBI,SEBI_1992_securities_and_exchange_board_of_india_merchant_bankers_090.pdf,SEBI_1992_securities_and_exchange_board_of_india_merchant_bankers_090.txt,38,17611,success,,2026-03-29 13:43:16
SEBI,SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.pdf,SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt,33,15727,success,,2026-03-29 13:43:29
SEBI,SEBI_1994_securities_and_exchange_board_of_india_bankers_to_an_is_088.pdf,SEBI_1994_securities_and_exchange_board_of_india_bankers_to_an_is_088.txt,26,10294,success,,2026-03-29 13:43:35
SEBI,SEBI_1996_securities_and_exchange_board_of_india_custodian_regula_086.pdf,SEBI_1996_securities_and_exchange_board_of_india_custodian_regula_086.txt,29,11545,success,,2026-03-29 13:43:41
SEBI,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.pdf,SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt,162,68240,success,,2026-03-29 13:44:13
SEBI,SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.pdf,SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.txt,84,30535,success,,2026-03-29 13:44:29
SEBI,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.pdf,SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt,78,22753,success,,2026-03-29 13:44:49
SEBI,SEBI_2000_securities_and_exchange_board_of_india_foreign_venture__083.pdf,SEBI_2000_securities_and_exchange_board_of_india_foreign_venture__083.txt,46,12584,success,,2026-03-29 13:44:56
SEBI,SEBI_2001_sebi_procedure_for_board_meetings_regulations_2001_last_081.pdf,SEBI_2001_sebi_procedure_for_board_meetings_regulations_2001_last_081.txt,8,2231,success,,2026-03-29 13:44:57
SEBI,SEBI_2001_securities_and_exchange_board_of_india_employees_servic_082.pdf,SEBI_2001_securities_and_exchange_board_of_india_employees_servic_082.txt,80,28673,success,,2026-03-29 13:45:41
SEBI,SEBI_2003_sebi_prohibition_of_fraudulent_and_unfair_trade_practic_080.pdf,SEBI_2003_sebi_prohibition_of_fraudulent_and_unfair_trade_practic_080.txt,16,6653,success,,2026-03-29 13:45:45
SEBI,SEBI_2004_securities_and_exchange_board_of_india_self_regulatory__079.pdf,SEBI_2004_securities_and_exchange_board_of_india_self_regulatory__079.txt,24,6576,success,,2026-03-29 13:45:49
SEBI,SEBI_2007_sebi_certification_of_associated_persons_in_the_securit_078.pdf,SEBI_2007_sebi_certification_of_associated_persons_in_the_securit_078.txt,8,2080,success,,2026-03-29 13:45:50
SEBI,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.pdf,SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt,40,17183,success,,2026-03-29 13:46:00
SEBI,SEBI_2008_securities_and_exchange_board_of_india_issue_and_listin_077.pdf,SEBI_2008_securities_and_exchange_board_of_india_issue_and_listin_077.txt,58,25637,success,,2026-03-29 13:46:11
SEBI,SEBI_2009_securities_and_exchange_board_of_india_investor_protect_075.pdf,SEBI_2009_securities_and_exchange_board_of_india_investor_protect_075.txt,8,2989,success,,2026-03-29 13:46:12
