id,task_type,difficulty,question,ref_answer,prediction,correct,model_version
REG_001,regulatory_interpretation,easy,What is the minimum average operating profit an issuer must have over the preced,At least fifteen crore rupees,Fifteen crore rupees,1,moonshotai/kimi-k2-instruct
REG_002,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what percentage of the net offer must an issu",At least seventy five per cent.,75 per cent.,1,moonshotai/kimi-k2-instruct
REG_003,regulatory_interpretation,easy,"Under SEBI ICDR Regulations, 2018, what is the minimum percentage of post-issue ",At least twenty per cent.,20 per cent,0,moonshotai/kimi-k2-instruct
REG_004,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, what fraction of the anchor investor portion ",One-third,One-third,1,moonshotai/kimi-k2-instruct
REG_005,regulatory_interpretation,medium,"Under SEBI ICDR Regulations, 2018, for how long is the minimum promoters' contri",Three years from the date of allotment in the initial public offer,3 years,1,moonshotai/kimi-k2-instruct
REG_006,regulatory_interpretation,easy,What is the minimum application value for an entity to qualify as an anchor inve,At least ten crore rupees,₹10 crore,1,moonshotai/kimi-k2-instruct
REG_007,regulatory_interpretation,easy,"Under SEBI Takeover Regulations 2011, at what threshold of voting rights does an",Twenty-five per cent or more of the voting rights,25 per cent of the voting rights,1,moonshotai/kimi-k2-instruct
REG_008,regulatory_interpretation,medium,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a targe",More than five per cent of the voting rights,5%,0,moonshotai/kimi-k2-instruct
REG_009,regulatory_interpretation,medium,What is the minimum investment amount an employee or director of the Manager of ,Twenty five lakh rupees,₹25 lakh,1,moonshotai/kimi-k2-instruct
REG_010,regulatory_interpretation,medium,"Under SEBI AIF Regulations, 2012, what is the minimum continuing interest that t","Not less than five percent of the corpus or ten crore rupees, whichever is lower","Not less than 5% of the corpus or ₹10 crore, whichever is lower.",1,moonshotai/kimi-k2-instruct
REG_011,regulatory_interpretation,easy,"Under SEBI LODR Regulations 2015, what is the maximum permissible gap between tw",One hundred and twenty days,120 days,0,moonshotai/kimi-k2-instruct
REG_012,regulatory_interpretation,medium,"Under SEBI LODR Regulations 2015, a related party transaction is considered mate","Rupees one thousand crore or ten per cent of the annual consolidated turnover of the listed entity as per the last audited financial statements, which","Rupees one thousand crore or ten per cent of the annual consolidated turnover, whichever is lower.",1,moonshotai/kimi-k2-instruct
REG_013,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, within how many trading days must a company not",Within two trading days,Two trading days,1,moonshotai/kimi-k2-instruct
REG_014,regulatory_interpretation,easy,"Under SEBI PIT Regulations 2015, what is the mandatory cooling-off period that m",At least sixty days,At least sixty days.,1,moonshotai/kimi-k2-instruct
REG_015,regulatory_interpretation,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",120 calendar days from the expiry of the sixty-day window.,1,moonshotai/kimi-k2-instruct
REG_016,regulatory_interpretation,medium,"Under SEBI Settlement Proceedings Regulations 2018, by what minimum percentage m",At least fifty percent,At least fifty percent.,1,moonshotai/kimi-k2-instruct
REG_017,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what is the maximum exit load that an open-",Three per cent of the applicable net asset value,3% of the applicable net asset value,1,moonshotai/kimi-k2-instruct
REG_018,regulatory_interpretation,easy,"Under SEBI Mutual Funds Regulations, what percentage of unit holders must pass a",Seventy-five per cent of the unit holders,75 per cent,1,moonshotai/kimi-k2-instruct
REG_019,regulatory_interpretation,easy,"Under SEBI Stock Brokers Regulations 2026, what is the minimum net worth require",50 crore,50 crore,1,moonshotai/kimi-k2-instruct
REG_020,regulatory_interpretation,easy,"Under SEBI NCS Regulations 2021, what is the minimum notice period that an issue",At least twenty-one days,21 days,1,moonshotai/kimi-k2-instruct
REG_021,regulatory_interpretation,easy,"Under SEBI REIT Regulations 2014, what is the minimum asset size required for a ",Five hundred crore rupees or more,Five hundred crore rupees,1,moonshotai/kimi-k2-instruct
REG_022,regulatory_interpretation,medium,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue",A minimum period of eight years,Eight years after completion of the issue.,0,moonshotai/kimi-k2-instruct
REG_023,regulatory_interpretation,medium,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is t",Five per cent of the paid-up equity share capital,15%,0,moonshotai/kimi-k2-instruct
REG_024,regulatory_interpretation,medium,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareh",More than ten per cent of the paid-up share capital,>10 per cent,1,moonshotai/kimi-k2-instruct
REG_025,regulatory_interpretation,medium,"Under SEBI Depositories and Participants Regulations 2018, what is the threshold",More than five per cent of the paid-up equity share capital,Five per cent of the paid-up equity share capital.,1,moonshotai/kimi-k2-instruct
NUM_001,numerical_reasoning,medium,"Under SEBI ICDR Regulations 2018, what is the minimum total net tangible assets ",Nine crore rupees (three crore rupees per year × three years),3 crore rupees per year × 3 years = 9 crore rupees,1,moonshotai/kimi-k2-instruct
NUM_002,numerical_reasoning,medium,If the total portion available for allocation to qualified institutional buyers ,180 crore rupees (60% of 900 = 540 crore for anchor investors; one-third of 540 = 180 crore for domestic mutual funds),"Anchor investor quota = 60% of 900 crore = 0.60 × 900 = 540 crore  
Domestic-mutual-fund share = ⅓ of 540 crore = 180 crore  

**Final answer:** 180 crore rupees",1,moonshotai/kimi-k2-instruct
NUM_003,numerical_reasoning,medium,"Under SEBI Stock Brokers Regulations 2026, what is the maximum underwriting obli",100 crore rupees (5 crore net worth × 20 = 100 crore),"Self-Clearing Member minimum net worth = ₹5 crore  
Maximum underwriting obligation = 20 × net worth  
20 × ₹5 crore = ₹100 crore  

Answer: ₹100 crore",1,moonshotai/kimi-k2-instruct
NUM_004,numerical_reasoning,hard,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","Calculation  
- General rule: continuing interest = 2.5 % of corpus or ₹5 crore, whichever is lower  
- 2.5 % of ₹20 crore = 0.025 × 20 = ₹0.5 crore  
- 0.5 crore < 5 crore, so the lower amount applies  

Answer: 0.5 crore",0,moonshotai/kimi-k2-instruct
NUM_005,numerical_reasoning,hard,If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"Maximum borrowing = 20% of 500 crore = 100 crore  
Penalty rate = 15% per annum  
Duration = 6 months = 0.5 year  

Interest liability = 100 crore × 15% × 0.5 = 7.5 crore  

**Answer: 7.5 crore rupees**",1,moonshotai/kimi-k2-instruct
NUM_006,numerical_reasoning,medium,For a listed entity whose audit committee has the minimum permissible number of ,"Two independent directors (two-thirds of minimum 3 members = 2, since two-thirds of 3 = 2)","Minimum members = 3  
Required independent directors = ⅔ × 3 = 2  

Answer: 2",1,moonshotai/kimi-k2-instruct
NUM_007,numerical_reasoning,hard,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum nu",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),"Initial 60 days + delayed window up to 120 calendar days  
60 + 120 = 180 calendar days",1,moonshotai/kimi-k2-instruct
NUM_008,numerical_reasoning,medium,"Under SEBI Takeover Regulations 2011, if an acquirer pays Rs. 250 per share in a",Rs. 50 per share (Rs. 300 highest price minus Rs. 250 offer price = Rs. 50 difference),"Highest price paid in the post-offer 26 weeks: Rs 300  
Offer price in open offer: Rs 250  

Difference = Rs 300 − Rs 250 = Rs 50

Additional amount to be paid to accepting shareholders: Rs 50 per share  
Rs 50 per share",1,moonshotai/kimi-k2-instruct
NUM_009,numerical_reasoning,hard,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, wh",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"The tenure of the warrant is eighteen months from 1 January 2024 → 30 June 2025.  
The warrant exercise price can be paid on the last day of this tenure → 30 June 2025.  
Once the exercise price is paid, the holder has three months to exercise the option → 30 September 2025.  

Answer: 30 September ",0,moonshotai/kimi-k2-instruct
NUM_010,numerical_reasoning,medium,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeti",By 29 July of the same year (1 April + 120 days = 29 July),"Calculation:  
1 April + 120 days = 30 July (April 30 days, May 31 days, June 30 days, July 29 days).

30 July",0,moonshotai/kimi-k2-instruct
NUM_011,numerical_reasoning,easy,"Under SEBI AIF Regulations 2012, if a Category III AIF scheme has investable fun",50 crore rupees (10% of 500 crore = 50 crore),"10% of 500 crore rupees = 0.10 × 500 crore rupees = 50 crore rupees

50 crore rupees",1,moonshotai/kimi-k2-instruct
NUM_012,numerical_reasoning,easy,"Under SEBI Mutual Funds Regulations, an AMC's board has 8 directors. What is the",Four independent directors (at least 50% of 8 = 4),"Calculation:
50% of 8 = 0.50 × 8 = 4

Final answer: 4",0,moonshotai/kimi-k2-instruct
CON_001,contradiction_detection,medium,Do the two passages prescribe different lock-in periods for minimum promoters' c,Yes,"Yes. Passage A prescribes three years from the later of two events, while Passage B prescribes eighteen months from allotment.",1,moonshotai/kimi-k2-instruct
CON_002,contradiction_detection,medium,Do the two passages prescribe different lock-in durations for excess promoters' ,No,No. Both passages require a six-month lock-in from the date of allotment.,1,moonshotai/kimi-k2-instruct
CON_003,contradiction_detection,easy,Do the two passages prescribe different minimum continuing interest thresholds f,Yes,"Yes. Passage A sets a lower threshold (2.5% of corpus or ₹5 crore) for Category I/II AIFs, while Passage B imposes a higher threshold (5% of corpus or ₹10 crore) for Category III AIFs.",1,moonshotai/kimi-k2-instruct
CON_004,contradiction_detection,easy,Do the two passages prescribe different maximum permissible gaps between consecu,No,"Yes  
Both passages set the same maximum gap of one hundred and twenty days between consecutive meetings.",0,moonshotai/kimi-k2-instruct
CON_005,contradiction_detection,hard,Do the two passages impose different shareholding thresholds triggering mandator,No,"Yes. Both passages initially set the threshold at 5% paid-up equity share capital that triggers mandatory Board approval, but the 5% ceiling for a recognised stock exchange is relaxed to 15% for specified financial institutions, whereas for a depository such relaxation does not apply.",0,moonshotai/kimi-k2-instruct
CON_006,contradiction_detection,medium,Do the two passages prescribe different disclosure timelines for companies versu,No,No. Both passages require notification within two trading days of receipt of the disclosure.,1,moonshotai/kimi-k2-instruct
CON_007,contradiction_detection,hard,Do the two passages contradict each other regarding whether a second settlement ,No,"No – Passage A bars a fresh application if the first was withdrawn, while Passage B only allows a second application if the earlier one was rejected for non-payment, so they address different scenarios.",1,moonshotai/kimi-k2-instruct
CON_008,contradiction_detection,hard,Do the two passages prescribe different tests for disqualifying a custodian from,Yes,"Yes
Passage A bars a custodian when the sponsor/associates hold ≥50 % of the custodian’s voting rights, while Passage B disqualifies if any associate of the sponsor (including shareholders of the AMC) is merely a director of the custodian.",1,moonshotai/kimi-k2-instruct
CON_009,contradiction_detection,medium,Do the two passages collectively indicate that the 50% monetary asset limit alwa,No,"No
The second passage explicitly states the 50% monetary asset limit does not apply if the IPO is made entirely through an offer for sale.",1,moonshotai/kimi-k2-instruct
CON_010,contradiction_detection,hard,Do the two passages impose the same advance notice period for different types of,No,"No.
Passage A requires 21 days advance notice, while Passage B sets a one-month timeframe for redemption without specifying when notice must be given.",1,moonshotai/kimi-k2-instruct
CON_011,contradiction_detection,easy,Do the two passages prescribe different minimum corpus requirements for social i,Yes,"Yes. Passage A sets a minimum corpus of ₹5 crore for social impact funds, while Passage B sets a higher minimum of ₹20 crore for other AIF schemes.",1,moonshotai/kimi-k2-instruct
CON_012,contradiction_detection,medium,Do the two passages indicate that the same open offer trigger threshold applies ,No,"No
Because companies on the Innovators Growth Platform trigger open offer at 49% voting rights, which differs from the 25% for others.",1,moonshotai/kimi-k2-instruct
TMP_001,temporal_reasoning,medium,"Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is c","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The definition as substituted by the 31.01.2023 amendment (i.e. the Companies Act 2013, section 2 sub-section (51) formulation) is now in force.",1,moonshotai/kimi-k2-instruct
TMP_002,temporal_reasoning,easy,Which lock-in regime for minimum promoters' contribution applied before 13 Augus,"Three years from the date of commencement of commercial production or date of allotment, whichever is later","Three-year lock-in (from the date of commencement of commercial production or allotment, whichever is later) applied until 13.08.2021; the shorter eighteen-month lock-in took effect only from 13.08.2021.",1,moonshotai/kimi-k2-instruct
TMP_003,temporal_reasoning,hard,"Under SEBI LODR Regulations 2015, which provisions came into force on the date o",Sub-regulation (4) of regulation 23 and regulation 31A,"Sub-regulation (4) of regulation 23 and regulation 31A – these came into force on 2 September 2015 itself, the day the regulations were notified.",1,moonshotai/kimi-k2-instruct
TMP_004,temporal_reasoning,medium,Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulat,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021",No. The term 'Delisting Regulations' was inserted as a defined term only on 6 December 2021; it did not exist in the 2011 regulations when they came into force in October 2011.,0,moonshotai/kimi-k2-instruct
TMP_005,temporal_reasoning,easy,What was the name of the trading platform for emerging issuers under SEBI ICDR R,Institutional trading platform,"""institutional trading platform""",1,moonshotai/kimi-k2-instruct
TMP_006,temporal_reasoning,medium,Which amendment to SEBI ICDR Regulations broadened the definition of 'associate',"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025","SEBI (ICDR) (Amendment) Regulations, 2025, effective 08.03.2025.",1,moonshotai/kimi-k2-instruct
TMP_007,temporal_reasoning,medium,"Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LO","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008","SEBI (Issue and Listing of Debt Securities) Regulations, 2008.",1,moonshotai/kimi-k2-instruct
TMP_008,temporal_reasoning,medium,"Under SEBI AIF Regulations 2012, how long could funds registered under the earli","Five years from the commencement of the SEBI (AIF) Regulations, 2012","Five years from the commencement of the SEBI (AIF) Regulations, 2012.",1,moonshotai/kimi-k2-instruct
TMP_009,temporal_reasoning,medium,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before th",With the Board (SEBI),"Before 08.03.2025, it was filed with the Board.",0,moonshotai/kimi-k2-instruct
TMP_010,temporal_reasoning,hard,"After May 2021, which regulation number in which SEBI regulations defines the te","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018, as effective from 5 May 2021, defines the term ""main board"" for SEBI LODR Regulations 2015.",1,moonshotai/kimi-k2-instruct
TMP_011,temporal_reasoning,hard,"Before September 2018, what phrase was used in the SEBI Takeover Regulations 201",Is made,is made,1,moonshotai/kimi-k2-instruct
TMP_012,temporal_reasoning,easy,The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act a,"The Securities and Exchange Board of India Act, 1992","The regulations were enacted under the SEBI Act, 1992.",0,moonshotai/kimi-k2-instruct
TMP_013,temporal_reasoning,easy,Which set of SEBI regulations originally established the regulatory framework fo,"The SEBI (Mutual Funds) Regulations, 1996","SEBI (Mutual Funds) Regulations, 1996",1,moonshotai/kimi-k2-instruct
TMP_014,temporal_reasoning,medium,What term was used in SEBI REIT Regulations 2014 before the 2016 amendment repla,Sponsor(s),‘sponsor(s)’,1,moonshotai/kimi-k2-instruct
TMP_015,temporal_reasoning,easy,Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) ,"The SEBI (ICDR) Regulations, 2009 was enacted earlier",SEBI (ICDR) Regulations 2009 was enacted earlier; SEBI (ICDR) Regulations 2018 superseded it.,1,moonshotai/kimi-k2-instruct
TMP_016,temporal_reasoning,medium,In which year was the concept of 'fugitive economic offender' first incorporated,"2018, effective from 16 November 2018","The concept of 'fugitive economic offender' was incorporated into the SEBI LODR Regulations 2015 with effect from 16 November 2018 through the SEBI (LODR) (Sixth Amendment) Regulations, 2018.",1,moonshotai/kimi-k2-instruct
TMP_017,temporal_reasoning,medium,"Under SEBI AIF Regulations, from which date could social impact funds start issu","25 July 2022, following the Third Amendment Regulations, 2022",25 July 2022,1,moonshotai/kimi-k2-instruct
REG_067,regulatory_interpretation,easy,Within how many days must a stock exchange forward a completed registration appl,Thirty days,30 days,1,moonshotai/kimi-k2-instruct
REG_068,regulatory_interpretation,easy,Within how many days must an intermediary update material changes to the informa,Fifteen days,15 days,1,moonshotai/kimi-k2-instruct
