id,task_type,source,document,regulation,context,question,answer,answer_type,difficulty,document_a,document_b,regulation_a,regulation_b,context_a,context_b,explanation,num_dates,amendment_count,circular_refs,context_len,num_years,complexity_score,complexity_tier
TMP_001,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","These regulations may be called the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018. They shall come into force on the sixtieth day from the date of its publication in the Official Gazette. The definition of 'key managerial personnel' was substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2023, w.e.f. 31.01.2023. Prior to its substitution, 'key managerial personnel' referred to officers forming part of the core management team excluding board of directors.","Under SEBI ICDR Regulations, which definition of 'key managerial personnel' is currently in force — the one aligning with Companies Act 2013 sub-section (51) of section 2, or the earlier definition referring to the core management team excluding board members?","The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023",extractive,medium,,,,,,,,3,3,0,82,3,0.73,High
TMP_002,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The minimum promoters' contribution lock-in was originally set at three years from the date of commencement of commercial production or allotment, whichever is later. This was subsequently substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Third Amendment) Regulations, 2021, w.e.f. 13.08.2021, replacing the three-year lock-in with eighteen months from the date of allotment in the initial public offer (except where proceeds are used for capital expenditure).",Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",extractive,easy,,,,,,,,2,2,0,68,1,0.437,Medium
TMP_003,temporal_reasoning,SEBI,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The SEBI (LODR) Regulations, 2015 were published in the Official Gazette on 2nd September 2015, and shall come into force on the ninetieth day from the date of their publication: Provided that the provisions of sub-regulation (4) of regulation 23 and regulation 31A shall come into force on the date of notification of these regulations. The definition of 'mainstream media' was inserted by the SEBI (LODR) (Second Amendment) Regulations, 2023 w.e.f. 15.7.2023.","Under SEBI LODR Regulations 2015, which provisions came into force on the date of notification itself rather than after the ninety-day waiting period?",Sub-regulation (4) of regulation 23 and regulation 31A,extractive,hard,,,,,,,,3,1,5,72,2,0.513,High
TMP_004,temporal_reasoning,SEBI,SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","These regulations shall come into force on the thirtieth day from the date of their publication in the Official Gazette and were published on 23rd September, 2011. The definition of 'Delisting Regulations' was inserted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Third Amendment) Regulations, 2021, w.e.f. 6-12-2021. Previously, the regulations did not contain an explicit definition of 'Delisting Regulations' as a defined term.",Was the term 'Delisting Regulations' a defined term in the SEBI Takeover Regulations 2011 at the time those regulations came into force in October 2011?,"No — the definition of 'Delisting Regulations' was only inserted by the Third Amendment Regulations, 2021, effective from 6 December 2021",extractive,medium,,,,,,,,4,1,0,65,2,0.473,Medium
TMP_005,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The term 'innovators growth platform' was substituted by the SEBI (ICDR) (Second Amendment) Regulations, 2019, w.e.f 05.04.2019. Prior to its substitution, it was referred to as 'institutional trading platform' and was defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 288. After the amendment, it is defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 283.",What was the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019?,Institutional trading platform,extractive,easy,,,,,,,,2,4,2,84,1,0.61,High
TMP_006,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The definition of 'associate' in SEBI ICDR Regulations was substituted by the SEBI (ICDR) (Amendment) Regulations, 2025, w.e.f. 08.03.2025. Prior to its substitution, 'associate' was defined as 'a person which is an associate of the issuer and as defined under the Companies Act, 2013'. After the amendment, 'associate' means a person or any entity which is an associate under sub-section (6) of section 2 of the Companies Act, 2013 or under the applicable accounting standards.",Which amendment to SEBI ICDR Regulations broadened the definition of 'associate' to also include entities qualifying as associates under applicable accounting standards?,"The SEBI (ICDR) (Amendment) Regulations, 2025, effective from 08.03.2025",extractive,medium,,,,,,,,2,5,0,75,2,0.62,High
TMP_007,temporal_reasoning,SEBI,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The definition of 'non-convertible debt securities' in SEBI LODR Regulations was substituted by the SEBI (LODR) (Fifth Amendment) Regulations, 2021 w.e.f. 7.9.2021. Before substitution, clause (t) defined non-convertible debt securities as 'debt securities' as defined under the SEBI (Issue and Listing of Debt Securities) Regulations, 2008. After the amendment, it aligned with the definition under the SEBI (Issue and Listing of Non-Convertible Securities) Regulations, 2021.","Before 7 September 2021, which SEBI regulations were cross-referenced in SEBI LODR Regulations 2015 for the definition of 'non-convertible debt securities'?","The SEBI (Issue and Listing of Debt Securities) Regulations, 2008",extractive,medium,,,,,,,,4,4,0,65,3,0.79,High
TMP_008,temporal_reasoning,SEBI,SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt,"SEBI (Alternative Investment Funds) Regulations, 2012","Funds registered as venture capital funds under the Securities and Exchange Board of India (Venture Capital Funds) Regulations, 1996 shall be governed by the said regulations for a period of five years from the commencement of the SEBI (AIF) Regulations, 2012, provided that the existing fund shall not increase the targeted corpus of the fund. Venture capital funds may seek registration under the AIF Regulations as migrated venture capital funds in terms of Chapter III-D, within twelve months of notification of the relevant regulations.","Under SEBI AIF Regulations 2012, how long could funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 continue to be governed by those older regulations before being required to migrate?","Five years from the commencement of the SEBI (AIF) Regulations, 2012",extractive,medium,,,,,,,,2,0,1,84,2,0.24,Medium
TMP_009,temporal_reasoning,SEBI,SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The SEBI (ICDR) Regulations, 2018 were amended as follows in relation to the draft letter of offer: Prior to 08.03.2025, the draft letter of offer was required to be filed with the Board. By the SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025, the requirement was changed such that the draft letter of offer is filed with the stock exchange(s) instead of the Board.","Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),extractive,medium,,,,,,,,2,3,0,63,2,0.62,High
TMP_010,temporal_reasoning,SEBI,SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The term 'main board' in SEBI LODR Regulations was originally cross-referenced to regulation 106N of the SEBI (ICDR) Regulations, 2009. This cross-reference was substituted by the SEBI (LODR) (Second Amendment) Regulations, 2021 w.e.f. 5.5.2021 to refer instead to regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.","After May 2021, which regulation number in which SEBI regulations defines the term 'main board' for the purposes of SEBI LODR Regulations 2015?","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",extractive,hard,,,,,,,,5,2,3,51,4,0.827,High
