item_idx,model,task_type,original_correct,date_perturb_correct,number_perturb_correct,synonym_perturb_correct,consistency_date,consistency_number,consistency_synonym,robustness_score
0,Gemini 2.5 Flash,regulatory_interpretation,0,0,0,0,0,0,0,0.0
1,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,0,0,0,0.0
2,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,1,1,1.0
3,Gemini 2.5 Flash,regulatory_interpretation,0,1,0,0,0,0,0,0.0
4,Gemini 2.5 Flash,regulatory_interpretation,0,1,1,1,0,0,0,0.0
5,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,0,0,0.3333333333333333
6,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,1,1,1.0
7,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,1,1,1.0
8,Gemini 2.5 Flash,regulatory_interpretation,0,1,1,1,1,0,0,0.3333333333333333
9,Gemini 2.5 Flash,regulatory_interpretation,1,0,1,1,0,1,0,0.3333333333333333
10,Gemini 2.5 Flash,regulatory_interpretation,0,0,0,0,1,1,1,1.0
11,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,0,1,1,0.6666666666666666
12,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,1,1,1.0
13,Gemini 2.5 Flash,regulatory_interpretation,1,1,1,1,1,0,0,0.3333333333333333
14,Gemini 2.5 Flash,regulatory_interpretation,0,1,0,0,0,1,1,0.6666666666666666
15,Gemini 2.5 Flash,numerical_reasoning,1,1,1,1,1,1,1,1.0
16,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,0,1,0.6666666666666666
17,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,0,1,0.6666666666666666
18,Gemini 2.5 Flash,numerical_reasoning,1,1,1,1,0,0,1,0.3333333333333333
19,Gemini 2.5 Flash,numerical_reasoning,1,1,1,1,1,1,1,1.0
20,Gemini 2.5 Flash,numerical_reasoning,1,1,0,1,1,0,1,0.6666666666666666
21,Gemini 2.5 Flash,numerical_reasoning,1,0,1,0,0,1,0,0.3333333333333333
22,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,1,1,1.0
23,Gemini 2.5 Flash,numerical_reasoning,1,1,1,1,1,1,1,1.0
24,Gemini 2.5 Flash,numerical_reasoning,1,1,0,0,0,0,0,0.0
25,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,1,1,1.0
26,Gemini 2.5 Flash,numerical_reasoning,1,0,1,1,0,1,1,0.6666666666666666
27,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,1,1,1.0
28,Gemini 2.5 Flash,numerical_reasoning,0,0,1,0,1,0,0,0.3333333333333333
29,Gemini 2.5 Flash,numerical_reasoning,0,0,0,0,1,1,1,1.0
30,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,0,0,0,0.0
31,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,1,1,1,1.0
32,Gemini 2.5 Flash,contradiction_detection,0,0,0,0,0,0,1,0.3333333333333333
33,Gemini 2.5 Flash,contradiction_detection,1,0,1,1,0,1,1,0.6666666666666666
34,Gemini 2.5 Flash,contradiction_detection,1,1,1,0,0,0,0,0.0
35,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,0,0,0,0.0
36,Gemini 2.5 Flash,contradiction_detection,0,1,1,1,0,0,0,0.0
37,Gemini 2.5 Flash,contradiction_detection,0,1,1,1,0,0,0,0.0
38,Gemini 2.5 Flash,contradiction_detection,1,1,1,0,1,1,0,0.6666666666666666
39,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,1,1,0,0.6666666666666666
40,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,0,0,0,0.0
41,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,0,0,0,0.0
42,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,0,1,1,0.6666666666666666
43,Gemini 2.5 Flash,contradiction_detection,1,1,1,1,1,1,1,1.0
44,Gemini 2.5 Flash,contradiction_detection,0,1,1,1,0,0,0,0.0
45,Gemini 2.5 Flash,temporal_reasoning,1,0,1,1,0,1,0,0.3333333333333333
46,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,0,0,0,0.0
47,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,1,1,1,1.0
48,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,1,1,1,1.0
49,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,1,1,1,1.0
50,Gemini 2.5 Flash,temporal_reasoning,0,0,0,0,0,0,0,0.0
51,Gemini 2.5 Flash,temporal_reasoning,0,0,0,1,0,0,0,0.0
52,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,1,0,1,0.6666666666666666
53,Gemini 2.5 Flash,temporal_reasoning,0,0,0,1,0,0,0,0.0
54,Gemini 2.5 Flash,temporal_reasoning,0,0,0,0,0,1,1,0.6666666666666666
55,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,0,0,0,0.0
56,Gemini 2.5 Flash,temporal_reasoning,0,0,0,0,1,0,0,0.3333333333333333
57,Gemini 2.5 Flash,temporal_reasoning,1,1,1,1,0,0,0,0.0
58,Gemini 2.5 Flash,temporal_reasoning,0,0,0,0,0,0,1,0.3333333333333333
59,Gemini 2.5 Flash,temporal_reasoning,1,0,1,1,0,1,1,0.6666666666666666
