item_idx,model,task_type,condition,reference,prediction,is_correct,retrieved_sources
0,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 28E(m)(iv), a Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times on an ongoing basis. At the time of making the application for registration, the applicant must have a minimum liquid net worth equal to the higher of: (A) Rs 10 crore, or (B) Rs 5 crore plus the applicant's own projected target of cumulative cash losses until its targeted breakeven date.","For a Category I ESG rating provider, the applicant must maintain a minimum liquid net worth of rupees five crores at all times. At the time of making the application, the applicant shall have a minim",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
1,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 14, the written agreement must include: (a) the rights and liabilities of each party; (b) the fee to be charged; (c) an obligation on the client to co-operate for periodic review of the rating during the tenure of the rated instrument; (d) an obligation on the client to provide true, adequate, and timely information; (e) an obligation on the CRA to disclose the rating assigned to the client's securities through regular methods of dissemination, even if the rating is not accepted by the client; and (f) an obligation on the client to disclose in the offer document all ratings assigned in the last three years and any ratings by other CRAs not accepted by the client.","A written agreement between a credit rating agency and its client must include provisions for a dispute resolution mechanism covering mediation, conciliation, and/or arbitration. It must also reflect ",0,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
2,Gemini 2.5 Flash,regulatory_interpretation,RAG,Eighth Schedule; the AMC shall publish the valuations,"The Eighth Schedule of the SEBI (Mutual Funds) Regulations specifies the norms for valuation of mutual fund scheme investments. After computing and carrying out the valuation, the asset management com",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
3,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 10(f), no scheme of an AIF shall have more than one thousand investors. Accredited investors are explicitly excluded from the computation of this investor count — meaning the 1,000-investor cap applies only to non-accredited investors.",The provided regulatory text does not specify the maximum number of investors permitted in a single scheme of an Alternative Investment Fund. It also does not state whether accredited investors are co,0,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt']"
4,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 8(2), the certificate of registration is valid unless it is suspended or cancelled by the Board — it has no fixed expiry date.",A certificate of registration granted to a credit rating agency shall be valid unless it is suspended or cancelled by the Board.,1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
5,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 4, a credit rating agency must be promoted by one of the following: (a) a public financial institution; (b) a scheduled commercial bank in the RBI's second schedule; (c) a foreign bank operating in India with RBI approval; (d) a foreign CRA incorporated in a FATF member jurisdiction, recognised under their law, with at least five years' experience in rating securities; or (e) any company or body corporate with a continuous net worth of at least Rs 100 crore per audited accounts for the previous five years.","The provided text defines a ""promoter"" as a person who holds ten percent or more of the shares of the credit rating agency. It does not list ""eligible categories"" of promoters but rather defines who q",0,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt', 'SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt']"
6,Gemini 2.5 Flash,regulatory_interpretation,RAG,Financial Year 2026-27,"The Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividends) Directions, 2026 come into effect from Financial Year (FY) 2026-27.",1,"['RBI_RBI-DOR-20_rbidor2025-2026235doraccrecno42421020672025-26_017.txt', 'RBI_RBI-DOR-20_rbidor2025-2026236doraccrecno42521020672025-26_016.txt', 'RBI_RBI-DOR-20_rbidor2025-2026237doraccrecno42621020672025-26_015.txt']"
7,Gemini 2.5 Flash,regulatory_interpretation,RAG,At least fifty percent,The provided regulatory text does not specify the minimum percentage increase for a settlement amount if an applicant re-applies after rejection due to non-payment of an earlier determined settlement ,1,"['SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt', 'SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt', 'SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt']"
8,Gemini 2.5 Flash,regulatory_interpretation,RAG,"Under Regulation 10(d), the Manager or Sponsor must maintain a continuing interest of not less than 2.5% of the corpus or Rs 5 crore, whichever is lower, in the form of investment in the AIF (not via waiver of management fees). For Category III AIFs, the threshold is higher: not less than 5% of the corpus or Rs 10 crore, whichever is lower.","The continuing interest required for the Manager or Sponsor of an Alternative Investment Fund shall be not less than five percent of the corpus or ten crore rupees, whichever is lower. The provided te",0,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
9,Gemini 2.5 Flash,regulatory_interpretation,RAG,The ninetieth day,"Under SEBI (Investment Advisers) Regulations, 2013, the regulations came into force on the ninetieth day from the date of their publication in the Official Gazette.",1,"['SEBI_Mar 06, 20_introduction_of_voluntary_lock-in_debit_freeze_facility_007.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
