id,task_type,difficulty,condition,question,ref_answer,prediction,correct
REG_015,regulatory_interpretation,hard,zero_shot,"Under SEBI Settlement Proceedings Regulations 2018, what is the absolute latest ","One hundred and twenty calendar days from the expiry of the sixty-day period, or after the first hearing, whichever is earlier",One hundred and twenty calendar days,1
NUM_004,numerical_reasoning,hard,zero_shot,"For a Category I AIF with a scheme corpus of exactly twenty crore rupees, what i","0.50 crore rupees (2.5% of 20 crore = 0.50 crore, which is lower than 5 crore)","The provided context does not specify different continuing interest requirements for Category I, II, or III AIFs, only for Category III AIFs. It states: ""The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or ",1
NUM_005,numerical_reasoning,hard,zero_shot,If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum ,7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"Maximum permissible borrowing = 20% of 500 crore rupees = 0.20 * 500 crore rupees = 100 crore rupees.

The penalty rate of 15% per annum is for delayed repayment to unitholders, not for the borrowing itself. The question asks for ""interest liability at the penalty rate of 15% per annum for the maxim",1
NUM_007,numerical_reasoning,hard,zero_shot,"Under SEBI Settlement Proceedings Regulations 2018, what is the total maximum nu",180 calendar days (60 days initial window + 120 days additional delayed period = 180 days total),60 days (initial period) + 60 days (first delayed period) + 120 days (second delayed period) = 240 calendar days,1
NUM_009,numerical_reasoning,hard,zero_shot,"Under SEBI ICDR Regulations 2018, if a warrant is allotted on 1 January 2024, wh",1 October 2025 (warrant tenure ends 18 months from allotment = 1 July 2025; exercise option within 3 months from payment = 1 October 2025),"The tenure of warrants shall not exceed eighteen months from the date of their allotment.
Allotment date: 1 January 2024
Latest date for warrant tenure: 1 July 2025 (18 months from 1 January 2024)

The warrant holder shall exercise the option to acquire equity shares against each warrant within thre",1
CON_005,contradiction_detection,hard,zero_shot,Do the two passages impose different shareholding thresholds triggering mandator,No,"Yes. Passage A specifies a 15% threshold for certain entities acquiring shares in a recognised stock exchange, while Passage B maintains a 5% threshold for all entities acquiring shares in a depository.",0
CON_007,contradiction_detection,hard,zero_shot,Do the two passages contradict each other regarding whether a second settlement ,No,"Yes, Passage A states that an applicant who withdraws an application shall not be permitted to make another application in respect of the same default, while Passage B describes conditions under which an application previously rejected for non-remittance of settlement amount may be reconsidered.",0
CON_008,contradiction_detection,hard,zero_shot,Do the two passages prescribe different tests for disqualifying a custodian from,Yes,"Yes, the two passages prescribe different tests. Passage A disqualifies a custodian if the sponsor or its associates hold 50% or more of the voting rights in the custodian, while Passage B disqualifies a custodian if the sponsor or its associates have a director on the custodian's board.",1
CON_010,contradiction_detection,hard,zero_shot,Do the two passages impose the same advance notice period for different types of,No,"No. Passage A specifies a 21-day notice period for the exercise of a right related to non-convertible securities, while Passage B does not specify an advance notice period but rather a one-month redemption period after a failure to obtain shareholder assent.",1
TMP_003,temporal_reasoning,hard,zero_shot,"Under SEBI LODR Regulations 2015, which provisions came into force on the date o",Sub-regulation (4) of regulation 23 and regulation 31A,Sub-regulation (4) of regulation 23 and regulation 31A.,1
