item_id,task_type,difficulty,context,question,YOUR_ANSWER
REG_175,regulatory_interpretation,hard,"Regulation 16(2): If the client does not co-operate with the credit rating agency so as to enable the credit rating agency to comply with its obligations under regulation 15, the credit rating agency shall carry out the review on the basis of the best available information or in the manner as specified by the Board from time to time. Provided that if owing to such lack of co-operation, a rating has been based on the best available information, the credit rating agency shall disclose to the investors the fact that the rating is so based. (3) A credit rating agency shall not withdraw a rating so long as the obligations under the security rated by it are outstanding, except where the company whose security is rated is wound up or merged or amalgamated with another company.","What must a credit rating agency do if a client fails to cooperate during the rating review process under SEBI (CRA) Regulations, 1999? Can a CRA withdraw a rating while the security's obligations are outstanding?","Under Regulation 16(2), if the client does not cooperate with the credit rating agency during the review process, the CRA shall carry out the review on the basis of the best available information or in the manner specified by SEBI from time to time. If a rating has been based on best available information due to such lack of co-operation, the CRA must disclose this fact to investors. Under Regulation 16(3), a CRA shall NOT withdraw a rating so long as the obligations under the rated security are outstanding. The only exceptions permitting withdrawal are: (a) the company whose security is rated is wound up, or (b) merged or amalgamated with another company."
REG_184,regulatory_interpretation,hard,"Regulation 28E(m)(iv): [Category I ESG rating provider] the applicant shall maintain a minimum liquid net worth of rupees five crores at all times: Provided that at the time of making the application, the applicant shall have a minimum liquid net worth of the higher of, A. rupees ten crores, or B. addition of rupees five crores and the target on cumulative cash losses until breakeven.","What are the ongoing and application-time liquid net worth requirements for a Category I ESG rating provider under SEBI (CRA) Regulations, 1999?","Ongoing requirement: A Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times. Application-time requirement: At the time of making the application, the applicant must have a minimum liquid net worth of the HIGHER of: (A) Rs 10 crore, OR (B) Rs 5 crore plus the target on cumulative cash losses until breakeven."
REG_195,regulatory_interpretation,hard,"Regulation 9(2): For purposes of payment by way of listed shares, the shares sought to be issued or exchanged shall conform to the following: (a) listed and frequently traded; (b) listed for at least two years preceding the date of public announcement; (c) issuer has redressed at least 95% of complaints received from investors in the preceding calendar quarter; (d) issuer has been in material compliance with listing regulations for at least two years immediately preceding the date of public announcement; (e) impact of auditors' qualifications does not exceed 5% of net profit or loss after tax for three immediately preceding financial years; (f) SEBI has not issued directions against the issuer restricting capital market access.",What conditions must listed shares offered as non-cash consideration in an open offer satisfy under Regulation 9(2) of SEBI Takeovers Regulations 2011?,"Under Regulation 9(2), listed shares offered as non-cash consideration in an open offer must satisfy all of the following conditions: (a) they are listed and frequently traded; (b) they have been listed for at least two years preceding the date of public announcement; (c) the issuer has redressed at least 95% of complaints received from investors in the preceding calendar quarter; (d) the issuer has been in material compliance with listing regulations for at least two years immediately preceding the date of public announcement; (e) the impact of auditors' qualifications does not exceed 5% of net profit or loss after tax for the three immediately preceding financial years; (f) SEBI has not issued directions against the issuer restricting access to the capital market."
REG_180,regulatory_interpretation,hard,"Regulation 24A(1): A credit rating agency shall not: (a) directly or indirectly, hold 10 per cent or more shareholding and/or voting rights in any other credit rating agency, or (b) have representation on the Board of any other credit rating agency. (2) A shareholder holding 10 per cent or more shares and/or voting rights in a credit rating agency shall not hold 10 per cent or more shares and/or voting rights, directly or indirectly, in any other credit rating agency. Provided that the said restriction shall not apply to holdings by Pension Funds, Insurance Schemes and Mutual Fund Schemes.","What shareholding restrictions apply between credit rating agencies under SEBI (CRA) Regulations, 1999? Are there any exemptions?","Under Regulation 24A(1): (a) No CRA shall directly or indirectly hold 10% or more shareholding and/or voting rights in any other CRA, and (b) no CRA shall have representation on the Board of any other CRA. Under Regulation 24A(2): A shareholder holding 10% or more shares and/or voting rights in a CRA shall not hold 10% or more shares and/or voting rights, directly or indirectly, in any other CRA. Exemption: The restriction in sub-regulation (2) does not apply to holdings by Pension Funds, Insurance Schemes, and Mutual Fund Schemes."
REG_202,regulatory_interpretation,hard,"Regulation 26(2): During the offer period, unless the approval of shareholders of the target company by way of a special resolution by postal ballot is obtained, the board of directors of either the target company or any of its subsidiaries shall not: (a) alienate any material assets outside ordinary course of business; (b) effect any material borrowings outside ordinary course of business; (c) issue or allot any authorised but unissued securities entitling voting rights; (d) implement any buy-back or effect capital structure changes; (e) enter into, amend or terminate material contracts outside ordinary course; (f) accelerate any contingent vesting of rights including ESOPs.","Under Regulation 26(2) of SEBI Takeovers Regulations 2011, what actions is the target company's board of directors prohibited from taking during the offer period without shareholder approval by postal ballot?","Under Regulation 26(2), unless shareholder approval is obtained by special resolution through postal ballot, the board of directors of the target company (or any of its subsidiaries) shall not during the offer period: (a) alienate any material assets outside the ordinary course of business; (b) effect any material borrowings outside the ordinary course of business; (c) issue or allot any authorised but unissued securities entitling voting rights; (d) implement any buy-back or effect capital structure changes; (e) enter into, amend or terminate material contracts outside the ordinary course of business; (f) accelerate any contingent vesting of rights, including ESOPs."
REG_165,regulatory_interpretation,hard,"Regulation 16(1)(c): Category I Alternative Investment Funds shall not borrow funds directly or indirectly or engage in any leverage for the purpose of making investments or otherwise, except for borrowing funds to meet temporary funding requirements and day-to-day operational requirements for not more than thirty days, on not more than four occasions in a year and not more than ten percent of the investable funds.","Under what conditions may a Category I Alternative Investment Fund borrow funds under SEBI AIF Regulations, 2012? What are the specific restrictions on such borrowing?",A Category I AIF may borrow funds only to meet temporary funding requirements and day-to-day operational requirements. Three specific restrictions apply cumulatively to such borrowing: (1) Duration: not more than thirty days per borrowing instance; (2) Frequency: not more than four occasions in a year; (3) Quantum: not more than ten percent of the investable funds. Borrowing for any purpose other than temporary funding and operational requirements is not permitted.
REG_182,regulatory_interpretation,hard,"Regulation 27(1): No credit rating agency shall rate a security issued by an entity which is — (a) a borrower of its promoter; or (b) a subsidiary of its promoter; or (c) an associate of its promoter, if there are common Chairman, Directors between credit rating agency and these entities, or common employees, or common Chairman, Directors, Employees on the rating committee. (2) No credit rating agency shall rate a security issued by its associate or subsidiary, if the credit rating agency or its rating committee has a Chairman, director or employee who is also a Chairman, director or employee of any such entity.","What conflict-of-interest restrictions apply to the rating of securities of promoter-connected entities under SEBI (CRA) Regulations, 1999?","Under Regulation 27(1): No CRA shall rate a security issued by an entity that is (a) a borrower of its promoter, (b) a subsidiary of its promoter, or (c) an associate of its promoter, IF there are common Chairman or Directors between the CRA and those entities, or common employees, or common Chairman, Directors, or Employees on the rating committee. Under Regulation 27(2): No CRA shall rate a security issued by its own associate or subsidiary if the CRA or its rating committee has a Chairman, director or employee who is also a Chairman, director or employee of any such associate or subsidiary entity."
REG_141,regulatory_interpretation,hard,"Regulation 15(7): An investment advisor shall not enter into transactions on its own account which is contrary to its advice given to clients for a period of fifteen days from the day of such advice. Provided that during the period of such fifteen days, if the investment adviser is of the opinion that the situation has changed, then it may enter into such a transaction on its own account after giving such revised assessment to the client at least 24 hours in advance of entering into such transaction.","Under SEBI IA Regulations, 2013, if an investment adviser advised clients to buy a stock on a certain date but subsequently believes the situation has changed within 10 days, can the adviser immediately sell the same stock from its own account?","No, the adviser cannot immediately sell. Under Regulation 15(7), the investment adviser is prohibited from entering into transactions contrary to the advice given to clients for a period of fifteen days from the day of such advice. Since only 10 days have elapsed, the adviser is still within the 15-day prohibition window. However, the proviso permits an exception: if the adviser is of the opinion that the situation has changed within those 15 days, it may enter into the contrary own-account transaction ONLY after giving a revised assessment to the client at least 24 hours in advance of entering into such transaction. Accordingly, the adviser must first issue the revised assessment to clients, then wait at least 24 hours before executing the sale from its own account."
REG_147,regulatory_interpretation,hard,"Regulation 22A: (1) Investment adviser may provide implementation services to the advisory clients in securities market: Provided that investment advisers shall ensure that no consideration including any commission or referral fees, whether embedded or indirect or otherwise, by whatever name called is received; directly or indirectly, at investment adviser's group or family level for the said service. (2) Investment adviser shall provide implementation services to its advisory clients only through direct schemes/products in the securities market. (3) Investment adviser or group or family of investment adviser shall not charge any implementation fees from the client. (4) The client shall not be under any obligation to avail implementation services offered by the investment adviser.","Under SEBI IA Regulations, 2013, what are the four key conditions governing an investment adviser's provision of implementation services to advisory clients?","The four key conditions governing an investment adviser's provision of implementation services under Regulation 22A are: (1) No consideration (including any commission or referral fees, whether embedded, indirect, or otherwise) shall be received directly or indirectly at the investment adviser's group or family level for the said service; (2) Implementation services shall be provided to advisory clients only through direct schemes/products in the securities market; (3) Neither the investment adviser nor its group or family shall charge any implementation fees from the client; (4) The client shall not be under any obligation to avail the implementation services offered by the investment adviser."
REG_196,regulatory_interpretation,medium,"Regulation 10(3): An increase in voting rights in a target company of any shareholder beyond the limit attracting an obligation to make an open offer under sub-regulation (1) of regulation 3, pursuant to buy-back of shares by the target company shall be exempt from the obligation to make an open offer provided such shareholder reduces his shareholding such that his voting rights fall to below the threshold referred to in sub-regulation (1) of regulation 3 within ninety days from the date of the closure of the said buy-back offer.","Under Regulation 10(3), what must a shareholder do to claim exemption from making an open offer when their voting rights exceed the threshold solely because of a buy-back by the target company?","Under Regulation 10(3), to claim exemption from the open offer obligation when voting rights exceed the threshold solely due to a buy-back by the target company, the shareholder must reduce its shareholding such that its voting rights fall BELOW the threshold referred to in sub-regulation (1) of Regulation 3 WITHIN NINETY DAYS from the date of the closure of the said buy-back offer. Failure to reduce shareholding within this 90-day window would mean the exemption is not available."
