model_a,model_b,p_strict,p_corrected
Gemini 2.5 Flash,Qwen3-32B,0.0407,0.932
Gemini 2.5 Flash,LLaMA-3.3-70B,0.0048,1.0
Gemini 2.5 Flash,Llama 4 Scout 17B,0.0033,0.722
Gemini 2.5 Flash,Kimi K2,0.0,0.6953
Gemini 2.5 Flash,LLaMA-3-8B,0.0,0.0095
Gemini 2.5 Flash,GPT-OSS 120B,0.0,1.0
Gemini 2.5 Flash,GPT-OSS 20B,0.0,0.1974
Gemini 2.5 Flash,Gemini 2.5 Pro,0.0,0.6328
Gemini 2.5 Flash,Mistral-7B,0.0,0.0015
Gemini 2.5 Flash,DeepSeek R1 70B,0.0,0.4919
Gemini 2.5 Flash,Gemma 4 E4B,0.0,0.0
Qwen3-32B,LLaMA-3.3-70B,0.3367,0.9133
Qwen3-32B,Llama 4 Scout 17B,0.2544,0.7754
Qwen3-32B,Kimi K2,0.0598,0.7433
Qwen3-32B,LLaMA-3-8B,0.001,0.0067
Qwen3-32B,GPT-OSS 120B,0.0002,0.9186
Qwen3-32B,GPT-OSS 20B,0.0,0.1409
Qwen3-32B,Gemini 2.5 Pro,0.0003,0.5242
Qwen3-32B,Mistral-7B,0.0,0.0004
Qwen3-32B,DeepSeek R1 70B,0.0,0.4433
Qwen3-32B,Gemma 4 E4B,0.0,0.0
LLaMA-3.3-70B,Llama 4 Scout 17B,0.7965,0.6968
LLaMA-3.3-70B,Kimi K2,0.2944,0.6809
LLaMA-3.3-70B,LLaMA-3-8B,0.0144,0.0048
LLaMA-3.3-70B,GPT-OSS 120B,0.0057,1.0
LLaMA-3.3-70B,GPT-OSS 20B,0.0014,0.1752
LLaMA-3.3-70B,Gemini 2.5 Pro,0.0033,0.6682
LLaMA-3.3-70B,Mistral-7B,0.0004,0.0012
LLaMA-3.3-70B,DeepSeek R1 70B,0.0003,0.4745
LLaMA-3.3-70B,Gemma 4 E4B,0.0,0.0
Llama 4 Scout 17B,Kimi K2,0.4058,1.0
Llama 4 Scout 17B,LLaMA-3-8B,0.0279,0.0043
Llama 4 Scout 17B,GPT-OSS 120B,0.0102,0.7133
Llama 4 Scout 17B,GPT-OSS 20B,0.0058,0.0866
Llama 4 Scout 17B,Gemini 2.5 Pro,0.0023,0.4063
Llama 4 Scout 17B,Mistral-7B,0.0036,0.0009
Llama 4 Scout 17B,DeepSeek R1 70B,0.0012,0.6912
Llama 4 Scout 17B,Gemma 4 E4B,0.0,0.0
Kimi K2,LLaMA-3-8B,0.1474,0.001
Kimi K2,GPT-OSS 120B,0.0446,0.686
Kimi K2,GPT-OSS 20B,0.0442,0.0777
Kimi K2,Gemini 2.5 Pro,0.0345,0.3947
Kimi K2,Mistral-7B,0.0201,0.0003
Kimi K2,DeepSeek R1 70B,0.0065,0.6769
Kimi K2,Gemma 4 E4B,0.0,0.0
LLaMA-3-8B,GPT-OSS 120B,0.7112,0.0085
LLaMA-3-8B,GPT-OSS 20B,0.5944,0.1407
LLaMA-3-8B,Gemini 2.5 Pro,0.463,0.032
LLaMA-3-8B,Mistral-7B,0.3553,0.602
LLaMA-3-8B,DeepSeek R1 70B,0.2966,0.0012
LLaMA-3-8B,Gemma 4 E4B,0.0065,0.0
GPT-OSS 120B,GPT-OSS 20B,0.861,0.1756
GPT-OSS 120B,Gemini 2.5 Pro,0.7219,0.6379
GPT-OSS 120B,Mistral-7B,0.5793,0.0008
GPT-OSS 120B,DeepSeek R1 70B,0.4594,0.4558
GPT-OSS 120B,Gemma 4 E4B,0.0244,0.0
GPT-OSS 20B,Gemini 2.5 Pro,0.814,0.4152
GPT-OSS 20B,Mistral-7B,0.7182,0.0489
GPT-OSS 20B,DeepSeek R1 70B,0.4889,0.0316
GPT-OSS 20B,Gemma 4 E4B,0.0306,0.0
Gemini 2.5 Pro,Mistral-7B,0.8911,0.0099
Gemini 2.5 Pro,DeepSeek R1 70B,0.7332,0.2024
Gemini 2.5 Pro,Gemma 4 E4B,0.0182,0.0
Mistral-7B,DeepSeek R1 70B,0.7951,0.0002
Mistral-7B,Gemma 4 E4B,0.0724,0.0
DeepSeek R1 70B,Gemma 4 E4B,0.1104,0.0
