model,REG_strict,REG_corrected,NUM_strict,NUM_corrected,CON_strict,CON_corrected,TMP_strict,TMP_corrected,ALL_strict,ALL_corrected
Gemini 2.5 Flash,93.1,97.1,84.8,97.8,88.7,88.7,88.5,94.9,89.7,95.6
Qwen3-32B,85.1,97.1,77.2,94.6,90.3,90.3,92.3,98.7,85.5,95.8
LLaMA-3.3-70B,86.2,97.7,75.0,92.4,95.2,95.2,79.5,94.9,83.7,95.6
Llama 4 Scout 17B,86.2,96.6,66.3,94.6,98.4,98.4,84.6,94.9,83.3,96.1
Kimi K2,89.1,98.9,65.2,93.5,91.9,91.9,75.6,96.2,81.5,96.1
LLaMA-3-8B,79.9,94.3,64.1,84.8,93.5,93.5,78.2,91.0,78.1,91.4
GPT-OSS 120B,79.9,96.0,59.8,93.5,95.2,95.2,76.9,97.4,77.1,95.6
GPT-OSS 20B,79.9,96.6,58.7,92.4,95.2,95.2,76.9,88.5,76.8,93.8
Gemini 2.5 Pro,89.7,97.1,48.9,94.6,93.5,93.5,64.1,92.3,76.1,95.1
Mistral-7B,79.9,98.3,66.3,82.6,80.6,80.6,74.4,91.0,75.9,90.6
DeepSeek R1 70B,72.4,95.4,69.6,96.7,96.8,96.8,70.5,98.7,75.1,96.6
Gemma 4 E4B,83.9,90.2,50.0,64.1,72.6,72.6,62.8,80.8,70.4,79.8
