model,task_type,n,n_correct,accuracy,ci_lower,ci_upper,half_width
Claude 3 Haiku,REG,53,49,0.924528,0.821413,0.970261,0.074424
Claude 3 Haiku,NUM,32,30,0.9375,0.798525,0.98269,0.092082
Claude 3 Haiku,CON,30,26,0.866667,0.703183,0.946904,0.121861
Claude 3 Haiku,TMP,35,32,0.914286,0.776204,0.970418,0.097107
Gemini 2.5 Flash,REG,53,51,0.962264,0.872455,0.98959,0.058568
Gemini 2.5 Flash,NUM,32,27,0.84375,0.682455,0.931357,0.124451
Gemini 2.5 Flash,CON,30,25,0.833333,0.664353,0.926636,0.131141
Gemini 2.5 Flash,TMP,34,28,0.823529,0.664859,0.916511,0.125826
LLaMA-3.3-70B,REG,53,41,0.773585,0.644735,0.865455,0.11036
LLaMA-3.3-70B,NUM,32,27,0.84375,0.682455,0.931357,0.124451
LLaMA-3.3-70B,CON,30,27,0.9,0.743786,0.965401,0.110808
LLaMA-3.3-70B,TMP,35,27,0.771429,0.609824,0.879343,0.13476
LLaMA-3-8B,REG,53,41,0.773585,0.644735,0.865455,0.11036
LLaMA-3-8B,NUM,32,20,0.625,0.452541,0.770663,0.159061
LLaMA-3-8B,CON,30,26,0.866667,0.703183,0.946904,0.121861
LLaMA-3-8B,TMP,35,26,0.742857,0.579304,0.858371,0.139534
Mistral-7B,REG,53,37,0.698113,0.564629,0.804819,0.120095
Mistral-7B,NUM,32,22,0.6875,0.51433,0.820476,0.153073
Mistral-7B,CON,30,24,0.8,0.62694,0.90495,0.139005
Mistral-7B,TMP,35,26,0.742857,0.579304,0.858371,0.139534
Llama 4 Scout 17B,REG,53,42,0.792453,0.66542,0.879955,0.107268
Llama 4 Scout 17B,NUM,32,24,0.75,0.578931,0.867478,0.144273
Llama 4 Scout 17B,CON,30,30,1.0,0.886483,1.0,0.056759
Llama 4 Scout 17B,TMP,35,28,0.8,0.641081,0.899577,0.129248
Qwen3-32B,REG,53,41,0.773585,0.644735,0.865455,0.11036
Qwen3-32B,NUM,32,24,0.75,0.578931,0.867478,0.144273
Qwen3-32B,CON,30,26,0.866667,0.703183,0.946904,0.121861
Qwen3-32B,TMP,35,33,0.942857,0.813926,0.984187,0.08513
DeepSeek R1 70B,REG,52,32,0.615385,0.479596,0.735297,0.127851
DeepSeek R1 70B,NUM,32,25,0.78125,0.612447,0.889763,0.138658
DeepSeek R1 70B,CON,30,28,0.933333,0.786762,0.981523,0.097381
DeepSeek R1 70B,TMP,34,21,0.617647,0.450407,0.761,0.155297
Gemma 4 E4B,REG,53,48,0.90566,0.79746,0.959028,0.080784
Gemma 4 E4B,NUM,32,21,0.65625,0.483108,0.795898,0.156395
Gemma 4 E4B,CON,30,23,0.766667,0.590713,0.882078,0.145682
Gemma 4 E4B,TMP,35,20,0.571429,0.408571,0.720157,0.155793
